Company Name,Date,Close,Volume
KPR Mill,08-09-2023,760.35,9709
KPR Mill,07-09-2023,759.00,21608
KPR Mill,06-09-2023,755.20,11495
KPR Mill,05-09-2023,749.95,12346
KPR Mill,04-09-2023,765.20,34236
KPR Mill,01-09-2023,760.70,16285
KPR Mill,31-08-2023,757.05,48851
KPR Mill,30-08-2023,760.60,42124
KPR Mill,29-08-2023,748.45,43004
KPR Mill,28-08-2023,723.35,49335
KPR Mill,25-08-2023,700.00,12181
KPR Mill,24-08-2023,708.35,36410
KPR Mill,23-08-2023,718.40,77613
KPR Mill,22-08-2023,731.20,38792
KPR Mill,21-08-2023,702.60,132955
KPR Mill,18-08-2023,688.20,66291
KPR Mill,17-08-2023,656.15,17826
KPR Mill,16-08-2023,655.45,19045
KPR Mill,14-08-2023,664.80,13938
KPR Mill,11-08-2023,666.95,23524
KPR Mill,10-08-2023,661.25,1832543
KPR Mill,09-08-2023,632.40,11624
KPR Mill,08-08-2023,626.25,7132
KPR Mill,07-08-2023,638.25,17967
KPR Mill,04-08-2023,641.60,37464
KPR Mill,03-08-2023,626.60,7948
KPR Mill,02-08-2023,621.05,5318
KPR Mill,01-08-2023,630.15,19711
KPR Mill,31-07-2023,639.60,16512
KPR Mill,28-07-2023,640.80,20159
KPR Mill,27-07-2023,625.25,10078
KPR Mill,26-07-2023,629.00,17123
KPR Mill,25-07-2023,639.85,4451
KPR Mill,24-07-2023,625.00,135133
KPR Mill,21-07-2023,643.60,4399
KPR Mill,20-07-2023,647.35,4251
KPR Mill,19-07-2023,654.30,4986
KPR Mill,18-07-2023,650.05,7407
KPR Mill,17-07-2023,660.35,31829
KPR Mill,14-07-2023,646.60,10157
KPR Mill,13-07-2023,643.90,22772
KPR Mill,12-07-2023,652.30,37227
KPR Mill,11-07-2023,622.90,7609
KPR Mill,10-07-2023,629.80,7474
KPR Mill,07-07-2023,634.70,24585
KPR Mill,06-07-2023,648.15,11857
KPR Mill,05-07-2023,652.15,10218
KPR Mill,04-07-2023,639.80,9672
KPR Mill,03-07-2023,655.50,7665
KPR Mill,30-06-2023,664.30,22621
KPR Mill,28-06-2023,656.75,5746
KPR Mill,27-06-2023,662.65,5217
KPR Mill,26-06-2023,660.50,7181
KPR Mill,23-06-2023,657.40,19615
KPR Mill,22-06-2023,675.70,12949
KPR Mill,21-06-2023,668.55,48305
KPR Mill,20-06-2023,669.55,34346
KPR Mill,19-06-2023,637.30,11294
KPR Mill,16-06-2023,634.45,23322
KPR Mill,15-06-2023,630.55,30524
KPR Mill,14-06-2023,634.05,5949
KPR Mill,13-06-2023,636.45,13080
KPR Mill,12-06-2023,636.45,33857
