Company Name,Date,Close,Volume
Kalyani Forge,08-09-2023,515.40,386
Kalyani Forge,07-09-2023,490.90,1040
Kalyani Forge,06-09-2023,467.55,2025
Kalyani Forge,05-09-2023,445.30,358
Kalyani Forge,04-09-2023,424.10,626
Kalyani Forge,01-09-2023,403.95,3627
Kalyani Forge,31-08-2023,384.75,333
Kalyani Forge,30-08-2023,366.45,3744
Kalyani Forge,29-08-2023,349.00,1816
Kalyani Forge,28-08-2023,334.85,8234
Kalyani Forge,25-08-2023,346.90,3304
Kalyani Forge,24-08-2023,330.40,965
Kalyani Forge,23-08-2023,314.70,1580
Kalyani Forge,22-08-2023,299.75,4480
Kalyani Forge,21-08-2023,285.50,2783
Kalyani Forge,18-08-2023,271.95,275
Kalyani Forge,17-08-2023,265.35,170
Kalyani Forge,16-08-2023,275.00,119
Kalyani Forge,14-08-2023,268.00,1363
Kalyani Forge,11-08-2023,264.80,70
Kalyani Forge,10-08-2023,269.95,72
Kalyani Forge,09-08-2023,272.15,308
Kalyani Forge,08-08-2023,264.00,121
Kalyani Forge,07-08-2023,263.95,867
Kalyani Forge,04-08-2023,269.65,350
Kalyani Forge,03-08-2023,266.25,196
Kalyani Forge,02-08-2023,266.00,1
Kalyani Forge,01-08-2023,268.00,217
Kalyani Forge,31-07-2023,266.05,371
Kalyani Forge,28-07-2023,273.40,166
Kalyani Forge,27-07-2023,271.80,293
Kalyani Forge,26-07-2023,271.50,1907
Kalyani Forge,25-07-2023,277.95,75
Kalyani Forge,24-07-2023,275.70,408
Kalyani Forge,21-07-2023,270.50,65
Kalyani Forge,20-07-2023,280.45,47
Kalyani Forge,19-07-2023,276.05,1503
Kalyani Forge,18-07-2023,277.85,236
Kalyani Forge,17-07-2023,273.75,485
Kalyani Forge,14-07-2023,275.05,635
Kalyani Forge,13-07-2023,270.00,395
Kalyani Forge,12-07-2023,273.30,689
Kalyani Forge,11-07-2023,260.70,334
Kalyani Forge,10-07-2023,264.45,436
Kalyani Forge,07-07-2023,260.00,516
Kalyani Forge,06-07-2023,263.00,168
Kalyani Forge,05-07-2023,265.90,74
Kalyani Forge,04-07-2023,266.10,543
Kalyani Forge,03-07-2023,261.55,1317
Kalyani Forge,30-06-2023,251.00,3002
Kalyani Forge,28-06-2023,242.15,518
Kalyani Forge,27-06-2023,244.95,659
Kalyani Forge,26-06-2023,243.80,47
Kalyani Forge,23-06-2023,244.65,209
Kalyani Forge,22-06-2023,240.00,117
Kalyani Forge,21-06-2023,240.20,269
Kalyani Forge,20-06-2023,249.95,402
Kalyani Forge,19-06-2023,239.00,371
Kalyani Forge,16-06-2023,241.60,500
Kalyani Forge,15-06-2023,239.00,38
Kalyani Forge,14-06-2023,244.90,2
Kalyani Forge,12-06-2023,238.60,104
