Company Name,Date,Close,Volume
Karnataka Bank,08-09-2023,230.45,254010
Karnataka Bank,07-09-2023,225.85,122045
Karnataka Bank,06-09-2023,222.00,73712
Karnataka Bank,05-09-2023,219.80,50141
Karnataka Bank,04-09-2023,219.65,187168
Karnataka Bank,01-09-2023,218.25,304950
Karnataka Bank,31-08-2023,221.25,154770
Karnataka Bank,30-08-2023,224.25,218340
Karnataka Bank,29-08-2023,223.35,28680
Karnataka Bank,28-08-2023,226.40,45008
Karnataka Bank,25-08-2023,225.35,165025
Karnataka Bank,24-08-2023,227.50,117406
Karnataka Bank,23-08-2023,229.05,153911
Karnataka Bank,22-08-2023,226.40,130888
Karnataka Bank,21-08-2023,228.95,96163
Karnataka Bank,18-08-2023,227.55,154983
Karnataka Bank,17-08-2023,228.75,77744
Karnataka Bank,16-08-2023,224.80,61349
Karnataka Bank,14-08-2023,225.55,121632
Karnataka Bank,11-08-2023,229.35,235180
Karnataka Bank,10-08-2023,225.15,115949
Karnataka Bank,09-08-2023,223.15,98416
Karnataka Bank,08-08-2023,223.50,648486
Karnataka Bank,07-08-2023,215.40,180595
Karnataka Bank,04-08-2023,214.30,327678
Karnataka Bank,03-08-2023,215.70,536359
Karnataka Bank,02-08-2023,203.70,144413
Karnataka Bank,01-08-2023,209.55,224856
Karnataka Bank,31-07-2023,208.40,154587
Karnataka Bank,28-07-2023,203.75,133733
Karnataka Bank,27-07-2023,204.70,150001
Karnataka Bank,26-07-2023,205.60,68725
Karnataka Bank,25-07-2023,203.45,181217
Karnataka Bank,24-07-2023,207.25,80865
Karnataka Bank,21-07-2023,208.20,153951
Karnataka Bank,20-07-2023,212.65,216178
Karnataka Bank,19-07-2023,210.20,542835
Karnataka Bank,18-07-2023,205.05,538612
Karnataka Bank,17-07-2023,200.20,176531
Karnataka Bank,14-07-2023,200.65,190549
Karnataka Bank,13-07-2023,199.65,394820
Karnataka Bank,12-07-2023,205.05,323812
Karnataka Bank,11-07-2023,197.15,454525
Karnataka Bank,10-07-2023,190.35,311229
Karnataka Bank,07-07-2023,193.00,479105
Karnataka Bank,06-07-2023,197.65,395078
Karnataka Bank,05-07-2023,200.20,1639509
Karnataka Bank,04-07-2023,188.20,312020
Karnataka Bank,03-07-2023,192.15,871465
Karnataka Bank,30-06-2023,189.25,2062345
Karnataka Bank,28-06-2023,171.90,857778
Karnataka Bank,27-06-2023,157.30,219340
Karnataka Bank,26-06-2023,151.15,131233
Karnataka Bank,23-06-2023,151.65,257136
Karnataka Bank,22-06-2023,156.50,76547
Karnataka Bank,21-06-2023,160.45,184500
Karnataka Bank,20-06-2023,163.50,910971
Karnataka Bank,19-06-2023,157.20,165574
Karnataka Bank,16-06-2023,154.35,500619
Karnataka Bank,15-06-2023,151.60,263354
Karnataka Bank,14-06-2023,149.15,59500
Karnataka Bank,13-06-2023,147.25,158799
Karnataka Bank,12-06-2023,146.35,71149
