Company Name,Date,Close,Volume
Kernex Micro,08-09-2023,496.60,4463
Kernex Micro,07-09-2023,499.70,11007
Kernex Micro,06-09-2023,481.05,30104
Kernex Micro,05-09-2023,475.05,464
Kernex Micro,04-09-2023,452.45,2323
Kernex Micro,01-09-2023,430.95,4520
Kernex Micro,31-08-2023,410.45,4289
Kernex Micro,30-08-2023,399.90,9051
Kernex Micro,29-08-2023,406.65,11325
Kernex Micro,28-08-2023,413.25,16162
Kernex Micro,25-08-2023,415.60,18222
Kernex Micro,24-08-2023,432.20,804
Kernex Micro,23-08-2023,411.65,4888
Kernex Micro,22-08-2023,392.05,18076
Kernex Micro,21-08-2023,401.25,28906
Kernex Micro,18-08-2023,399.30,1487
Kernex Micro,17-08-2023,395.85,7219
Kernex Micro,16-08-2023,403.10,29759
Kernex Micro,14-08-2023,414.50,22709
Kernex Micro,11-08-2023,394.80,16148
Kernex Micro,10-08-2023,376.00,36761
Kernex Micro,09-08-2023,358.10,2352
Kernex Micro,08-08-2023,342.15,1392
Kernex Micro,07-08-2023,347.35,6662
Kernex Micro,04-08-2023,339.45,9802
Kernex Micro,03-08-2023,323.30,10992
Kernex Micro,02-08-2023,307.95,1720
Kernex Micro,01-08-2023,315.40,4858
Kernex Micro,31-07-2023,309.85,7480
Kernex Micro,28-07-2023,311.35,17660
Kernex Micro,27-07-2023,316.80,3487
Kernex Micro,26-07-2023,320.85,4099
Kernex Micro,25-07-2023,320.55,23148
Kernex Micro,24-07-2023,321.00,547
Kernex Micro,21-07-2023,321.05,2401
Kernex Micro,20-07-2023,320.10,7397
Kernex Micro,19-07-2023,323.25,3304
Kernex Micro,18-07-2023,331.90,1612
Kernex Micro,17-07-2023,323.00,5185
Kernex Micro,14-07-2023,326.90,6486
Kernex Micro,13-07-2023,334.50,10077
Kernex Micro,12-07-2023,318.60,11147
Kernex Micro,11-07-2023,303.45,5443
Kernex Micro,10-07-2023,318.65,4020
Kernex Micro,07-07-2023,335.40,1111
Kernex Micro,06-07-2023,338.20,4132
Kernex Micro,05-07-2023,344.45,1765
Kernex Micro,04-07-2023,342.60,3762
Kernex Micro,03-07-2023,353.95,4447
Kernex Micro,30-06-2023,357.50,8610
Kernex Micro,28-06-2023,351.35,8932
Kernex Micro,27-06-2023,342.05,1673
Kernex Micro,26-06-2023,346.20,18132
Kernex Micro,23-06-2023,330.05,513
Kernex Micro,22-06-2023,333.10,5673
Kernex Micro,21-06-2023,337.05,7416
Kernex Micro,20-06-2023,345.40,19499
Kernex Micro,19-06-2023,329.05,8291
Kernex Micro,16-06-2023,330.00,7640
Kernex Micro,15-06-2023,327.45,13454
Kernex Micro,14-06-2023,326.75,13322
Kernex Micro,13-06-2023,328.35,22566
Kernex Micro,12-06-2023,345.00,14758
