Company Name,Date,Close,Volume
Landmark Cars,08-09-2023,810.95,137115
Landmark Cars,07-09-2023,725.15,11214
Landmark Cars,06-09-2023,732.85,12459
Landmark Cars,05-09-2023,712.00,3066
Landmark Cars,04-09-2023,717.35,2012
Landmark Cars,01-09-2023,702.30,6477
Landmark Cars,31-08-2023,704.70,6005
Landmark Cars,30-08-2023,710.65,6324
Landmark Cars,29-08-2023,705.45,6174
Landmark Cars,28-08-2023,715.50,51231
Landmark Cars,25-08-2023,723.90,2412
Landmark Cars,24-08-2023,721.75,2865
Landmark Cars,23-08-2023,727.90,6175
Landmark Cars,22-08-2023,732.20,2554
Landmark Cars,21-08-2023,719.65,4036
Landmark Cars,18-08-2023,716.55,3730
Landmark Cars,17-08-2023,716.25,5582
Landmark Cars,16-08-2023,716.90,5727
Landmark Cars,14-08-2023,725.25,14818
Landmark Cars,11-08-2023,715.00,3395
Landmark Cars,10-08-2023,717.90,5967
Landmark Cars,09-08-2023,716.45,2053
Landmark Cars,08-08-2023,716.25,11007
Landmark Cars,07-08-2023,725.90,14092
Landmark Cars,04-08-2023,716.25,8272
Landmark Cars,03-08-2023,710.10,13244
Landmark Cars,02-08-2023,720.85,4131
Landmark Cars,01-08-2023,734.80,6402
Landmark Cars,31-07-2023,727.20,6154
Landmark Cars,28-07-2023,728.10,6887
Landmark Cars,27-07-2023,718.70,8592
Landmark Cars,26-07-2023,735.55,5217
Landmark Cars,25-07-2023,731.85,1039
Landmark Cars,24-07-2023,735.15,6655
Landmark Cars,21-07-2023,734.70,1620
Landmark Cars,20-07-2023,731.20,2145
Landmark Cars,19-07-2023,748.70,2729
Landmark Cars,18-07-2023,733.40,5940
Landmark Cars,17-07-2023,760.00,5268
Landmark Cars,14-07-2023,739.00,9801
Landmark Cars,13-07-2023,737.45,5324
Landmark Cars,12-07-2023,759.20,9879
Landmark Cars,11-07-2023,772.30,10603
Landmark Cars,10-07-2023,764.60,7506
Landmark Cars,07-07-2023,759.10,23326
Landmark Cars,06-07-2023,744.20,17112
Landmark Cars,05-07-2023,738.70,13890
Landmark Cars,04-07-2023,728.15,11686
Landmark Cars,03-07-2023,725.10,25165
Landmark Cars,30-06-2023,715.15,50063
Landmark Cars,28-06-2023,750.00,50142
Landmark Cars,27-06-2023,725.25,33981
Landmark Cars,26-06-2023,691.55,78073
Landmark Cars,23-06-2023,717.65,128974
Landmark Cars,22-06-2023,663.60,7594
Landmark Cars,21-06-2023,676.50,5161
Landmark Cars,20-06-2023,683.40,10526
Landmark Cars,19-06-2023,679.55,58358
Landmark Cars,16-06-2023,684.30,106025
Landmark Cars,15-06-2023,730.80,13408
Landmark Cars,14-06-2023,732.05,24436
Landmark Cars,13-06-2023,702.30,18860
Landmark Cars,12-06-2023,670.45,3484
