Company Name,Date,Close,Volume
Lemon Tree Hote,08-09-2023,115.65,2292190
Lemon Tree Hote,07-09-2023,110.65,924417
Lemon Tree Hote,06-09-2023,108.50,2785896
Lemon Tree Hote,05-09-2023,106.10,564243
Lemon Tree Hote,04-09-2023,107.75,325492
Lemon Tree Hote,01-09-2023,108.05,199103
Lemon Tree Hote,31-08-2023,109.13,887876
Lemon Tree Hote,30-08-2023,110.00,1167791
Lemon Tree Hote,29-08-2023,103.48,156277
Lemon Tree Hote,28-08-2023,104.19,292781
Lemon Tree Hote,25-08-2023,106.41,401752
Lemon Tree Hote,24-08-2023,108.57,996017
Lemon Tree Hote,23-08-2023,107.44,764477
Lemon Tree Hote,22-08-2023,107.43,1405208
Lemon Tree Hote,21-08-2023,105.23,2050631
Lemon Tree Hote,18-08-2023,102.18,1655463
Lemon Tree Hote,17-08-2023,95.97,399877
Lemon Tree Hote,16-08-2023,94.78,294735
Lemon Tree Hote,14-08-2023,95.93,194155
Lemon Tree Hote,11-08-2023,94.68,136418
Lemon Tree Hote,10-08-2023,95.54,310345
Lemon Tree Hote,09-08-2023,95.61,127273
Lemon Tree Hote,08-08-2023,94.69,180492
Lemon Tree Hote,07-08-2023,95.16,351197
Lemon Tree Hote,04-08-2023,94.73,204578
Lemon Tree Hote,03-08-2023,95.21,153286
Lemon Tree Hote,02-08-2023,94.79,635130
Lemon Tree Hote,01-08-2023,96.70,908687
Lemon Tree Hote,31-07-2023,92.39,397502
Lemon Tree Hote,28-07-2023,91.04,86613
Lemon Tree Hote,27-07-2023,91.45,263050
Lemon Tree Hote,26-07-2023,90.87,99814
Lemon Tree Hote,25-07-2023,90.43,79961
Lemon Tree Hote,24-07-2023,91.10,197017
Lemon Tree Hote,21-07-2023,91.66,179517
Lemon Tree Hote,20-07-2023,92.47,62786
Lemon Tree Hote,19-07-2023,92.18,172460
Lemon Tree Hote,18-07-2023,91.90,133384
Lemon Tree Hote,17-07-2023,92.69,253184
Lemon Tree Hote,14-07-2023,92.32,978023
Lemon Tree Hote,13-07-2023,91.21,139547
Lemon Tree Hote,12-07-2023,92.63,328694
Lemon Tree Hote,11-07-2023,91.40,224149
Lemon Tree Hote,10-07-2023,90.16,373238
Lemon Tree Hote,07-07-2023,91.72,593473
Lemon Tree Hote,06-07-2023,93.25,474740
Lemon Tree Hote,05-07-2023,93.64,360362
Lemon Tree Hote,04-07-2023,92.95,171854
Lemon Tree Hote,03-07-2023,93.72,89304
Lemon Tree Hote,30-06-2023,93.63,211277
Lemon Tree Hote,28-06-2023,93.75,121324
Lemon Tree Hote,27-06-2023,92.90,59479
Lemon Tree Hote,26-06-2023,92.79,95465
Lemon Tree Hote,23-06-2023,94.54,414814
Lemon Tree Hote,22-06-2023,93.92,120781
Lemon Tree Hote,21-06-2023,95.54,523422
Lemon Tree Hote,20-06-2023,96.17,841922
Lemon Tree Hote,19-06-2023,94.69,277761
Lemon Tree Hote,16-06-2023,91.91,243582
Lemon Tree Hote,15-06-2023,91.92,287543
Lemon Tree Hote,14-06-2023,92.64,76363
Lemon Tree Hote,13-06-2023,93.04,178065
Lemon Tree Hote,12-06-2023,92.67,292607
