Company Name,Date,Close,Volume
Lincoln Pharma,08-09-2023,533.00,7754
Lincoln Pharma,07-09-2023,521.35,6904
Lincoln Pharma,06-09-2023,514.20,3153
Lincoln Pharma,05-09-2023,520.70,4715
Lincoln Pharma,04-09-2023,517.80,7978
Lincoln Pharma,01-09-2023,509.85,10490
Lincoln Pharma,31-08-2023,521.20,18351
Lincoln Pharma,30-08-2023,527.85,31100
Lincoln Pharma,29-08-2023,508.35,10478
Lincoln Pharma,28-08-2023,505.00,25455
Lincoln Pharma,25-08-2023,480.65,13655
Lincoln Pharma,24-08-2023,488.20,49188
Lincoln Pharma,23-08-2023,463.25,5894
Lincoln Pharma,22-08-2023,471.30,3362
Lincoln Pharma,21-08-2023,471.25,10478
Lincoln Pharma,18-08-2023,460.55,15033
Lincoln Pharma,17-08-2023,464.50,14220
Lincoln Pharma,16-08-2023,471.95,22651
Lincoln Pharma,14-08-2023,464.70,9951
Lincoln Pharma,11-08-2023,465.05,19001
Lincoln Pharma,10-08-2023,489.00,86467
Lincoln Pharma,09-08-2023,451.55,10041
Lincoln Pharma,08-08-2023,438.20,26181
Lincoln Pharma,07-08-2023,441.25,11877
Lincoln Pharma,04-08-2023,451.90,8842
Lincoln Pharma,03-08-2023,448.00,9772
Lincoln Pharma,02-08-2023,430.90,11635
Lincoln Pharma,01-08-2023,439.75,24400
Lincoln Pharma,31-07-2023,438.15,5365
Lincoln Pharma,28-07-2023,432.80,25148
Lincoln Pharma,27-07-2023,420.30,10119
Lincoln Pharma,26-07-2023,414.85,18586
Lincoln Pharma,25-07-2023,404.45,1783
Lincoln Pharma,24-07-2023,407.45,5822
Lincoln Pharma,21-07-2023,397.85,3708
Lincoln Pharma,20-07-2023,397.20,7197
Lincoln Pharma,19-07-2023,401.75,1417
Lincoln Pharma,18-07-2023,400.00,4784
Lincoln Pharma,17-07-2023,396.75,6132
Lincoln Pharma,14-07-2023,399.80,6581
Lincoln Pharma,13-07-2023,398.05,4894
Lincoln Pharma,12-07-2023,406.15,15390
Lincoln Pharma,11-07-2023,412.55,1805
Lincoln Pharma,10-07-2023,406.30,5108
Lincoln Pharma,07-07-2023,410.80,9245
Lincoln Pharma,06-07-2023,413.80,4172
Lincoln Pharma,05-07-2023,416.00,7628
Lincoln Pharma,04-07-2023,406.15,10962
Lincoln Pharma,03-07-2023,405.80,11441
Lincoln Pharma,30-06-2023,405.25,2209
Lincoln Pharma,28-06-2023,405.40,3201
Lincoln Pharma,27-06-2023,405.30,8844
Lincoln Pharma,26-06-2023,409.15,7742
Lincoln Pharma,23-06-2023,404.95,3269
Lincoln Pharma,22-06-2023,404.15,20046
Lincoln Pharma,21-06-2023,394.55,8621
Lincoln Pharma,20-06-2023,403.15,5057
Lincoln Pharma,19-06-2023,401.10,25944
Lincoln Pharma,16-06-2023,387.90,2177
Lincoln Pharma,15-06-2023,391.90,3152
Lincoln Pharma,14-06-2023,389.90,43649
Lincoln Pharma,13-06-2023,385.50,7110
Lincoln Pharma,12-06-2023,387.15,13445
