Company Name,Date,Close,Volume
Manaksia Coated,08-09-2023,26.78,116524
Manaksia Coated,07-09-2023,25.81,91909
Manaksia Coated,06-09-2023,23.19,118130
Manaksia Coated,05-09-2023,23.52,179272
Manaksia Coated,04-09-2023,20.89,178884
Manaksia Coated,01-09-2023,19.02,24761
Manaksia Coated,31-08-2023,18.11,8674
Manaksia Coated,30-08-2023,18.68,11770
Manaksia Coated,29-08-2023,18.55,7626
Manaksia Coated,28-08-2023,19.00,5878
Manaksia Coated,25-08-2023,18.87,6777
Manaksia Coated,24-08-2023,19.02,16401
Manaksia Coated,23-08-2023,19.24,50879
Manaksia Coated,22-08-2023,20.03,127585
Manaksia Coated,21-08-2023,19.47,146908
Manaksia Coated,18-08-2023,16.91,21283
Manaksia Coated,17-08-2023,17.00,7650
Manaksia Coated,16-08-2023,17.03,1292
Manaksia Coated,14-08-2023,16.85,6244
Manaksia Coated,11-08-2023,17.20,4015
Manaksia Coated,10-08-2023,17.04,6350
Manaksia Coated,09-08-2023,17.02,10116
Manaksia Coated,08-08-2023,17.47,48405
Manaksia Coated,07-08-2023,16.91,19052
Manaksia Coated,04-08-2023,16.68,6722
Manaksia Coated,03-08-2023,16.78,10968
Manaksia Coated,02-08-2023,16.87,2628
Manaksia Coated,01-08-2023,17.00,12882
Manaksia Coated,31-07-2023,16.97,16308
Manaksia Coated,28-07-2023,17.37,8734
Manaksia Coated,27-07-2023,17.31,4628
Manaksia Coated,26-07-2023,17.24,2393
Manaksia Coated,25-07-2023,17.14,9503
Manaksia Coated,24-07-2023,17.07,28385
Manaksia Coated,21-07-2023,16.83,7397
Manaksia Coated,20-07-2023,16.64,11944
Manaksia Coated,19-07-2023,16.60,25282
Manaksia Coated,18-07-2023,17.30,11192
Manaksia Coated,17-07-2023,17.87,24958
Manaksia Coated,14-07-2023,17.61,20919
Manaksia Coated,13-07-2023,17.16,10562
Manaksia Coated,12-07-2023,17.51,6051
Manaksia Coated,11-07-2023,17.25,4196
Manaksia Coated,10-07-2023,17.76,10105
Manaksia Coated,07-07-2023,18.07,2899
Manaksia Coated,06-07-2023,18.04,9768
Manaksia Coated,05-07-2023,18.09,5566
Manaksia Coated,04-07-2023,17.96,10309
Manaksia Coated,03-07-2023,17.29,9503
Manaksia Coated,30-06-2023,17.39,7361
Manaksia Coated,28-06-2023,17.72,7065
Manaksia Coated,27-06-2023,17.89,8181
Manaksia Coated,26-06-2023,17.57,2750
Manaksia Coated,23-06-2023,17.61,22252
Manaksia Coated,22-06-2023,17.35,16089
Manaksia Coated,21-06-2023,17.80,4505
Manaksia Coated,20-06-2023,17.90,4986
Manaksia Coated,19-06-2023,18.23,10886
Manaksia Coated,16-06-2023,18.17,32924
Manaksia Coated,15-06-2023,18.30,7308
Manaksia Coated,14-06-2023,18.61,26470
Manaksia Coated,13-06-2023,18.32,3996
Manaksia Coated,12-06-2023,18.40,10928
