Company Name,Date,Close,Volume
Manaksia Steels,08-09-2023,51.38,30143
Manaksia Steels,07-09-2023,49.99,23263
Manaksia Steels,06-09-2023,49.83,29155
Manaksia Steels,05-09-2023,50.36,168561
Manaksia Steels,04-09-2023,49.98,47345
Manaksia Steels,01-09-2023,49.48,42161
Manaksia Steels,31-08-2023,47.56,20450
Manaksia Steels,30-08-2023,48.82,24872
Manaksia Steels,29-08-2023,49.07,22896
Manaksia Steels,28-08-2023,46.67,66111
Manaksia Steels,25-08-2023,45.83,5516
Manaksia Steels,24-08-2023,46.49,21570
Manaksia Steels,23-08-2023,46.09,13782
Manaksia Steels,22-08-2023,46.60,23113
Manaksia Steels,21-08-2023,46.31,17571
Manaksia Steels,18-08-2023,44.54,39714
Manaksia Steels,17-08-2023,45.78,20455
Manaksia Steels,16-08-2023,45.40,22306
Manaksia Steels,14-08-2023,43.90,27018
Manaksia Steels,11-08-2023,45.06,14955
Manaksia Steels,10-08-2023,46.62,7665
Manaksia Steels,09-08-2023,46.34,68478
Manaksia Steels,08-08-2023,48.37,91287
Manaksia Steels,07-08-2023,42.51,10909
Manaksia Steels,04-08-2023,42.50,3057
Manaksia Steels,03-08-2023,42.67,10795
Manaksia Steels,02-08-2023,42.91,10408
Manaksia Steels,01-08-2023,43.03,7890
Manaksia Steels,31-07-2023,42.71,4431
Manaksia Steels,28-07-2023,43.88,13602
Manaksia Steels,27-07-2023,44.15,10515
Manaksia Steels,26-07-2023,45.35,4803
Manaksia Steels,25-07-2023,45.37,5784
Manaksia Steels,24-07-2023,46.41,12065
Manaksia Steels,21-07-2023,45.56,20493
Manaksia Steels,20-07-2023,46.25,3021
Manaksia Steels,19-07-2023,46.66,8289
Manaksia Steels,18-07-2023,43.09,38817
Manaksia Steels,17-07-2023,46.39,23194
Manaksia Steels,14-07-2023,45.39,1873
Manaksia Steels,13-07-2023,44.96,15438
Manaksia Steels,12-07-2023,46.30,18382
Manaksia Steels,11-07-2023,46.96,2970
Manaksia Steels,10-07-2023,45.96,17600
Manaksia Steels,07-07-2023,47.14,3355
Manaksia Steels,06-07-2023,47.75,15691
Manaksia Steels,05-07-2023,45.81,5935
Manaksia Steels,04-07-2023,46.00,11054
Manaksia Steels,03-07-2023,46.08,76400
Manaksia Steels,30-06-2023,44.18,5742
Manaksia Steels,28-06-2023,43.29,59460
Manaksia Steels,27-06-2023,44.82,16661
Manaksia Steels,26-06-2023,41.95,20575
Manaksia Steels,23-06-2023,41.53,68510
Manaksia Steels,22-06-2023,41.35,18398
Manaksia Steels,21-06-2023,38.70,1348
Manaksia Steels,20-06-2023,38.27,7779
Manaksia Steels,19-06-2023,38.43,18639
Manaksia Steels,16-06-2023,39.46,14856
Manaksia Steels,15-06-2023,39.96,16389
Manaksia Steels,14-06-2023,39.80,18782
Manaksia Steels,13-06-2023,39.92,22940
Manaksia Steels,12-06-2023,39.33,16779
