Company Name,Date,Close,Volume
Mazagon Dock,08-09-2023,2209.40,844725
Mazagon Dock,07-09-2023,2087.75,395764
Mazagon Dock,06-09-2023,1905.10,60869
Mazagon Dock,05-09-2023,1914.65,79446
Mazagon Dock,04-09-2023,1908.55,108426
Mazagon Dock,01-09-2023,1888.20,80662
Mazagon Dock,31-08-2023,1847.95,26600
Mazagon Dock,30-08-2023,1863.80,126751
Mazagon Dock,29-08-2023,1818.50,59017
Mazagon Dock,28-08-2023,1833.85,24968
Mazagon Dock,25-08-2023,1838.55,37821
Mazagon Dock,24-08-2023,1857.95,77545
Mazagon Dock,23-08-2023,1874.30,68242
Mazagon Dock,22-08-2023,1866.55,71804
Mazagon Dock,21-08-2023,1868.90,58020
Mazagon Dock,18-08-2023,1871.10,148373
Mazagon Dock,17-08-2023,1923.15,95729
Mazagon Dock,16-08-2023,1935.45,236467
Mazagon Dock,14-08-2023,1862.75,300889
Mazagon Dock,11-08-2023,1740.20,88370
Mazagon Dock,10-08-2023,1793.70,41965
Mazagon Dock,09-08-2023,1817.35,73846
Mazagon Dock,08-08-2023,1818.30,42182
Mazagon Dock,07-08-2023,1810.35,80795
Mazagon Dock,04-08-2023,1843.30,72626
Mazagon Dock,03-08-2023,1847.45,77618
Mazagon Dock,02-08-2023,1811.45,197274
Mazagon Dock,01-08-2023,1860.05,44978
Mazagon Dock,31-07-2023,1894.95,145801
Mazagon Dock,28-07-2023,1963.00,68065
Mazagon Dock,27-07-2023,1900.15,80918
Mazagon Dock,26-07-2023,1862.65,239351
Mazagon Dock,25-07-2023,1860.05,381403
Mazagon Dock,24-07-2023,1955.45,168462
Mazagon Dock,21-07-2023,1863.75,240400
Mazagon Dock,20-07-2023,1819.85,443985
Mazagon Dock,19-07-2023,1733.20,87668
Mazagon Dock,18-07-2023,1738.55,148838
Mazagon Dock,17-07-2023,1718.45,253058
Mazagon Dock,14-07-2023,1636.65,176793
Mazagon Dock,13-07-2023,1719.85,537902
Mazagon Dock,12-07-2023,1735.85,567967
Mazagon Dock,11-07-2023,1588.75,267979
Mazagon Dock,10-07-2023,1444.35,293515
Mazagon Dock,07-07-2023,1321.95,132404
Mazagon Dock,06-07-2023,1292.05,57409
Mazagon Dock,05-07-2023,1302.50,86259
Mazagon Dock,04-07-2023,1282.40,87786
Mazagon Dock,03-07-2023,1288.85,481405
Mazagon Dock,30-06-2023,1246.85,169858
Mazagon Dock,28-06-2023,1240.90,74735
Mazagon Dock,27-06-2023,1244.25,189114
Mazagon Dock,26-06-2023,1257.10,230730
Mazagon Dock,23-06-2023,1172.35,132786
Mazagon Dock,22-06-2023,1229.30,448064
Mazagon Dock,21-06-2023,1220.25,395360
Mazagon Dock,20-06-2023,1305.05,411610
Mazagon Dock,19-06-2023,1218.00,405726
Mazagon Dock,16-06-2023,1186.65,759260
Mazagon Dock,15-06-2023,1054.50,301840
Mazagon Dock,14-06-2023,1030.30,58795
Mazagon Dock,13-06-2023,1037.50,209807
Mazagon Dock,12-06-2023,1045.80,167080
