Company Name,Date,Close,Volume
Minda Corp,08-09-2023,347.20,24982
Minda Corp,07-09-2023,351.05,50230
Minda Corp,06-09-2023,341.40,39211
Minda Corp,05-09-2023,343.60,67886
Minda Corp,04-09-2023,351.75,367251
Minda Corp,01-09-2023,345.30,196633
Minda Corp,31-08-2023,327.30,69951
Minda Corp,30-08-2023,325.65,35184
Minda Corp,29-08-2023,323.05,65730
Minda Corp,28-08-2023,324.35,663954
Minda Corp,25-08-2023,309.30,27131
Minda Corp,24-08-2023,317.30,44768
Minda Corp,23-08-2023,314.80,52558
Minda Corp,22-08-2023,318.10,135468
Minda Corp,21-08-2023,313.50,149522
Minda Corp,18-08-2023,316.10,80487
Minda Corp,17-08-2023,307.40,133691
Minda Corp,16-08-2023,295.95,15169
Minda Corp,14-08-2023,298.20,45309
Minda Corp,11-08-2023,300.80,32492
Minda Corp,10-08-2023,296.05,47886
Minda Corp,09-08-2023,298.30,131487
Minda Corp,08-08-2023,287.90,10567293
Minda Corp,07-08-2023,295.55,21112
Minda Corp,04-08-2023,299.30,26637
Minda Corp,03-08-2023,293.85,81833
Minda Corp,02-08-2023,292.50,64292
Minda Corp,01-08-2023,303.55,78103
Minda Corp,31-07-2023,308.85,16887
Minda Corp,28-07-2023,307.00,44154
Minda Corp,27-07-2023,305.70,49010
Minda Corp,26-07-2023,309.95,31725
Minda Corp,25-07-2023,312.40,40772
Minda Corp,24-07-2023,304.30,45286
Minda Corp,21-07-2023,299.95,121780
Minda Corp,20-07-2023,302.50,15268
Minda Corp,19-07-2023,305.60,50300
Minda Corp,18-07-2023,305.55,75391
Minda Corp,17-07-2023,307.35,107568
Minda Corp,14-07-2023,299.05,16873
Minda Corp,13-07-2023,295.15,49632
Minda Corp,12-07-2023,299.20,186035
Minda Corp,11-07-2023,301.95,252236
Minda Corp,10-07-2023,291.50,60189
Minda Corp,07-07-2023,294.35,257633
Minda Corp,06-07-2023,291.50,27380
Minda Corp,05-07-2023,287.15,68966
Minda Corp,04-07-2023,284.20,5453163
Minda Corp,03-07-2023,294.35,46831
Minda Corp,30-06-2023,282.30,14156
Minda Corp,28-06-2023,279.95,9491
Minda Corp,27-06-2023,282.15,31875
Minda Corp,26-06-2023,288.20,44875
Minda Corp,23-06-2023,281.90,57038
Minda Corp,22-06-2023,285.25,53619
Minda Corp,21-06-2023,290.90,46422
Minda Corp,20-06-2023,292.40,69963
Minda Corp,19-06-2023,286.15,29635
Minda Corp,16-06-2023,291.30,162555
Minda Corp,15-06-2023,279.40,19770
Minda Corp,14-06-2023,279.75,17198
Minda Corp,13-06-2023,284.80,99902
Minda Corp,12-06-2023,276.55,113426
