Company Name,Date,Close,Volume
Mishra Dhatu Ni,08-09-2023,429.65,156046
Mishra Dhatu Ni,07-09-2023,418.85,167743
Mishra Dhatu Ni,06-09-2023,407.40,67506
Mishra Dhatu Ni,05-09-2023,419.80,82919
Mishra Dhatu Ni,04-09-2023,424.05,136132
Mishra Dhatu Ni,01-09-2023,411.60,54836
Mishra Dhatu Ni,31-08-2023,409.75,67144
Mishra Dhatu Ni,30-08-2023,403.25,62537
Mishra Dhatu Ni,29-08-2023,407.05,75995
Mishra Dhatu Ni,28-08-2023,405.65,68667
Mishra Dhatu Ni,25-08-2023,402.45,89397
Mishra Dhatu Ni,24-08-2023,397.85,256933
Mishra Dhatu Ni,23-08-2023,408.20,294535
Mishra Dhatu Ni,22-08-2023,395.20,62354
Mishra Dhatu Ni,21-08-2023,391.75,64897
Mishra Dhatu Ni,18-08-2023,389.95,176723
Mishra Dhatu Ni,17-08-2023,382.60,141191
Mishra Dhatu Ni,16-08-2023,385.50,368784
Mishra Dhatu Ni,14-08-2023,347.60,63740
Mishra Dhatu Ni,11-08-2023,355.85,31247
Mishra Dhatu Ni,10-08-2023,352.30,64072
Mishra Dhatu Ni,09-08-2023,346.45,222030
Mishra Dhatu Ni,08-08-2023,373.20,68751
Mishra Dhatu Ni,07-08-2023,365.45,97285
Mishra Dhatu Ni,04-08-2023,374.10,164357
Mishra Dhatu Ni,03-08-2023,379.05,201293
Mishra Dhatu Ni,02-08-2023,369.85,447540
Mishra Dhatu Ni,01-08-2023,357.05,169682
Mishra Dhatu Ni,31-07-2023,336.80,245111
Mishra Dhatu Ni,28-07-2023,315.85,137439
Mishra Dhatu Ni,27-07-2023,315.90,30524
Mishra Dhatu Ni,26-07-2023,317.85,71903
Mishra Dhatu Ni,25-07-2023,311.25,87490
Mishra Dhatu Ni,24-07-2023,305.85,40301
Mishra Dhatu Ni,21-07-2023,305.90,64347
Mishra Dhatu Ni,20-07-2023,311.20,37275
Mishra Dhatu Ni,19-07-2023,308.20,29146
Mishra Dhatu Ni,18-07-2023,307.40,77127
Mishra Dhatu Ni,17-07-2023,314.70,72525
Mishra Dhatu Ni,14-07-2023,313.50,55919
Mishra Dhatu Ni,13-07-2023,311.35,95511
Mishra Dhatu Ni,12-07-2023,317.65,182513
Mishra Dhatu Ni,11-07-2023,321.40,217722
Mishra Dhatu Ni,10-07-2023,304.35,228874
Mishra Dhatu Ni,07-07-2023,305.40,249762
Mishra Dhatu Ni,06-07-2023,294.80,117094
Mishra Dhatu Ni,05-07-2023,290.25,62589
Mishra Dhatu Ni,04-07-2023,287.90,69172
Mishra Dhatu Ni,03-07-2023,294.15,133670
Mishra Dhatu Ni,30-06-2023,292.00,67593
Mishra Dhatu Ni,28-06-2023,281.55,40623
Mishra Dhatu Ni,27-06-2023,283.30,26574
Mishra Dhatu Ni,26-06-2023,286.90,132401
Mishra Dhatu Ni,23-06-2023,280.60,169318
Mishra Dhatu Ni,22-06-2023,291.55,138502
Mishra Dhatu Ni,21-06-2023,292.75,336779
Mishra Dhatu Ni,20-06-2023,298.70,282238
Mishra Dhatu Ni,19-06-2023,283.95,634721
Mishra Dhatu Ni,16-06-2023,263.85,224222
Mishra Dhatu Ni,15-06-2023,250.15,145648
Mishra Dhatu Ni,14-06-2023,245.05,39994
Mishra Dhatu Ni,13-06-2023,248.90,106642
Mishra Dhatu Ni,12-06-2023,247.25,111693
