Company Name,Date,Close,Volume
Oberoi Realty,08-09-2023,1179.40,13407
Oberoi Realty,07-09-2023,1154.30,21020
Oberoi Realty,06-09-2023,1145.35,15569
Oberoi Realty,05-09-2023,1147.00,25786
Oberoi Realty,04-09-2023,1128.10,9141
Oberoi Realty,01-09-2023,1127.70,7835
Oberoi Realty,31-08-2023,1120.20,9324
Oberoi Realty,30-08-2023,1123.35,11383
Oberoi Realty,29-08-2023,1099.60,7691
Oberoi Realty,28-08-2023,1082.45,8101
Oberoi Realty,25-08-2023,1082.35,3803
Oberoi Realty,24-08-2023,1097.80,5404
Oberoi Realty,23-08-2023,1096.00,38170
Oberoi Realty,22-08-2023,1093.25,6233
Oberoi Realty,21-08-2023,1077.20,8162
Oberoi Realty,18-08-2023,1072.25,6138
Oberoi Realty,17-08-2023,1074.65,10002
Oberoi Realty,16-08-2023,1079.20,11198
Oberoi Realty,14-08-2023,1069.10,26399
Oberoi Realty,11-08-2023,1079.45,6628
Oberoi Realty,10-08-2023,1093.65,14242
Oberoi Realty,09-08-2023,1088.65,12786
Oberoi Realty,08-08-2023,1107.00,17720
Oberoi Realty,07-08-2023,1099.95,10759
Oberoi Realty,04-08-2023,1121.05,16556
Oberoi Realty,03-08-2023,1098.00,22278
Oberoi Realty,02-08-2023,1108.35,60060
Oberoi Realty,01-08-2023,1107.10,118038
Oberoi Realty,31-07-2023,1119.00,16154
Oberoi Realty,28-07-2023,1121.50,17548
Oberoi Realty,27-07-2023,1113.55,20457
Oberoi Realty,26-07-2023,1086.65,14782
Oberoi Realty,25-07-2023,1064.80,29383
Oberoi Realty,24-07-2023,1067.30,13678
Oberoi Realty,21-07-2023,1057.95,82957
Oberoi Realty,20-07-2023,1075.75,39831
Oberoi Realty,19-07-2023,1070.55,13490
Oberoi Realty,18-07-2023,1054.15,9482
Oberoi Realty,17-07-2023,1069.60,22805
Oberoi Realty,14-07-2023,1059.85,39161
Oberoi Realty,13-07-2023,1030.30,16501
Oberoi Realty,12-07-2023,1030.40,7762
Oberoi Realty,11-07-2023,1038.60,10015
Oberoi Realty,10-07-2023,1017.65,18304
Oberoi Realty,07-07-2023,1021.40,15795
Oberoi Realty,06-07-2023,1039.75,62801
Oberoi Realty,05-07-2023,1012.95,23659
Oberoi Realty,04-07-2023,992.00,14890
Oberoi Realty,03-07-2023,997.80,18975
Oberoi Realty,30-06-2023,984.90,139407
Oberoi Realty,28-06-2023,978.70,20359
Oberoi Realty,27-06-2023,984.35,12453
Oberoi Realty,26-06-2023,982.10,241639
Oberoi Realty,23-06-2023,984.15,10316
Oberoi Realty,22-06-2023,995.50,14752
Oberoi Realty,21-06-2023,1013.90,7777
Oberoi Realty,20-06-2023,1019.35,8136
Oberoi Realty,19-06-2023,1008.40,12937
Oberoi Realty,16-06-2023,1019.65,126713
Oberoi Realty,15-06-2023,994.25,72194
Oberoi Realty,14-06-2023,1019.65,26051
Oberoi Realty,13-06-2023,984.05,14577
Oberoi Realty,12-06-2023,963.60,7140
