Company Name,Date,Close,Volume
PCBL,08-09-2023,175.10,462421
PCBL,07-09-2023,169.30,97399
PCBL,06-09-2023,169.70,127023
PCBL,05-09-2023,172.85,64189
PCBL,04-09-2023,173.15,78641
PCBL,01-09-2023,171.00,142049
PCBL,31-08-2023,174.20,395701
PCBL,30-08-2023,169.80,382936
PCBL,29-08-2023,170.55,402486
PCBL,28-08-2023,156.80,72822
PCBL,25-08-2023,157.05,41940
PCBL,24-08-2023,157.75,46080
PCBL,23-08-2023,158.30,116342
PCBL,22-08-2023,154.00,192901
PCBL,21-08-2023,153.90,229033
PCBL,18-08-2023,153.85,282096
PCBL,17-08-2023,155.50,85307
PCBL,16-08-2023,153.60,69780
PCBL,14-08-2023,153.80,110838
PCBL,11-08-2023,157.90,591641
PCBL,10-08-2023,154.15,40404
PCBL,09-08-2023,153.65,100270
PCBL,08-08-2023,152.60,40373
PCBL,07-08-2023,154.75,61934
PCBL,04-08-2023,154.60,43680
PCBL,03-08-2023,155.45,36790
PCBL,02-08-2023,156.20,39283
PCBL,01-08-2023,159.75,143029
PCBL,31-07-2023,157.90,129035
PCBL,28-07-2023,154.90,207191
PCBL,27-07-2023,157.75,177591
PCBL,26-07-2023,157.40,47047
PCBL,25-07-2023,157.60,78612
PCBL,24-07-2023,154.65,44547
PCBL,21-07-2023,157.15,97170
PCBL,20-07-2023,160.60,140778
PCBL,19-07-2023,158.65,53103
PCBL,18-07-2023,155.80,71170
PCBL,17-07-2023,157.50,162275
PCBL,14-07-2023,157.75,166628
PCBL,13-07-2023,154.50,254698
PCBL,12-07-2023,163.00,354717
PCBL,11-07-2023,168.25,1024233
PCBL,10-07-2023,163.00,127341
PCBL,07-07-2023,159.90,103830
PCBL,06-07-2023,161.35,122988
PCBL,05-07-2023,163.85,78171
PCBL,04-07-2023,162.45,214578
PCBL,03-07-2023,165.35,248706
PCBL,30-06-2023,162.60,386823
PCBL,28-06-2023,160.00,147272
PCBL,27-06-2023,157.95,88014
PCBL,26-06-2023,158.55,158965
PCBL,23-06-2023,153.75,96734
PCBL,22-06-2023,157.00,64651
PCBL,21-06-2023,159.05,148923
PCBL,20-06-2023,158.15,185906
PCBL,19-06-2023,157.85,228386
PCBL,16-06-2023,160.60,590506
PCBL,15-06-2023,156.50,906734
PCBL,14-06-2023,158.50,779580
PCBL,13-06-2023,145.95,101900
PCBL,12-06-2023,144.15,194100
