Company Name,Date,Close,Volume
PDS,08-09-2023,386.30,90617
PDS,07-09-2023,367.40,3406
PDS,06-09-2023,364.35,12827
PDS,05-09-2023,367.50,13995
PDS,04-09-2023,355.15,45194
PDS,01-09-2023,322.40,1639
PDS,31-08-2023,320.30,4925
PDS,30-08-2023,319.05,2001
PDS,29-08-2023,318.85,13846
PDS,28-08-2023,318.20,1613
PDS,25-08-2023,318.90,2875
PDS,24-08-2023,319.55,5301
PDS,23-08-2023,324.95,5972
PDS,22-08-2023,332.20,7750
PDS,21-08-2023,322.50,1317
PDS,18-08-2023,318.55,8894
PDS,17-08-2023,322.00,4186
PDS,16-08-2023,321.40,7475
PDS,14-08-2023,322.30,4682
PDS,11-08-2023,322.85,5686
PDS,10-08-2023,321.65,1893
PDS,09-08-2023,323.30,6721
PDS,08-08-2023,322.55,5433
PDS,07-08-2023,321.95,6621
PDS,04-08-2023,322.30,13827
PDS,03-08-2023,322.75,8162
PDS,02-08-2023,323.85,4791
PDS,01-08-2023,323.95,7592
PDS,31-07-2023,324.65,17356
PDS,28-07-2023,323.45,6739
PDS,27-07-2023,325.00,17569
PDS,26-07-2023,348.35,4668
PDS,25-07-2023,354.30,3746
PDS,24-07-2023,354.30,13635
PDS,21-07-2023,346.30,7884
PDS,20-07-2023,348.65,7993
PDS,19-07-2023,346.55,2654
PDS,18-07-2023,343.90,18370
PDS,17-07-2023,347.95,10048
PDS,14-07-2023,339.00,16965
PDS,13-07-2023,341.90,3166
PDS,12-07-2023,350.35,9798
PDS,11-07-2023,354.65,3058
PDS,10-07-2023,354.10,3059
PDS,07-07-2023,354.25,8897
PDS,06-07-2023,346.90,3504
PDS,05-07-2023,353.75,3407
PDS,04-07-2023,344.90,4504
PDS,03-07-2023,348.45,17131
PDS,30-06-2023,338.60,18429
PDS,28-06-2023,349.70,7771
PDS,27-06-2023,346.75,2255
PDS,26-06-2023,351.45,7832
PDS,23-06-2023,353.10,5571
PDS,22-06-2023,346.60,3779
PDS,21-06-2023,351.00,3842
PDS,20-06-2023,356.55,2704
PDS,19-06-2023,355.70,10799
PDS,16-06-2023,360.70,30971
PDS,15-06-2023,339.00,45574
PDS,14-06-2023,344.25,239398
PDS,13-06-2023,340.45,2955
PDS,12-06-2023,342.15,7680
