Company Name,Date,Close,Volume
PTL Enterprises,08-09-2023,40.33,310031
PTL Enterprises,07-09-2023,36.71,24151
PTL Enterprises,06-09-2023,36.95,51199
PTL Enterprises,05-09-2023,37.89,80612
PTL Enterprises,04-09-2023,37.31,243056
PTL Enterprises,01-09-2023,33.65,7073
PTL Enterprises,31-08-2023,33.74,11007
PTL Enterprises,30-08-2023,33.89,25139
PTL Enterprises,29-08-2023,33.36,38775
PTL Enterprises,28-08-2023,33.16,6057
PTL Enterprises,25-08-2023,33.11,13138
PTL Enterprises,24-08-2023,33.53,5098
PTL Enterprises,23-08-2023,33.43,10330
PTL Enterprises,22-08-2023,33.70,4470
PTL Enterprises,21-08-2023,33.25,2432
PTL Enterprises,18-08-2023,33.12,14005
PTL Enterprises,17-08-2023,33.30,13173
PTL Enterprises,16-08-2023,33.07,10700
PTL Enterprises,14-08-2023,33.30,3518
PTL Enterprises,11-08-2023,33.10,22238
PTL Enterprises,10-08-2023,33.48,27085
PTL Enterprises,09-08-2023,34.16,40113
PTL Enterprises,08-08-2023,34.01,42908
PTL Enterprises,07-08-2023,32.89,102109
PTL Enterprises,04-08-2023,33.27,36390
PTL Enterprises,03-08-2023,33.03,14808
PTL Enterprises,02-08-2023,33.04,27218
PTL Enterprises,01-08-2023,33.63,22285
PTL Enterprises,31-07-2023,32.86,17632
PTL Enterprises,28-07-2023,33.62,9734
PTL Enterprises,27-07-2023,32.93,20862
PTL Enterprises,26-07-2023,32.95,11661
PTL Enterprises,25-07-2023,32.58,26162
PTL Enterprises,24-07-2023,32.63,6749
PTL Enterprises,21-07-2023,32.67,22228
PTL Enterprises,20-07-2023,33.09,15815
PTL Enterprises,19-07-2023,33.34,12096
PTL Enterprises,18-07-2023,33.74,14550
PTL Enterprises,17-07-2023,34.05,28187
PTL Enterprises,14-07-2023,33.71,128414
PTL Enterprises,13-07-2023,37.44,73251
PTL Enterprises,12-07-2023,37.83,108548
PTL Enterprises,11-07-2023,37.18,77848
PTL Enterprises,10-07-2023,37.12,35364
PTL Enterprises,07-07-2023,36.89,48861
PTL Enterprises,06-07-2023,36.50,70678
PTL Enterprises,05-07-2023,35.96,47474
PTL Enterprises,04-07-2023,35.12,37652
PTL Enterprises,03-07-2023,34.92,32147
PTL Enterprises,30-06-2023,34.61,4779
PTL Enterprises,28-06-2023,34.33,9515
PTL Enterprises,27-06-2023,34.62,20107
PTL Enterprises,26-06-2023,34.15,6435
PTL Enterprises,23-06-2023,33.78,13341
PTL Enterprises,22-06-2023,33.75,18313
PTL Enterprises,21-06-2023,33.98,14737
PTL Enterprises,20-06-2023,33.87,9292
PTL Enterprises,19-06-2023,33.67,8790
PTL Enterprises,16-06-2023,34.00,6991
PTL Enterprises,15-06-2023,33.68,50150
PTL Enterprises,14-06-2023,33.93,58401
PTL Enterprises,13-06-2023,32.75,5978
PTL Enterprises,12-06-2023,32.62,4709
