Company Name,Date,Close,Volume
Paramount Comm,08-09-2023,76.21,262227
Paramount Comm,07-09-2023,72.59,139265
Paramount Comm,06-09-2023,69.14,165814
Paramount Comm,05-09-2023,65.85,108289
Paramount Comm,04-09-2023,62.72,105985
Paramount Comm,01-09-2023,59.74,87087
Paramount Comm,31-08-2023,59.85,112233
Paramount Comm,30-08-2023,57.64,298979
Paramount Comm,29-08-2023,60.30,364397
Paramount Comm,28-08-2023,57.43,193576
Paramount Comm,25-08-2023,54.70,105503
Paramount Comm,24-08-2023,53.70,128127
Paramount Comm,23-08-2023,55.15,139909
Paramount Comm,22-08-2023,53.82,211062
Paramount Comm,21-08-2023,56.08,607810
Paramount Comm,18-08-2023,53.50,782167
Paramount Comm,17-08-2023,56.31,1739542
Paramount Comm,16-08-2023,53.63,846544
Paramount Comm,14-08-2023,51.08,233866
Paramount Comm,11-08-2023,48.65,172755
Paramount Comm,10-08-2023,49.30,312793
Paramount Comm,09-08-2023,48.78,153495
Paramount Comm,08-08-2023,49.34,985288
Paramount Comm,07-08-2023,47.76,10009
Paramount Comm,04-08-2023,45.49,49090
Paramount Comm,03-08-2023,43.33,104045
Paramount Comm,02-08-2023,41.43,420208
Paramount Comm,01-08-2023,41.65,19338
Paramount Comm,31-07-2023,39.67,25371
Paramount Comm,28-07-2023,37.79,56617
Paramount Comm,27-07-2023,38.76,103561
Paramount Comm,26-07-2023,40.79,113479
Paramount Comm,25-07-2023,41.87,356183
Paramount Comm,24-07-2023,42.02,252069
Paramount Comm,21-07-2023,40.02,419295
Paramount Comm,20-07-2023,38.12,257391
Paramount Comm,19-07-2023,36.37,122420
Paramount Comm,18-07-2023,35.44,27618
Paramount Comm,17-07-2023,34.97,293526
Paramount Comm,14-07-2023,34.85,35714
Paramount Comm,13-07-2023,34.47,32825
Paramount Comm,12-07-2023,35.67,145007
Paramount Comm,11-07-2023,34.83,13842
Paramount Comm,10-07-2023,34.18,19443
Paramount Comm,07-07-2023,35.47,6434
Paramount Comm,06-07-2023,35.28,64779
Paramount Comm,05-07-2023,35.67,37414
Paramount Comm,04-07-2023,36.03,15448
Paramount Comm,03-07-2023,36.01,41943
Paramount Comm,30-06-2023,35.16,31883
Paramount Comm,28-06-2023,35.74,27341
Paramount Comm,27-06-2023,35.30,52433
Paramount Comm,26-06-2023,36.32,42031
Paramount Comm,23-06-2023,36.53,41660
Paramount Comm,22-06-2023,36.78,43195
Paramount Comm,21-06-2023,37.65,17169
Paramount Comm,20-06-2023,37.57,315070
Paramount Comm,19-06-2023,37.99,289405
Paramount Comm,16-06-2023,36.19,113654
Paramount Comm,15-06-2023,34.47,41363
Paramount Comm,14-06-2023,34.89,31776
Paramount Comm,13-06-2023,34.89,62555
Paramount Comm,12-06-2023,35.73,76335
