Company Name,Date,Close,Volume
Paras Defence,08-09-2023,815.50,314506
Paras Defence,07-09-2023,797.85,206335
Paras Defence,06-09-2023,766.40,10030
Paras Defence,05-09-2023,770.85,63212
Paras Defence,04-09-2023,781.65,49627
Paras Defence,01-09-2023,785.50,263345
Paras Defence,31-08-2023,737.55,24194
Paras Defence,30-08-2023,744.35,37892
Paras Defence,29-08-2023,733.65,72400
Paras Defence,28-08-2023,730.80,140079
Paras Defence,25-08-2023,755.70,248506
Paras Defence,24-08-2023,761.60,570898
Paras Defence,23-08-2023,717.60,137989
Paras Defence,22-08-2023,680.40,71702
Paras Defence,21-08-2023,674.65,18708
Paras Defence,18-08-2023,657.40,43913
Paras Defence,17-08-2023,681.75,46052
Paras Defence,16-08-2023,675.50,76746
Paras Defence,14-08-2023,636.10,44220
Paras Defence,11-08-2023,633.85,12997
Paras Defence,10-08-2023,625.40,14230
Paras Defence,09-08-2023,628.85,26433
Paras Defence,08-08-2023,606.85,42697
Paras Defence,07-08-2023,629.85,136870
Paras Defence,04-08-2023,668.60,17155
Paras Defence,03-08-2023,665.65,13561
Paras Defence,02-08-2023,663.90,32276
Paras Defence,01-08-2023,677.80,24388
Paras Defence,31-07-2023,681.50,20446
Paras Defence,28-07-2023,667.55,20438
Paras Defence,27-07-2023,667.40,15145
Paras Defence,26-07-2023,677.00,34608
Paras Defence,25-07-2023,680.75,47631
Paras Defence,24-07-2023,684.30,13728
Paras Defence,21-07-2023,678.55,36413
Paras Defence,20-07-2023,687.25,103046
Paras Defence,19-07-2023,673.10,29952
Paras Defence,18-07-2023,674.35,22776
Paras Defence,17-07-2023,685.30,26427
Paras Defence,14-07-2023,681.20,39147
Paras Defence,13-07-2023,691.15,122579
Paras Defence,12-07-2023,682.80,184072
Paras Defence,11-07-2023,690.00,158791
Paras Defence,10-07-2023,630.35,12157
Paras Defence,07-07-2023,631.30,31679
Paras Defence,06-07-2023,631.50,31502
Paras Defence,05-07-2023,615.90,21979
Paras Defence,04-07-2023,614.80,9351
Paras Defence,03-07-2023,618.75,14962
Paras Defence,30-06-2023,613.20,30703
Paras Defence,28-06-2023,617.75,32881
Paras Defence,27-06-2023,621.20,18830
Paras Defence,26-06-2023,623.80,33728
Paras Defence,23-06-2023,608.80,100499
Paras Defence,22-06-2023,638.75,71955
Paras Defence,21-06-2023,619.15,134276
Paras Defence,20-06-2023,630.95,174978
Paras Defence,19-06-2023,615.70,143024
Paras Defence,16-06-2023,577.30,71316
Paras Defence,15-06-2023,554.80,38295
Paras Defence,14-06-2023,553.20,24383
Paras Defence,13-06-2023,554.55,17555
Paras Defence,12-06-2023,562.50,18288
