Company Name,Date,Close,Volume
Pavna Ind,08-09-2023,463.60,2831
Pavna Ind,07-09-2023,447.70,1487
Pavna Ind,06-09-2023,429.85,803
Pavna Ind,05-09-2023,431.05,358
Pavna Ind,04-09-2023,427.95,686
Pavna Ind,01-09-2023,426.05,1501
Pavna Ind,31-08-2023,445.10,2670
Pavna Ind,30-08-2023,438.75,2819
Pavna Ind,29-08-2023,443.20,7079
Pavna Ind,28-08-2023,402.95,600
Pavna Ind,25-08-2023,366.35,505
Pavna Ind,24-08-2023,333.05,18
Pavna Ind,23-08-2023,343.75,59
Pavna Ind,22-08-2023,334.30,44
Pavna Ind,21-08-2023,334.00,129
Pavna Ind,18-08-2023,332.80,22
Pavna Ind,17-08-2023,330.00,4
Pavna Ind,16-08-2023,324.15,228
Pavna Ind,14-08-2023,323.95,152
Pavna Ind,04-08-2023,295.10,25
Pavna Ind,03-08-2023,295.10,204
Pavna Ind,02-08-2023,310.60,11
Pavna Ind,01-08-2023,310.60,509
Pavna Ind,31-07-2023,307.85,182
Pavna Ind,28-07-2023,293.30,54
Pavna Ind,27-07-2023,308.05,116
Pavna Ind,26-07-2023,294.00,117
Pavna Ind,25-07-2023,280.00,42
Pavna Ind,24-07-2023,278.30,42
Pavna Ind,21-07-2023,289.95,367
Pavna Ind,19-07-2023,292.35,9
Pavna Ind,18-07-2023,290.00,428
Pavna Ind,17-07-2023,305.00,52
Pavna Ind,14-07-2023,320.00,14
Pavna Ind,13-07-2023,315.00,37
Pavna Ind,12-07-2023,308.30,12
Pavna Ind,10-07-2023,318.10,44
Pavna Ind,07-07-2023,325.00,50
Pavna Ind,06-07-2023,314.80,90
Pavna Ind,05-07-2023,327.95,10
Pavna Ind,03-07-2023,338.10,151
Pavna Ind,30-06-2023,327.80,27
Pavna Ind,28-06-2023,315.00,22
Pavna Ind,27-06-2023,327.80,160
Pavna Ind,26-06-2023,327.45,95
Pavna Ind,23-06-2023,323.70,7
Pavna Ind,22-06-2023,318.40,10
Pavna Ind,21-06-2023,312.00,75
Pavna Ind,20-06-2023,328.25,157
Pavna Ind,19-06-2023,323.45,133
Pavna Ind,16-06-2023,337.25,3
Pavna Ind,15-06-2023,355.00,53
Pavna Ind,14-06-2023,351.20,238
Pavna Ind,13-06-2023,357.40,378
Pavna Ind,12-06-2023,340.45,47
