Company Name,Date,Close,Volume
Pearl Global In,08-09-2023,993.50,4092
Pearl Global In,07-09-2023,993.65,2437
Pearl Global In,06-09-2023,994.00,8634
Pearl Global In,05-09-2023,971.35,18171
Pearl Global In,04-09-2023,956.10,40420
Pearl Global In,01-09-2023,838.65,12680
Pearl Global In,31-08-2023,800.95,11353
Pearl Global In,30-08-2023,775.70,20144
Pearl Global In,29-08-2023,737.15,12626
Pearl Global In,28-08-2023,690.90,2590
Pearl Global In,25-08-2023,685.10,3558
Pearl Global In,24-08-2023,695.90,1744
Pearl Global In,23-08-2023,698.45,2980
Pearl Global In,22-08-2023,709.80,2956
Pearl Global In,21-08-2023,709.15,11196
Pearl Global In,18-08-2023,715.50,6109
Pearl Global In,17-08-2023,722.25,9349
Pearl Global In,16-08-2023,702.85,5933
Pearl Global In,14-08-2023,713.25,19234
Pearl Global In,11-08-2023,697.55,17871
Pearl Global In,10-08-2023,732.15,11728
Pearl Global In,09-08-2023,702.95,7704
Pearl Global In,08-08-2023,645.15,5899
Pearl Global In,07-08-2023,663.35,13111
Pearl Global In,04-08-2023,691.45,9971
Pearl Global In,03-08-2023,646.80,1700
Pearl Global In,02-08-2023,651.25,7948
Pearl Global In,01-08-2023,643.90,5776
Pearl Global In,31-07-2023,612.85,4221
Pearl Global In,28-07-2023,622.35,4702
Pearl Global In,27-07-2023,625.90,3171
Pearl Global In,26-07-2023,639.95,6248
Pearl Global In,25-07-2023,619.65,1452
Pearl Global In,24-07-2023,609.70,3393
Pearl Global In,21-07-2023,616.10,3695
Pearl Global In,20-07-2023,620.15,2784
Pearl Global In,19-07-2023,629.20,8780
Pearl Global In,18-07-2023,622.65,12503
Pearl Global In,17-07-2023,591.95,15336
Pearl Global In,14-07-2023,588.65,20167
Pearl Global In,13-07-2023,589.85,16057
Pearl Global In,12-07-2023,590.15,10433
Pearl Global In,11-07-2023,579.35,16524
Pearl Global In,10-07-2023,576.35,869
Pearl Global In,07-07-2023,589.95,3726
Pearl Global In,06-07-2023,606.70,3769
Pearl Global In,05-07-2023,593.05,2695
Pearl Global In,04-07-2023,598.10,8484
Pearl Global In,03-07-2023,616.20,15089
Pearl Global In,30-06-2023,644.30,27147
Pearl Global In,28-06-2023,588.20,13012
Pearl Global In,27-06-2023,544.00,1793
Pearl Global In,26-06-2023,535.30,499
Pearl Global In,23-06-2023,519.90,1852
Pearl Global In,22-06-2023,530.80,3387
Pearl Global In,21-06-2023,544.40,1496
Pearl Global In,20-06-2023,536.25,1234
Pearl Global In,19-06-2023,538.90,10971
Pearl Global In,16-06-2023,554.80,708
Pearl Global In,15-06-2023,554.65,836
Pearl Global In,14-06-2023,558.50,6097
Pearl Global In,13-06-2023,566.60,8125
Pearl Global In,12-06-2023,553.80,1563
