Company Name,Date,Close,Volume
Petronet LNG,08-09-2023,250.15,233701
Petronet LNG,07-09-2023,246.40,383454
Petronet LNG,06-09-2023,244.90,535595
Petronet LNG,05-09-2023,229.00,197320
Petronet LNG,04-09-2023,218.95,57634
Petronet LNG,01-09-2023,219.45,112662
Petronet LNG,31-08-2023,215.40,53952
Petronet LNG,30-08-2023,218.25,64139
Petronet LNG,29-08-2023,220.05,49782
Petronet LNG,28-08-2023,218.10,26357
Petronet LNG,25-08-2023,218.90,48102
Petronet LNG,24-08-2023,220.90,33724
Petronet LNG,23-08-2023,221.00,16431
Petronet LNG,22-08-2023,220.85,34997
Petronet LNG,21-08-2023,221.65,65340
Petronet LNG,18-08-2023,219.30,38122
Petronet LNG,17-08-2023,223.60,56294
Petronet LNG,16-08-2023,225.10,54270
Petronet LNG,14-08-2023,224.20,33588
Petronet LNG,11-08-2023,225.40,41368
Petronet LNG,10-08-2023,226.50,115993
Petronet LNG,09-08-2023,231.55,201404
Petronet LNG,08-08-2023,225.35,31387
Petronet LNG,07-08-2023,226.35,43341
Petronet LNG,04-08-2023,224.25,74768
Petronet LNG,03-08-2023,224.60,55326
Petronet LNG,02-08-2023,225.55,67492
Petronet LNG,01-08-2023,233.45,180344
Petronet LNG,31-07-2023,233.80,210152
Petronet LNG,28-07-2023,229.20,68289
Petronet LNG,27-07-2023,224.95,54864
Petronet LNG,26-07-2023,224.95,22717
Petronet LNG,25-07-2023,225.65,34614
Petronet LNG,24-07-2023,223.80,46326
Petronet LNG,21-07-2023,223.60,21419
Petronet LNG,20-07-2023,224.50,38595
Petronet LNG,19-07-2023,224.80,49399
Petronet LNG,18-07-2023,224.40,38781
Petronet LNG,17-07-2023,227.85,30368
Petronet LNG,14-07-2023,229.45,57926
Petronet LNG,13-07-2023,224.50,79843
Petronet LNG,12-07-2023,229.65,25079
Petronet LNG,11-07-2023,230.25,109343
Petronet LNG,10-07-2023,228.60,63378
Petronet LNG,07-07-2023,229.80,51544
Petronet LNG,06-07-2023,228.30,80457
Petronet LNG,05-07-2023,226.40,132112
Petronet LNG,04-07-2023,224.10,22010
Petronet LNG,03-07-2023,223.30,77444
Petronet LNG,30-06-2023,222.85,37651
Petronet LNG,28-06-2023,220.60,31173
Petronet LNG,27-06-2023,219.70,61963
Petronet LNG,26-06-2023,220.55,45267
Petronet LNG,23-06-2023,218.90,60201
Petronet LNG,22-06-2023,222.90,30106
Petronet LNG,21-06-2023,225.85,51775
Petronet LNG,20-06-2023,224.20,19748
Petronet LNG,19-06-2023,225.85,32897
Petronet LNG,16-06-2023,226.30,36677
Petronet LNG,15-06-2023,227.60,47788
Petronet LNG,14-06-2023,230.20,105707
Petronet LNG,13-06-2023,223.15,35312
Petronet LNG,12-06-2023,224.00,61848
