Company Name,Date,Close,Volume
Power Finance,08-09-2023,305.10,4789363
Power Finance,07-09-2023,272.05,1168670
Power Finance,06-09-2023,257.50,265262
Power Finance,05-09-2023,262.05,295624
Power Finance,04-09-2023,264.10,480269
Power Finance,01-09-2023,257.40,1208161
Power Finance,31-08-2023,260.30,655405
Power Finance,30-08-2023,272.80,200406
Power Finance,29-08-2023,269.90,347039
Power Finance,28-08-2023,271.90,4817719
Power Finance,25-08-2023,270.00,576625
Power Finance,24-08-2023,270.70,635642
Power Finance,23-08-2023,273.35,639492
Power Finance,22-08-2023,273.20,537740
Power Finance,21-08-2023,270.00,446206
Power Finance,18-08-2023,268.60,500260
Power Finance,17-08-2023,270.75,599878
Power Finance,16-08-2023,264.00,566407
Power Finance,14-08-2023,264.10,947848
Power Finance,11-08-2023,264.15,1430736
Power Finance,10-08-2023,267.10,1016546
Power Finance,09-08-2023,270.20,505271
Power Finance,08-08-2023,268.90,1213996
Power Finance,07-08-2023,266.30,687989
Power Finance,04-08-2023,258.55,297267
Power Finance,03-08-2023,260.00,578212
Power Finance,02-08-2023,256.30,868036
Power Finance,01-08-2023,258.85,530405
Power Finance,31-07-2023,261.35,424897
Power Finance,28-07-2023,255.75,788435
Power Finance,27-07-2023,253.50,1732494
Power Finance,26-07-2023,242.90,3166830
Power Finance,25-07-2023,238.25,462212
Power Finance,24-07-2023,240.05,1203574
Power Finance,21-07-2023,227.10,149892
Power Finance,20-07-2023,226.10,258287
Power Finance,19-07-2023,226.50,232669
Power Finance,18-07-2023,221.75,588596
Power Finance,17-07-2023,223.45,377486
Power Finance,14-07-2023,224.65,266683
Power Finance,13-07-2023,224.65,237579
Power Finance,12-07-2023,227.10,775602
Power Finance,11-07-2023,227.10,654064
Power Finance,10-07-2023,224.30,1114584
Power Finance,07-07-2023,221.40,793645
Power Finance,06-07-2023,223.55,1223118
Power Finance,05-07-2023,223.30,268876
Power Finance,04-07-2023,221.20,677548
Power Finance,03-07-2023,219.70,783348
Power Finance,30-06-2023,215.75,938717
Power Finance,28-06-2023,217.70,805453
Power Finance,27-06-2023,207.70,3249618
Power Finance,26-06-2023,199.85,876561
Power Finance,23-06-2023,200.25,917024
Power Finance,22-06-2023,203.25,957696
Power Finance,21-06-2023,208.80,1020259
Power Finance,20-06-2023,203.90,1135374
Power Finance,19-06-2023,197.30,1196881
Power Finance,16-06-2023,197.20,875494
Power Finance,15-06-2023,201.10,594339
Power Finance,14-06-2023,200.95,620961
Power Finance,13-06-2023,203.10,898223
Power Finance,12-06-2023,202.15,609515
