Company Name,Date,Close,Volume
Prime Sec,08-09-2023,159.25,12071
Prime Sec,07-09-2023,155.40,8059
Prime Sec,06-09-2023,150.85,5257
Prime Sec,05-09-2023,148.65,661
Prime Sec,04-09-2023,148.75,1766
Prime Sec,01-09-2023,147.85,92
Prime Sec,31-08-2023,149.05,1145
Prime Sec,30-08-2023,150.10,1075
Prime Sec,29-08-2023,149.90,5410
Prime Sec,28-08-2023,149.40,439
Prime Sec,25-08-2023,148.40,4300
Prime Sec,24-08-2023,148.25,2512
Prime Sec,23-08-2023,146.75,1217
Prime Sec,22-08-2023,146.95,576
Prime Sec,21-08-2023,147.00,2160
Prime Sec,18-08-2023,144.65,131892
Prime Sec,17-08-2023,143.55,3633
Prime Sec,16-08-2023,144.80,3038
Prime Sec,14-08-2023,143.70,17825
Prime Sec,11-08-2023,142.50,16527
Prime Sec,10-08-2023,142.40,6239
Prime Sec,09-08-2023,142.50,7831
Prime Sec,08-08-2023,137.75,178
Prime Sec,07-08-2023,137.15,1426
Prime Sec,04-08-2023,136.85,2786
Prime Sec,03-08-2023,138.75,412
Prime Sec,02-08-2023,137.80,10172
Prime Sec,01-08-2023,137.95,1821
Prime Sec,31-07-2023,140.50,4293
Prime Sec,28-07-2023,139.10,3798
Prime Sec,27-07-2023,137.65,6123
Prime Sec,26-07-2023,130.95,2800
Prime Sec,25-07-2023,133.05,1740
Prime Sec,24-07-2023,133.50,2063
Prime Sec,21-07-2023,131.80,6593
Prime Sec,20-07-2023,133.00,163290
Prime Sec,19-07-2023,134.30,1734
Prime Sec,18-07-2023,132.30,49521
Prime Sec,17-07-2023,133.00,15908
Prime Sec,14-07-2023,133.40,18768
Prime Sec,13-07-2023,131.85,7558
Prime Sec,12-07-2023,133.05,3011
Prime Sec,11-07-2023,132.40,2684
Prime Sec,10-07-2023,132.55,25170
Prime Sec,07-07-2023,129.15,2902
Prime Sec,06-07-2023,129.70,1893
Prime Sec,05-07-2023,129.00,2789
Prime Sec,04-07-2023,124.50,367
Prime Sec,03-07-2023,123.95,996
Prime Sec,30-06-2023,124.50,2928
Prime Sec,28-06-2023,122.30,1014
Prime Sec,27-06-2023,126.05,2129
Prime Sec,26-06-2023,127.90,5402
Prime Sec,23-06-2023,128.40,3052
Prime Sec,22-06-2023,127.30,2771
Prime Sec,21-06-2023,126.95,6277
Prime Sec,20-06-2023,125.65,1377
Prime Sec,19-06-2023,125.20,3764
Prime Sec,16-06-2023,127.50,21592
Prime Sec,15-06-2023,128.60,5324
Prime Sec,14-06-2023,128.95,3773
Prime Sec,13-06-2023,129.00,1833
Prime Sec,12-06-2023,126.75,5858
