Company Name,Date,Close,Volume
Prism Johnson,08-09-2023,142.20,64592
Prism Johnson,07-09-2023,142.05,100815
Prism Johnson,06-09-2023,137.15,17359
Prism Johnson,05-09-2023,138.95,81961
Prism Johnson,04-09-2023,141.30,129026
Prism Johnson,01-09-2023,130.65,25111
Prism Johnson,31-08-2023,129.45,20516
Prism Johnson,30-08-2023,126.25,36487
Prism Johnson,29-08-2023,127.95,19284
Prism Johnson,28-08-2023,128.25,11143
Prism Johnson,25-08-2023,131.10,16370
Prism Johnson,24-08-2023,131.85,24386
Prism Johnson,23-08-2023,130.30,18301
Prism Johnson,22-08-2023,128.35,18394
Prism Johnson,21-08-2023,127.90,25580
Prism Johnson,18-08-2023,128.30,36439
Prism Johnson,17-08-2023,131.55,17178
Prism Johnson,16-08-2023,131.30,5306
Prism Johnson,14-08-2023,130.75,16169
Prism Johnson,11-08-2023,130.95,23909
Prism Johnson,10-08-2023,132.85,72036
Prism Johnson,09-08-2023,132.90,23833
Prism Johnson,08-08-2023,131.65,69224
Prism Johnson,07-08-2023,129.60,20994
Prism Johnson,04-08-2023,124.80,20008
Prism Johnson,03-08-2023,124.95,61425
Prism Johnson,02-08-2023,129.35,146480
Prism Johnson,01-08-2023,123.70,13998
Prism Johnson,31-07-2023,124.75,7253
Prism Johnson,28-07-2023,124.30,17380
Prism Johnson,27-07-2023,124.05,12072
Prism Johnson,26-07-2023,125.15,52399
Prism Johnson,25-07-2023,122.75,8850
Prism Johnson,24-07-2023,123.45,13263
Prism Johnson,21-07-2023,122.05,26137
Prism Johnson,20-07-2023,122.05,9239
Prism Johnson,19-07-2023,125.25,14384
Prism Johnson,18-07-2023,126.05,12896
Prism Johnson,17-07-2023,126.20,24372
Prism Johnson,14-07-2023,126.15,16140
Prism Johnson,13-07-2023,126.10,13196
Prism Johnson,12-07-2023,126.50,15354
Prism Johnson,11-07-2023,127.40,38931
Prism Johnson,10-07-2023,124.80,106037
Prism Johnson,07-07-2023,132.65,14579
Prism Johnson,06-07-2023,132.20,15964
Prism Johnson,05-07-2023,133.35,40705
Prism Johnson,04-07-2023,131.50,55757
Prism Johnson,03-07-2023,130.60,52279
Prism Johnson,30-06-2023,129.20,24281
Prism Johnson,28-06-2023,125.50,6921
Prism Johnson,27-06-2023,126.20,14695
Prism Johnson,26-06-2023,125.45,12833
Prism Johnson,23-06-2023,127.15,20610
Prism Johnson,22-06-2023,128.90,53580
Prism Johnson,21-06-2023,128.80,12141
Prism Johnson,20-06-2023,129.25,7623
Prism Johnson,19-06-2023,127.75,23211
Prism Johnson,16-06-2023,129.00,50295
Prism Johnson,15-06-2023,124.45,40013
Prism Johnson,14-06-2023,127.30,28885
Prism Johnson,13-06-2023,129.80,38928
Prism Johnson,12-06-2023,126.50,17335
