Company Name,Date,Close,Volume
RITES,08-09-2023,548.55,304645
RITES,07-09-2023,508.05,45944
RITES,06-09-2023,504.05,89667
RITES,05-09-2023,512.35,214275
RITES,04-09-2023,509.55,333054
RITES,01-09-2023,510.25,209393
RITES,31-08-2023,500.95,107173
RITES,30-08-2023,508.30,625830
RITES,29-08-2023,478.70,43586
RITES,28-08-2023,482.40,300394
RITES,25-08-2023,459.70,56411
RITES,24-08-2023,467.85,36486
RITES,23-08-2023,472.05,123208
RITES,22-08-2023,473.75,213103
RITES,21-08-2023,477.80,115850
RITES,18-08-2023,452.10,62043
RITES,17-08-2023,457.50,45751
RITES,16-08-2023,460.15,51460
RITES,14-08-2023,467.70,52342
RITES,11-08-2023,474.35,255500
RITES,10-08-2023,473.05,51944
RITES,09-08-2023,470.50,81239
RITES,08-08-2023,452.95,50469
RITES,07-08-2023,458.55,64858
RITES,04-08-2023,456.55,68213
RITES,03-08-2023,459.35,44425
RITES,02-08-2023,461.10,73326
RITES,01-08-2023,465.40,87523
RITES,31-07-2023,464.35,124765
RITES,28-07-2023,457.25,67944
RITES,27-07-2023,477.80,83159
RITES,26-07-2023,497.30,203472
RITES,25-07-2023,493.20,150981
RITES,24-07-2023,484.90,523858
RITES,21-07-2023,455.20,368930
RITES,20-07-2023,423.85,106645
RITES,19-07-2023,419.00,87093
RITES,18-07-2023,408.75,176915
RITES,17-07-2023,408.35,107764
RITES,14-07-2023,389.35,10685
RITES,13-07-2023,386.30,28166
RITES,12-07-2023,394.65,74890
RITES,11-07-2023,382.80,87245
RITES,10-07-2023,374.20,46052
RITES,07-07-2023,377.95,105605
RITES,06-07-2023,372.70,46826
RITES,05-07-2023,366.95,29624
RITES,04-07-2023,367.55,68965
RITES,03-07-2023,371.80,51410
RITES,30-06-2023,372.05,21989
RITES,28-06-2023,377.85,39769
RITES,27-06-2023,380.90,22373
RITES,26-06-2023,382.75,17499
RITES,23-06-2023,378.85,16657
RITES,22-06-2023,380.40,66622
RITES,21-06-2023,389.10,27658
RITES,20-06-2023,385.90,72087
RITES,19-06-2023,393.75,128993
RITES,16-06-2023,398.60,158921
RITES,15-06-2023,378.85,14048
RITES,14-06-2023,379.55,115445
RITES,13-06-2023,381.15,142530
RITES,12-06-2023,374.95,42383
