Company Name,Date,Close,Volume
RPG Life,08-09-2023,1268.00,5153
RPG Life,07-09-2023,1292.25,6027
RPG Life,06-09-2023,1243.55,833
RPG Life,05-09-2023,1238.00,1923
RPG Life,04-09-2023,1219.05,6117
RPG Life,01-09-2023,1186.90,5063
RPG Life,31-08-2023,1202.25,813
RPG Life,30-08-2023,1226.65,6675
RPG Life,29-08-2023,1244.15,9618
RPG Life,28-08-2023,1211.05,5668
RPG Life,25-08-2023,1189.40,962
RPG Life,24-08-2023,1188.90,2825
RPG Life,23-08-2023,1188.80,3211
RPG Life,22-08-2023,1190.05,2381
RPG Life,21-08-2023,1192.40,3823
RPG Life,18-08-2023,1160.30,1337
RPG Life,17-08-2023,1164.95,1801
RPG Life,16-08-2023,1129.60,1724
RPG Life,14-08-2023,1116.90,4944
RPG Life,11-08-2023,1168.40,1238
RPG Life,10-08-2023,1171.90,3271
RPG Life,09-08-2023,1179.10,11738
RPG Life,08-08-2023,1188.30,13049
RPG Life,07-08-2023,1166.90,27429
RPG Life,04-08-2023,1097.05,17190
RPG Life,03-08-2023,1088.35,4904
RPG Life,02-08-2023,1050.25,5416
RPG Life,01-08-2023,1063.95,6428
RPG Life,31-07-2023,1077.55,15167
RPG Life,28-07-2023,1039.55,7853
RPG Life,27-07-2023,1024.80,1156
RPG Life,26-07-2023,1028.95,2223
RPG Life,25-07-2023,1019.75,5220
RPG Life,24-07-2023,999.80,2911
RPG Life,21-07-2023,993.90,708
RPG Life,20-07-2023,996.65,5020
RPG Life,19-07-2023,993.55,4576
RPG Life,18-07-2023,968.90,4207
RPG Life,17-07-2023,979.60,4597
RPG Life,14-07-2023,983.75,4448
RPG Life,13-07-2023,984.70,13140
RPG Life,12-07-2023,952.40,861
RPG Life,11-07-2023,938.40,417
RPG Life,10-07-2023,926.25,683
RPG Life,07-07-2023,917.65,955
RPG Life,06-07-2023,931.50,1717
RPG Life,05-07-2023,950.40,3941
RPG Life,04-07-2023,946.55,3021
RPG Life,03-07-2023,924.80,2039
RPG Life,30-06-2023,906.80,11208
RPG Life,28-06-2023,894.10,1777
RPG Life,27-06-2023,902.90,990
RPG Life,26-06-2023,881.60,4009
RPG Life,23-06-2023,889.55,1970
RPG Life,22-06-2023,899.55,7007
RPG Life,21-06-2023,938.30,2575
RPG Life,20-06-2023,931.90,6563
RPG Life,19-06-2023,912.20,2474
RPG Life,16-06-2023,917.60,2392
RPG Life,15-06-2023,929.00,2557
RPG Life,14-06-2023,901.95,3029
RPG Life,13-06-2023,915.65,3997
RPG Life,12-06-2023,927.50,10467
