Company Name,Date,Close,Volume
Rail Vikas,08-09-2023,162.80,4041816
Rail Vikas,07-09-2023,153.85,4334322
Rail Vikas,06-09-2023,149.85,2241536
Rail Vikas,05-09-2023,156.65,7731206
Rail Vikas,04-09-2023,154.40,11976982
Rail Vikas,01-09-2023,138.25,2982731
Rail Vikas,31-08-2023,131.00,3383726
Rail Vikas,30-08-2023,128.55,1025744
Rail Vikas,29-08-2023,127.65,5934137
Rail Vikas,28-08-2023,126.85,2524371
Rail Vikas,25-08-2023,123.90,1020522
Rail Vikas,24-08-2023,124.85,2643573
Rail Vikas,23-08-2023,124.60,412069
Rail Vikas,22-08-2023,124.50,969900
Rail Vikas,21-08-2023,124.50,1306198
Rail Vikas,18-08-2023,122.85,645224
Rail Vikas,17-08-2023,124.75,1366187
Rail Vikas,16-08-2023,124.65,757076
Rail Vikas,14-08-2023,125.20,1612787
Rail Vikas,11-08-2023,126.10,727683
Rail Vikas,10-08-2023,126.50,2287576
Rail Vikas,09-08-2023,127.15,4426173
Rail Vikas,08-08-2023,123.90,1455736
Rail Vikas,07-08-2023,125.15,2742281
Rail Vikas,04-08-2023,122.70,448009
Rail Vikas,03-08-2023,123.25,1768688
Rail Vikas,02-08-2023,123.55,1248146
Rail Vikas,01-08-2023,125.05,2722025
Rail Vikas,31-07-2023,124.10,4300027
Rail Vikas,28-07-2023,120.95,4995680
Rail Vikas,27-07-2023,126.15,5295274
Rail Vikas,26-07-2023,134.35,1594800
Rail Vikas,25-07-2023,129.35,4179839
Rail Vikas,24-07-2023,136.10,6833974
Rail Vikas,21-07-2023,136.65,5201692
Rail Vikas,20-07-2023,128.65,7024562
Rail Vikas,19-07-2023,119.90,703735
Rail Vikas,18-07-2023,119.75,850928
Rail Vikas,17-07-2023,119.55,1417826
Rail Vikas,14-07-2023,119.55,1146639
Rail Vikas,13-07-2023,118.65,582927
Rail Vikas,12-07-2023,120.65,1891119
Rail Vikas,11-07-2023,120.95,1106049
Rail Vikas,10-07-2023,122.25,1321872
Rail Vikas,07-07-2023,121.95,1789138
Rail Vikas,06-07-2023,122.85,1149816
Rail Vikas,05-07-2023,124.10,2128631
Rail Vikas,04-07-2023,121.95,544864
Rail Vikas,03-07-2023,121.85,463923
Rail Vikas,30-06-2023,121.85,505408
Rail Vikas,28-06-2023,122.95,791723
Rail Vikas,27-06-2023,123.90,1009623
Rail Vikas,26-06-2023,123.20,1286071
Rail Vikas,23-06-2023,121.15,1072780
Rail Vikas,22-06-2023,123.45,1305052
Rail Vikas,21-06-2023,123.85,1041921
Rail Vikas,20-06-2023,122.55,1538993
Rail Vikas,19-06-2023,124.40,2140999
Rail Vikas,16-06-2023,122.85,694944
Rail Vikas,15-06-2023,122.85,1092320
Rail Vikas,14-06-2023,123.70,1693670
Rail Vikas,13-06-2023,121.95,1206062
Rail Vikas,12-06-2023,123.80,1295041
