Company Name,Date,Close,Volume
Ram Ratna Wires,08-09-2023,326.90,63544
Ram Ratna Wires,07-09-2023,328.60,22634
Ram Ratna Wires,06-09-2023,313.40,9531
Ram Ratna Wires,05-09-2023,307.75,14599
Ram Ratna Wires,04-09-2023,310.40,10966
Ram Ratna Wires,01-09-2023,307.90,29596
Ram Ratna Wires,31-08-2023,308.35,31729
Ram Ratna Wires,30-08-2023,310.65,116263
Ram Ratna Wires,29-08-2023,276.85,8347
Ram Ratna Wires,28-08-2023,277.45,16330
Ram Ratna Wires,25-08-2023,278.30,16275
Ram Ratna Wires,24-08-2023,283.95,9026
Ram Ratna Wires,23-08-2023,282.35,9988
Ram Ratna Wires,22-08-2023,282.45,5420
Ram Ratna Wires,21-08-2023,284.40,11537
Ram Ratna Wires,18-08-2023,280.85,10231
Ram Ratna Wires,17-08-2023,288.10,9949
Ram Ratna Wires,16-08-2023,287.75,11351
Ram Ratna Wires,14-08-2023,295.20,10217
Ram Ratna Wires,11-08-2023,301.70,15916
Ram Ratna Wires,10-08-2023,295.90,19595
Ram Ratna Wires,09-08-2023,312.05,2167
Ram Ratna Wires,08-08-2023,310.90,11304
Ram Ratna Wires,07-08-2023,321.10,21178
Ram Ratna Wires,04-08-2023,309.50,16109
Ram Ratna Wires,03-08-2023,298.60,9639
Ram Ratna Wires,02-08-2023,300.40,13543
Ram Ratna Wires,01-08-2023,305.30,10872
Ram Ratna Wires,31-07-2023,306.25,17512
Ram Ratna Wires,28-07-2023,313.05,10057
Ram Ratna Wires,27-07-2023,316.95,5407
Ram Ratna Wires,26-07-2023,320.15,24270
Ram Ratna Wires,25-07-2023,323.80,25568
Ram Ratna Wires,24-07-2023,322.70,49387
Ram Ratna Wires,21-07-2023,318.70,39481
Ram Ratna Wires,20-07-2023,299.95,11988
Ram Ratna Wires,19-07-2023,305.00,52659
Ram Ratna Wires,18-07-2023,290.10,10909
Ram Ratna Wires,17-07-2023,288.40,10069
Ram Ratna Wires,14-07-2023,285.85,10665
Ram Ratna Wires,13-07-2023,289.80,5271
Ram Ratna Wires,12-07-2023,292.55,5823
Ram Ratna Wires,11-07-2023,291.75,3462
Ram Ratna Wires,10-07-2023,285.90,6008
Ram Ratna Wires,07-07-2023,288.30,3032
Ram Ratna Wires,06-07-2023,289.60,7488
Ram Ratna Wires,05-07-2023,292.50,3434
Ram Ratna Wires,04-07-2023,298.75,11120
Ram Ratna Wires,03-07-2023,284.05,7894
Ram Ratna Wires,30-06-2023,276.80,36186
Ram Ratna Wires,28-06-2023,293.05,7074
Ram Ratna Wires,27-06-2023,297.60,7624
Ram Ratna Wires,26-06-2023,304.60,11353
Ram Ratna Wires,23-06-2023,305.80,27125
Ram Ratna Wires,22-06-2023,293.90,25825
Ram Ratna Wires,21-06-2023,280.10,4941
Ram Ratna Wires,20-06-2023,291.85,17440
Ram Ratna Wires,19-06-2023,285.35,4347
Ram Ratna Wires,16-06-2023,278.95,4536
Ram Ratna Wires,15-06-2023,278.65,6107
Ram Ratna Wires,14-06-2023,281.95,37858
Ram Ratna Wires,13-06-2023,288.00,38920
Ram Ratna Wires,12-06-2023,278.55,95458
