Company Name,Date,Close,Volume
Rossell India,08-09-2023,519.20,46027
Rossell India,07-09-2023,518.20,45384
Rossell India,06-09-2023,486.10,41673
Rossell India,05-09-2023,469.95,11565
Rossell India,04-09-2023,485.85,26247
Rossell India,01-09-2023,492.50,58572
Rossell India,31-08-2023,422.75,3628
Rossell India,30-08-2023,422.15,7786
Rossell India,29-08-2023,422.45,4076
Rossell India,28-08-2023,422.15,11080
Rossell India,25-08-2023,428.90,9692
Rossell India,24-08-2023,410.20,1904
Rossell India,23-08-2023,417.70,7418
Rossell India,22-08-2023,426.45,3232
Rossell India,21-08-2023,429.30,1072
Rossell India,18-08-2023,419.55,3031
Rossell India,17-08-2023,425.30,6062
Rossell India,16-08-2023,420.85,5491
Rossell India,14-08-2023,431.95,19238
Rossell India,11-08-2023,412.40,13376
Rossell India,10-08-2023,421.20,3992
Rossell India,09-08-2023,423.20,11717
Rossell India,08-08-2023,429.00,11723
Rossell India,07-08-2023,437.25,13437
Rossell India,04-08-2023,446.40,27223
Rossell India,03-08-2023,423.55,9114
Rossell India,02-08-2023,437.95,6309
Rossell India,01-08-2023,440.15,3924
Rossell India,31-07-2023,451.10,9387
Rossell India,28-07-2023,451.90,10233
Rossell India,27-07-2023,439.60,10808
Rossell India,26-07-2023,436.55,5861
Rossell India,25-07-2023,449.05,11827
Rossell India,24-07-2023,438.25,12480
Rossell India,21-07-2023,426.45,4098
Rossell India,20-07-2023,415.70,3704
Rossell India,19-07-2023,424.00,7975
Rossell India,18-07-2023,424.30,22053
Rossell India,17-07-2023,431.35,13642
Rossell India,14-07-2023,426.40,25651
Rossell India,13-07-2023,425.05,28478
Rossell India,12-07-2023,408.95,59609
Rossell India,11-07-2023,404.65,77955
Rossell India,10-07-2023,363.40,6547
Rossell India,07-07-2023,358.40,9175
Rossell India,06-07-2023,351.50,5964
Rossell India,05-07-2023,344.45,3069
Rossell India,04-07-2023,347.00,4991
Rossell India,03-07-2023,356.30,7486
Rossell India,30-06-2023,366.30,11061
Rossell India,28-06-2023,362.90,9530
Rossell India,27-06-2023,349.25,9529
Rossell India,26-06-2023,345.25,16982
Rossell India,23-06-2023,344.30,10569
Rossell India,22-06-2023,346.55,16753
Rossell India,21-06-2023,340.80,13702
Rossell India,20-06-2023,332.55,2456
Rossell India,19-06-2023,321.00,4287
Rossell India,16-06-2023,325.25,13977
Rossell India,15-06-2023,321.30,3641
Rossell India,14-06-2023,327.20,13420
Rossell India,13-06-2023,342.40,16913
Rossell India,12-06-2023,331.40,6074
