Company Name,Date,Close,Volume
S H Kelkar,08-09-2023,167.85,22986
S H Kelkar,07-09-2023,171.30,85082
S H Kelkar,06-09-2023,170.90,233365
S H Kelkar,05-09-2023,161.40,36037
S H Kelkar,04-09-2023,163.65,43879
S H Kelkar,01-09-2023,163.65,34934
S H Kelkar,31-08-2023,162.80,39382
S H Kelkar,30-08-2023,163.20,75477
S H Kelkar,29-08-2023,163.95,176726
S H Kelkar,28-08-2023,161.00,80658
S H Kelkar,25-08-2023,155.90,50543
S H Kelkar,24-08-2023,158.60,123570
S H Kelkar,23-08-2023,160.15,131230
S H Kelkar,22-08-2023,153.15,150014
S H Kelkar,21-08-2023,143.90,44750
S H Kelkar,18-08-2023,148.20,84840
S H Kelkar,17-08-2023,147.55,63863
S H Kelkar,16-08-2023,151.05,132240
S H Kelkar,14-08-2023,146.50,83066
S H Kelkar,11-08-2023,145.50,138587
S H Kelkar,10-08-2023,147.15,186421
S H Kelkar,09-08-2023,128.20,12146
S H Kelkar,08-08-2023,127.45,55522
S H Kelkar,07-08-2023,127.25,23935
S H Kelkar,04-08-2023,132.20,99061
S H Kelkar,03-08-2023,126.55,54455
S H Kelkar,02-08-2023,119.40,20559
S H Kelkar,01-08-2023,118.05,13279
S H Kelkar,31-07-2023,118.60,8196
S H Kelkar,28-07-2023,114.80,4606
S H Kelkar,27-07-2023,114.60,8186
S H Kelkar,26-07-2023,115.40,3051
S H Kelkar,25-07-2023,114.10,60486
S H Kelkar,24-07-2023,113.00,11824
S H Kelkar,21-07-2023,114.30,15414
S H Kelkar,20-07-2023,114.15,5152
S H Kelkar,19-07-2023,114.50,5427
S H Kelkar,18-07-2023,115.15,6541
S H Kelkar,17-07-2023,115.75,3079
S H Kelkar,14-07-2023,115.55,2919
S H Kelkar,13-07-2023,113.55,16913
S H Kelkar,12-07-2023,116.15,5731
S H Kelkar,11-07-2023,115.95,2279
S H Kelkar,10-07-2023,115.00,12501
S H Kelkar,07-07-2023,118.05,17457
S H Kelkar,06-07-2023,118.90,4497
S H Kelkar,05-07-2023,117.85,10526
S H Kelkar,04-07-2023,118.25,14102
S H Kelkar,03-07-2023,118.80,10064
S H Kelkar,30-06-2023,117.05,10806
S H Kelkar,28-06-2023,116.95,18749
S H Kelkar,27-06-2023,118.20,10101
S H Kelkar,26-06-2023,119.10,27767
S H Kelkar,23-06-2023,116.40,13366
S H Kelkar,22-06-2023,118.45,19377
S H Kelkar,21-06-2023,117.10,5134
S H Kelkar,20-06-2023,117.55,3707
S H Kelkar,19-06-2023,116.30,20719
S H Kelkar,16-06-2023,117.45,10850
S H Kelkar,15-06-2023,115.50,9936
S H Kelkar,14-06-2023,117.40,4182
S H Kelkar,13-06-2023,116.95,10176
S H Kelkar,12-06-2023,115.25,16179
