Company Name,Date,Close,Volume
Sarveshwar Food,08-09-2023,138.45,34590
Sarveshwar Food,07-09-2023,139.25,17484
Sarveshwar Food,06-09-2023,139.00,20264
Sarveshwar Food,05-09-2023,138.85,31601
Sarveshwar Food,04-09-2023,137.60,60681
Sarveshwar Food,01-09-2023,132.10,17959
Sarveshwar Food,31-08-2023,133.00,19026
Sarveshwar Food,30-08-2023,131.65,31773
Sarveshwar Food,29-08-2023,135.70,48797
Sarveshwar Food,28-08-2023,136.80,80482
Sarveshwar Food,25-08-2023,130.75,48409
Sarveshwar Food,24-08-2023,124.65,16834
Sarveshwar Food,23-08-2023,123.55,7764
Sarveshwar Food,22-08-2023,124.45,9572
Sarveshwar Food,21-08-2023,128.60,20527
Sarveshwar Food,18-08-2023,133.25,27743
Sarveshwar Food,17-08-2023,127.05,10695
Sarveshwar Food,16-08-2023,121.00,21786
Sarveshwar Food,14-08-2023,115.25,8088
Sarveshwar Food,11-08-2023,116.30,18050
Sarveshwar Food,10-08-2023,122.05,43323
Sarveshwar Food,09-08-2023,116.25,9059
Sarveshwar Food,08-08-2023,122.35,17715
Sarveshwar Food,07-08-2023,128.75,62346
Sarveshwar Food,04-08-2023,135.50,153773
Sarveshwar Food,03-08-2023,123.20,190509
Sarveshwar Food,02-08-2023,112.10,70334
Sarveshwar Food,01-08-2023,103.40,18083
Sarveshwar Food,31-07-2023,102.35,10725
Sarveshwar Food,28-07-2023,99.14,12301
Sarveshwar Food,27-07-2023,99.01,7150
Sarveshwar Food,26-07-2023,97.08,47104
Sarveshwar Food,25-07-2023,104.38,72308
Sarveshwar Food,24-07-2023,103.46,115986
Sarveshwar Food,21-07-2023,87.35,49980
Sarveshwar Food,20-07-2023,79.62,7231
Sarveshwar Food,19-07-2023,81.42,31271
Sarveshwar Food,18-07-2023,79.35,44185
Sarveshwar Food,17-07-2023,73.64,17065
Sarveshwar Food,14-07-2023,67.84,454
Sarveshwar Food,13-07-2023,67.51,13624
Sarveshwar Food,12-07-2023,69.98,1665
Sarveshwar Food,11-07-2023,68.92,3506
Sarveshwar Food,10-07-2023,70.20,768
Sarveshwar Food,07-07-2023,70.50,4226
Sarveshwar Food,06-07-2023,70.70,2594
Sarveshwar Food,05-07-2023,68.50,808
Sarveshwar Food,04-07-2023,69.25,797
Sarveshwar Food,03-07-2023,70.00,2009
Sarveshwar Food,30-06-2023,69.85,505
Sarveshwar Food,28-06-2023,69.65,1598
Sarveshwar Food,27-06-2023,69.08,3497
Sarveshwar Food,26-06-2023,68.64,1349
Sarveshwar Food,23-06-2023,69.48,4454
Sarveshwar Food,22-06-2023,71.98,921
Sarveshwar Food,21-06-2023,72.05,1631
Sarveshwar Food,20-06-2023,73.36,2419
Sarveshwar Food,19-06-2023,73.12,509
Sarveshwar Food,16-06-2023,72.97,1014
Sarveshwar Food,15-06-2023,73.50,808
Sarveshwar Food,14-06-2023,73.87,699
Sarveshwar Food,13-06-2023,74.50,1856
Sarveshwar Food,12-06-2023,76.30,4924
