Company Name,Date,Close,Volume
Seshasayee Pape,08-09-2023,374.40,62822
Seshasayee Pape,07-09-2023,387.75,127021
Seshasayee Pape,06-09-2023,365.65,96136
Seshasayee Pape,05-09-2023,322.50,24867
Seshasayee Pape,04-09-2023,327.00,33478
Seshasayee Pape,01-09-2023,321.50,15995
Seshasayee Pape,31-08-2023,312.05,4748
Seshasayee Pape,30-08-2023,314.85,22446
Seshasayee Pape,29-08-2023,309.50,28645
Seshasayee Pape,28-08-2023,311.65,17765
Seshasayee Pape,25-08-2023,308.70,35205
Seshasayee Pape,24-08-2023,314.00,54519
Seshasayee Pape,23-08-2023,306.60,84944
Seshasayee Pape,22-08-2023,288.50,5346
Seshasayee Pape,21-08-2023,289.80,11211
Seshasayee Pape,18-08-2023,282.40,18117
Seshasayee Pape,17-08-2023,288.45,19257
Seshasayee Pape,16-08-2023,280.45,10365
Seshasayee Pape,14-08-2023,264.45,3231
Seshasayee Pape,11-08-2023,268.05,7851
Seshasayee Pape,10-08-2023,265.40,9197
Seshasayee Pape,09-08-2023,265.20,3653
Seshasayee Pape,08-08-2023,269.50,2717
Seshasayee Pape,07-08-2023,267.45,16089
Seshasayee Pape,04-08-2023,258.90,11188
Seshasayee Pape,03-08-2023,268.45,8407
Seshasayee Pape,02-08-2023,270.40,9063
Seshasayee Pape,01-08-2023,269.60,18970
Seshasayee Pape,31-07-2023,276.55,6442
Seshasayee Pape,28-07-2023,273.50,12218
Seshasayee Pape,27-07-2023,269.80,3707
Seshasayee Pape,26-07-2023,272.70,6095
Seshasayee Pape,25-07-2023,274.10,12872
Seshasayee Pape,24-07-2023,272.80,74317
Seshasayee Pape,21-07-2023,298.00,21489
Seshasayee Pape,20-07-2023,292.15,8278
Seshasayee Pape,19-07-2023,293.45,2960
Seshasayee Pape,18-07-2023,290.50,14936
Seshasayee Pape,17-07-2023,297.85,18362
Seshasayee Pape,14-07-2023,286.85,6695
Seshasayee Pape,13-07-2023,289.95,11101
Seshasayee Pape,12-07-2023,293.00,8801
Seshasayee Pape,11-07-2023,290.35,11684
Seshasayee Pape,10-07-2023,286.20,2767
Seshasayee Pape,07-07-2023,282.70,3348
Seshasayee Pape,06-07-2023,279.85,9509
Seshasayee Pape,05-07-2023,283.65,15407
Seshasayee Pape,04-07-2023,288.80,44747
Seshasayee Pape,03-07-2023,279.45,1303
Seshasayee Pape,30-06-2023,281.00,3350
Seshasayee Pape,28-06-2023,281.05,16524
Seshasayee Pape,27-06-2023,274.55,1814
Seshasayee Pape,26-06-2023,275.35,5879
Seshasayee Pape,23-06-2023,272.40,1204
Seshasayee Pape,22-06-2023,277.45,4744
Seshasayee Pape,21-06-2023,281.30,3912
Seshasayee Pape,20-06-2023,280.45,4413
Seshasayee Pape,19-06-2023,278.00,3275
Seshasayee Pape,16-06-2023,279.20,7697
Seshasayee Pape,15-06-2023,283.05,9334
Seshasayee Pape,14-06-2023,271.85,2261
Seshasayee Pape,13-06-2023,272.10,7865
Seshasayee Pape,12-06-2023,268.75,2870
