Company Name,Date,Close,Volume
Sharda Motor,08-09-2023,1040.85,14413
Sharda Motor,07-09-2023,1066.90,20825
Sharda Motor,06-09-2023,1002.75,6533
Sharda Motor,05-09-2023,1011.10,3936
Sharda Motor,04-09-2023,1006.30,10824
Sharda Motor,01-09-2023,1017.60,26259
Sharda Motor,31-08-2023,1033.85,52095
Sharda Motor,30-08-2023,997.00,35664
Sharda Motor,29-08-2023,878.15,5118
Sharda Motor,28-08-2023,885.80,16416
Sharda Motor,25-08-2023,814.05,1754
Sharda Motor,24-08-2023,809.45,2311
Sharda Motor,23-08-2023,832.15,4014
Sharda Motor,22-08-2023,855.00,999
Sharda Motor,21-08-2023,840.00,1500
Sharda Motor,18-08-2023,855.60,1836
Sharda Motor,17-08-2023,859.10,1329
Sharda Motor,16-08-2023,868.40,798
Sharda Motor,14-08-2023,850.35,2358
Sharda Motor,11-08-2023,859.75,2665
Sharda Motor,10-08-2023,867.10,4772
Sharda Motor,09-08-2023,853.70,2979
Sharda Motor,08-08-2023,880.00,1927
Sharda Motor,07-08-2023,873.30,4981
Sharda Motor,04-08-2023,880.25,1447
Sharda Motor,03-08-2023,867.65,1041
Sharda Motor,02-08-2023,865.30,6536
Sharda Motor,01-08-2023,858.90,2157
Sharda Motor,31-07-2023,853.70,9681
Sharda Motor,28-07-2023,840.95,1090
Sharda Motor,27-07-2023,826.85,2657
Sharda Motor,26-07-2023,835.15,1668
Sharda Motor,25-07-2023,823.70,2265
Sharda Motor,24-07-2023,815.20,2513
Sharda Motor,21-07-2023,829.20,2489
Sharda Motor,20-07-2023,819.10,1453
Sharda Motor,19-07-2023,821.35,1983
Sharda Motor,18-07-2023,823.55,2571
Sharda Motor,17-07-2023,823.75,5723
Sharda Motor,14-07-2023,824.45,5125
Sharda Motor,13-07-2023,827.25,704
Sharda Motor,12-07-2023,829.50,6863
Sharda Motor,11-07-2023,832.35,8285
Sharda Motor,10-07-2023,835.35,21739
Sharda Motor,07-07-2023,832.45,9127
Sharda Motor,06-07-2023,805.75,2509
Sharda Motor,05-07-2023,798.10,1322
Sharda Motor,04-07-2023,786.65,2723
Sharda Motor,03-07-2023,805.85,2218
Sharda Motor,30-06-2023,777.55,1050
Sharda Motor,28-06-2023,768.80,2507
Sharda Motor,27-06-2023,780.45,1902
Sharda Motor,26-06-2023,762.90,14237
Sharda Motor,23-06-2023,783.10,3760
Sharda Motor,22-06-2023,795.50,3231
Sharda Motor,21-06-2023,807.10,4031
Sharda Motor,20-06-2023,808.20,2367
Sharda Motor,19-06-2023,807.65,14324
Sharda Motor,16-06-2023,811.75,10607
Sharda Motor,15-06-2023,836.35,10327
Sharda Motor,14-06-2023,827.00,12143
Sharda Motor,13-06-2023,816.45,13847
Sharda Motor,12-06-2023,810.35,7518
