Company Name,Date,Close,Volume
Shipping Corp,08-09-2023,154.65,2177738
Shipping Corp,07-09-2023,144.30,646254
Shipping Corp,06-09-2023,139.90,513325
Shipping Corp,05-09-2023,148.35,1357824
Shipping Corp,04-09-2023,142.35,1273189
Shipping Corp,01-09-2023,129.50,207906
Shipping Corp,31-08-2023,130.10,201763
Shipping Corp,30-08-2023,128.45,206598
Shipping Corp,29-08-2023,128.20,120420
Shipping Corp,28-08-2023,125.95,107577
Shipping Corp,25-08-2023,124.65,316785
Shipping Corp,24-08-2023,127.80,595703
Shipping Corp,23-08-2023,129.05,1803901
Shipping Corp,22-08-2023,117.75,354881
Shipping Corp,21-08-2023,115.40,301248
Shipping Corp,18-08-2023,117.55,910497
Shipping Corp,17-08-2023,117.60,1805144
Shipping Corp,16-08-2023,108.55,690944
Shipping Corp,14-08-2023,104.50,265303
Shipping Corp,11-08-2023,103.40,483856
Shipping Corp,10-08-2023,100.65,199421
Shipping Corp,09-08-2023,99.85,78695
Shipping Corp,08-08-2023,99.45,92590
Shipping Corp,07-08-2023,100.05,74043
Shipping Corp,04-08-2023,102.85,160037
Shipping Corp,03-08-2023,102.10,208646
Shipping Corp,02-08-2023,100.80,264017
Shipping Corp,01-08-2023,103.00,121565
Shipping Corp,31-07-2023,103.70,659413
Shipping Corp,28-07-2023,97.80,74327
Shipping Corp,27-07-2023,97.45,60676
Shipping Corp,26-07-2023,97.85,86285
Shipping Corp,25-07-2023,97.85,139920
Shipping Corp,24-07-2023,98.20,39597
Shipping Corp,21-07-2023,98.40,85855
Shipping Corp,20-07-2023,98.25,59863
Shipping Corp,19-07-2023,98.95,149922
Shipping Corp,18-07-2023,99.25,94351
Shipping Corp,17-07-2023,99.85,117806
Shipping Corp,14-07-2023,100.65,95318
Shipping Corp,13-07-2023,100.00,53413
Shipping Corp,12-07-2023,101.55,117857
Shipping Corp,11-07-2023,101.45,229352
Shipping Corp,10-07-2023,98.90,38041
Shipping Corp,07-07-2023,99.60,86007
Shipping Corp,06-07-2023,100.90,96356
Shipping Corp,05-07-2023,100.10,59396
Shipping Corp,04-07-2023,100.60,66626
Shipping Corp,03-07-2023,101.80,54849
Shipping Corp,30-06-2023,100.79,75192
Shipping Corp,28-06-2023,101.47,103114
Shipping Corp,27-06-2023,102.37,131196
Shipping Corp,26-06-2023,102.08,28107
Shipping Corp,23-06-2023,101.67,132835
Shipping Corp,22-06-2023,104.26,33998
Shipping Corp,21-06-2023,104.79,116400
Shipping Corp,20-06-2023,104.80,45717
Shipping Corp,19-06-2023,103.91,74679
Shipping Corp,16-06-2023,104.97,167951
Shipping Corp,15-06-2023,103.28,183384
Shipping Corp,14-06-2023,103.93,43227
Shipping Corp,13-06-2023,105.19,56734
Shipping Corp,12-06-2023,104.78,178063
