Company Name,Date,Close,Volume
Shriram Finance,08-09-2023,1954.65,22894
Shriram Finance,07-09-2023,1889.80,39245
Shriram Finance,06-09-2023,1880.70,5100828
Shriram Finance,05-09-2023,1912.05,22734
Shriram Finance,04-09-2023,1894.60,54762
Shriram Finance,01-09-2023,1910.80,41605
Shriram Finance,31-08-2023,1924.75,68840
Shriram Finance,30-08-2023,1882.75,20140
Shriram Finance,29-08-2023,1872.05,68191
Shriram Finance,28-08-2023,1864.30,10774
Shriram Finance,25-08-2023,1863.10,18920
Shriram Finance,24-08-2023,1875.55,101874
Shriram Finance,23-08-2023,1852.50,10201
Shriram Finance,22-08-2023,1843.85,11219
Shriram Finance,21-08-2023,1843.20,115484
Shriram Finance,18-08-2023,1820.60,59945
Shriram Finance,17-08-2023,1844.55,53299
Shriram Finance,16-08-2023,1795.90,23152
Shriram Finance,14-08-2023,1810.55,31668
Shriram Finance,11-08-2023,1806.85,30027
Shriram Finance,10-08-2023,1850.15,15085
Shriram Finance,09-08-2023,1848.40,31242
Shriram Finance,08-08-2023,1863.25,87178
Shriram Finance,07-08-2023,1855.00,79579
Shriram Finance,04-08-2023,1832.50,48274
Shriram Finance,03-08-2023,1817.55,10744
Shriram Finance,02-08-2023,1831.90,28983
Shriram Finance,01-08-2023,1853.95,32972
Shriram Finance,31-07-2023,1891.85,39907
Shriram Finance,28-07-2023,1817.20,42379
Shriram Finance,27-07-2023,1812.90,59318
Shriram Finance,26-07-2023,1819.55,22838
Shriram Finance,25-07-2023,1823.95,31466
Shriram Finance,24-07-2023,1795.05,106371
Shriram Finance,21-07-2023,1832.60,126903
Shriram Finance,20-07-2023,1781.30,6688
Shriram Finance,19-07-2023,1785.00,13702
Shriram Finance,18-07-2023,1783.60,20089
Shriram Finance,17-07-2023,1768.40,105915
Shriram Finance,14-07-2023,1783.15,18681
Shriram Finance,13-07-2023,1788.30,30071
Shriram Finance,12-07-2023,1805.20,26617
Shriram Finance,11-07-2023,1759.90,27930
Shriram Finance,10-07-2023,1723.80,22363
Shriram Finance,07-07-2023,1718.10,34350
Shriram Finance,06-07-2023,1771.75,26881
Shriram Finance,05-07-2023,1802.40,49135
Shriram Finance,04-07-2023,1777.20,172421
Shriram Finance,03-07-2023,1757.25,36922
Shriram Finance,30-06-2023,1735.15,78275
Shriram Finance,28-06-2023,1700.15,21409
Shriram Finance,27-06-2023,1694.05,70836
Shriram Finance,26-06-2023,1704.35,67166
Shriram Finance,23-06-2023,1670.75,164759
Shriram Finance,22-06-2023,1717.15,147670
Shriram Finance,21-06-2023,1734.20,467620
Shriram Finance,20-06-2023,1559.45,149242
Shriram Finance,19-06-2023,1469.60,10032481
Shriram Finance,16-06-2023,1401.15,37419
Shriram Finance,15-06-2023,1413.40,95060
Shriram Finance,14-06-2023,1408.05,11843
Shriram Finance,13-06-2023,1442.60,10150
Shriram Finance,12-06-2023,1452.30,24998
