Company Name,Date,Close,Volume
Siyaram Silk,08-09-2023,596.00,99531
Siyaram Silk,07-09-2023,557.90,6126
Siyaram Silk,06-09-2023,553.95,16909
Siyaram Silk,05-09-2023,542.90,16563
Siyaram Silk,04-09-2023,541.25,10200
Siyaram Silk,01-09-2023,534.85,3231
Siyaram Silk,31-08-2023,533.70,5103
Siyaram Silk,30-08-2023,527.80,8812
Siyaram Silk,29-08-2023,526.50,8864
Siyaram Silk,28-08-2023,531.80,5260
Siyaram Silk,25-08-2023,535.80,5979
Siyaram Silk,24-08-2023,534.25,5778
Siyaram Silk,23-08-2023,535.75,6353
Siyaram Silk,22-08-2023,533.70,8661
Siyaram Silk,21-08-2023,536.60,3786
Siyaram Silk,18-08-2023,527.10,8296
Siyaram Silk,17-08-2023,529.90,7645
Siyaram Silk,16-08-2023,525.40,9787
Siyaram Silk,14-08-2023,527.00,36071
Siyaram Silk,11-08-2023,551.90,11822
Siyaram Silk,10-08-2023,554.95,8926
Siyaram Silk,09-08-2023,549.85,1340
Siyaram Silk,08-08-2023,555.20,16608
Siyaram Silk,07-08-2023,544.70,3423
Siyaram Silk,04-08-2023,541.85,2515
Siyaram Silk,03-08-2023,540.45,3655
Siyaram Silk,02-08-2023,542.30,12798
Siyaram Silk,01-08-2023,552.35,5811
Siyaram Silk,31-07-2023,552.00,13574
Siyaram Silk,28-07-2023,539.40,5235
Siyaram Silk,27-07-2023,542.95,2597
Siyaram Silk,26-07-2023,550.20,5128
Siyaram Silk,25-07-2023,552.20,2151
Siyaram Silk,24-07-2023,552.15,5660
Siyaram Silk,21-07-2023,557.95,2477
Siyaram Silk,20-07-2023,554.45,1917
Siyaram Silk,19-07-2023,553.25,4066
Siyaram Silk,18-07-2023,557.85,4152
Siyaram Silk,17-07-2023,559.60,10751
Siyaram Silk,14-07-2023,559.50,7548
Siyaram Silk,13-07-2023,559.45,10679
Siyaram Silk,12-07-2023,566.40,16880
Siyaram Silk,11-07-2023,562.80,6937
Siyaram Silk,10-07-2023,561.60,9993
Siyaram Silk,07-07-2023,558.10,20581
Siyaram Silk,06-07-2023,557.40,15286
Siyaram Silk,05-07-2023,547.45,6475
Siyaram Silk,04-07-2023,538.15,7197
Siyaram Silk,03-07-2023,539.20,6826
Siyaram Silk,30-06-2023,543.55,12684
Siyaram Silk,28-06-2023,536.15,7934
Siyaram Silk,27-06-2023,535.05,6033
Siyaram Silk,26-06-2023,535.70,3275
Siyaram Silk,23-06-2023,534.75,10957
Siyaram Silk,22-06-2023,539.75,9808
Siyaram Silk,21-06-2023,543.00,34352
Siyaram Silk,20-06-2023,554.15,2737
Siyaram Silk,19-06-2023,550.95,5008
Siyaram Silk,16-06-2023,552.20,10505
Siyaram Silk,15-06-2023,550.00,15386
Siyaram Silk,14-06-2023,548.75,4710
Siyaram Silk,13-06-2023,558.80,6759
Siyaram Silk,12-06-2023,554.65,6388
