Company Name,Date,Close,Volume
Steelcast,08-09-2023,724.95,11634
Steelcast,07-09-2023,690.00,21603
Steelcast,06-09-2023,650.75,6763
Steelcast,05-09-2023,697.80,4192
Steelcast,04-09-2023,690.65,1932
Steelcast,01-09-2023,680.30,8421
Steelcast,31-08-2023,688.65,16139
Steelcast,30-08-2023,682.10,11907
Steelcast,29-08-2023,647.90,26693
Steelcast,28-08-2023,641.10,17184
Steelcast,25-08-2023,618.30,6360
Steelcast,24-08-2023,623.15,6397
Steelcast,23-08-2023,608.80,4872
Steelcast,22-08-2023,603.90,13623
Steelcast,21-08-2023,597.55,17061
Steelcast,18-08-2023,565.70,6698
Steelcast,17-08-2023,564.40,4149
Steelcast,16-08-2023,560.95,3852
Steelcast,14-08-2023,548.20,2558
Steelcast,11-08-2023,538.00,1493
Steelcast,10-08-2023,543.10,7805
Steelcast,09-08-2023,547.20,12699
Steelcast,08-08-2023,535.10,8218
Steelcast,07-08-2023,528.30,14547
Steelcast,04-08-2023,528.15,30215
Steelcast,03-08-2023,504.35,5929
Steelcast,02-08-2023,509.65,4225
Steelcast,01-08-2023,519.05,9373
Steelcast,31-07-2023,531.20,24617
Steelcast,28-07-2023,496.35,846
Steelcast,27-07-2023,486.95,1597
Steelcast,26-07-2023,488.05,2194
Steelcast,25-07-2023,483.20,388
Steelcast,24-07-2023,476.60,941
Steelcast,21-07-2023,480.40,2838
Steelcast,20-07-2023,495.40,186
Steelcast,19-07-2023,499.10,2129
Steelcast,18-07-2023,492.55,1898
Steelcast,17-07-2023,499.70,3584
Steelcast,14-07-2023,489.40,397
Steelcast,13-07-2023,476.90,3044
Steelcast,12-07-2023,478.60,7300
Steelcast,11-07-2023,489.80,857
Steelcast,10-07-2023,487.95,1962
Steelcast,07-07-2023,493.75,1683
Steelcast,06-07-2023,494.75,1795
Steelcast,05-07-2023,497.95,4761
Steelcast,04-07-2023,469.05,1777
Steelcast,03-07-2023,475.55,869
Steelcast,30-06-2023,473.50,1723
Steelcast,28-06-2023,474.45,1627
Steelcast,27-06-2023,466.90,178
Steelcast,26-06-2023,464.35,3985
Steelcast,23-06-2023,467.15,3582
Steelcast,22-06-2023,485.55,2016
Steelcast,21-06-2023,486.00,1745
Steelcast,20-06-2023,480.15,2075
Steelcast,19-06-2023,493.00,2567
Steelcast,16-06-2023,490.95,3092
Steelcast,15-06-2023,488.45,5757
Steelcast,14-06-2023,504.20,1920
Steelcast,13-06-2023,501.50,4417
Steelcast,12-06-2023,500.65,2114
