Company Name,Date,Close,Volume
Strides Pharma,08-09-2023,481.10,49233
Strides Pharma,07-09-2023,477.10,65038
Strides Pharma,06-09-2023,458.65,7448
Strides Pharma,05-09-2023,451.40,132899
Strides Pharma,04-09-2023,443.35,15542
Strides Pharma,01-09-2023,437.50,13758
Strides Pharma,31-08-2023,442.75,13740
Strides Pharma,30-08-2023,439.05,9948
Strides Pharma,29-08-2023,435.95,31619
Strides Pharma,28-08-2023,438.25,13602
Strides Pharma,25-08-2023,440.90,8138
Strides Pharma,24-08-2023,437.90,11088
Strides Pharma,23-08-2023,427.40,21367
Strides Pharma,22-08-2023,417.25,5680
Strides Pharma,21-08-2023,418.20,17567
Strides Pharma,18-08-2023,414.40,36836
Strides Pharma,17-08-2023,423.20,13912
Strides Pharma,16-08-2023,425.80,15689
Strides Pharma,14-08-2023,443.40,27394
Strides Pharma,11-08-2023,429.60,8120
Strides Pharma,10-08-2023,437.25,26092
Strides Pharma,09-08-2023,437.35,17482
Strides Pharma,08-08-2023,440.00,29028
Strides Pharma,07-08-2023,442.50,40264
Strides Pharma,04-08-2023,448.10,21709
Strides Pharma,03-08-2023,443.65,52177
Strides Pharma,02-08-2023,446.30,165765
Strides Pharma,01-08-2023,480.20,57214
Strides Pharma,31-07-2023,472.10,67424
Strides Pharma,28-07-2023,460.20,23496
Strides Pharma,27-07-2023,452.10,60374
Strides Pharma,26-07-2023,441.80,13922
Strides Pharma,25-07-2023,444.95,90748
Strides Pharma,24-07-2023,444.75,19479
Strides Pharma,21-07-2023,440.20,16161
Strides Pharma,20-07-2023,437.70,17952
Strides Pharma,19-07-2023,434.05,20525
Strides Pharma,18-07-2023,437.15,12327
Strides Pharma,17-07-2023,443.00,35523
Strides Pharma,14-07-2023,435.80,17154
Strides Pharma,13-07-2023,434.15,32153
Strides Pharma,12-07-2023,443.10,22004
Strides Pharma,11-07-2023,433.60,30136
Strides Pharma,10-07-2023,435.95,29258
Strides Pharma,07-07-2023,442.45,39651
Strides Pharma,06-07-2023,441.45,61379
Strides Pharma,05-07-2023,451.45,134833
Strides Pharma,04-07-2023,483.45,71757
Strides Pharma,03-07-2023,467.95,225687
Strides Pharma,30-06-2023,430.25,40220
Strides Pharma,28-06-2023,429.30,30687
Strides Pharma,27-06-2023,430.60,99396
Strides Pharma,26-06-2023,418.85,36055
Strides Pharma,23-06-2023,412.90,28916
Strides Pharma,22-06-2023,413.90,37665
Strides Pharma,21-06-2023,413.85,15973
Strides Pharma,20-06-2023,416.45,47148
Strides Pharma,19-06-2023,422.10,131819
Strides Pharma,16-06-2023,403.25,28365
Strides Pharma,15-06-2023,401.95,15786
Strides Pharma,14-06-2023,400.40,53584
Strides Pharma,13-06-2023,407.20,41419
Strides Pharma,12-06-2023,408.75,132365
