Company Name,Date,Close,Volume
Surya Roshni,08-09-2023,1128.25,56368
Surya Roshni,07-09-2023,1066.80,19169
Surya Roshni,06-09-2023,1077.90,27334
Surya Roshni,05-09-2023,1047.80,51817
Surya Roshni,04-09-2023,998.65,14777
Surya Roshni,01-09-2023,975.90,27909
Surya Roshni,31-08-2023,950.70,21254
Surya Roshni,30-08-2023,970.30,59079
Surya Roshni,29-08-2023,892.05,18394
Surya Roshni,28-08-2023,866.10,9378
Surya Roshni,25-08-2023,852.05,22673
Surya Roshni,24-08-2023,836.05,5425
Surya Roshni,23-08-2023,830.45,20365
Surya Roshni,22-08-2023,817.45,16627
Surya Roshni,21-08-2023,818.55,37876
Surya Roshni,18-08-2023,755.55,24278
Surya Roshni,17-08-2023,766.85,5181
Surya Roshni,16-08-2023,781.80,10948
Surya Roshni,14-08-2023,765.10,53509
Surya Roshni,11-08-2023,785.95,53060
Surya Roshni,10-08-2023,828.95,9528
Surya Roshni,09-08-2023,815.45,7017
Surya Roshni,08-08-2023,809.65,14280
Surya Roshni,07-08-2023,822.25,6411
Surya Roshni,04-08-2023,823.35,16751
Surya Roshni,03-08-2023,815.00,7082
Surya Roshni,02-08-2023,804.95,10764
Surya Roshni,01-08-2023,808.60,13238
Surya Roshni,31-07-2023,816.15,20766
Surya Roshni,28-07-2023,805.05,13289
Surya Roshni,27-07-2023,815.15,10303
Surya Roshni,26-07-2023,800.35,16711
Surya Roshni,25-07-2023,790.55,5060
Surya Roshni,24-07-2023,778.95,26452
Surya Roshni,21-07-2023,791.65,16609
Surya Roshni,20-07-2023,792.40,3828
Surya Roshni,19-07-2023,799.50,4113
Surya Roshni,18-07-2023,787.30,15492
Surya Roshni,17-07-2023,795.35,4694
Surya Roshni,14-07-2023,792.40,9945
Surya Roshni,13-07-2023,787.95,13137
Surya Roshni,12-07-2023,800.40,9774
Surya Roshni,11-07-2023,799.25,16240
Surya Roshni,10-07-2023,779.90,14797
Surya Roshni,07-07-2023,788.85,14255
Surya Roshni,06-07-2023,780.95,24069
Surya Roshni,05-07-2023,772.80,56370
Surya Roshni,04-07-2023,795.40,44961
Surya Roshni,03-07-2023,793.30,68288
Surya Roshni,30-06-2023,866.80,16117
Surya Roshni,28-06-2023,871.90,112134
Surya Roshni,27-06-2023,891.85,43104
Surya Roshni,26-06-2023,838.00,54145
Surya Roshni,23-06-2023,837.75,45045
Surya Roshni,22-06-2023,834.25,20246
Surya Roshni,21-06-2023,831.55,20394
Surya Roshni,20-06-2023,834.30,22730
Surya Roshni,19-06-2023,832.00,9436
Surya Roshni,16-06-2023,832.15,14900
Surya Roshni,15-06-2023,831.20,22189
Surya Roshni,14-06-2023,838.70,60133
Surya Roshni,13-06-2023,800.35,3334
Surya Roshni,12-06-2023,800.90,3064
