Company Name,Date,Close,Volume
TVS Motor,08-09-2023,1480.25,6879
TVS Motor,07-09-2023,1479.60,15013
TVS Motor,06-09-2023,1478.00,46431
TVS Motor,05-09-2023,1458.15,11435
TVS Motor,04-09-2023,1452.10,44963
TVS Motor,01-09-2023,1454.60,38776
TVS Motor,31-08-2023,1419.35,47789
TVS Motor,30-08-2023,1415.55,60590
TVS Motor,29-08-2023,1379.90,19489
TVS Motor,28-08-2023,1348.25,13733
TVS Motor,25-08-2023,1339.30,42141
TVS Motor,24-08-2023,1362.90,42740
TVS Motor,23-08-2023,1355.45,45724
TVS Motor,22-08-2023,1354.05,24827
TVS Motor,21-08-2023,1348.25,21809
TVS Motor,18-08-2023,1341.55,7555
TVS Motor,17-08-2023,1336.40,14231
TVS Motor,16-08-2023,1339.95,15720
TVS Motor,14-08-2023,1343.55,22131
TVS Motor,11-08-2023,1350.45,15386
TVS Motor,10-08-2023,1348.85,13244
TVS Motor,09-08-2023,1338.80,18983
TVS Motor,08-08-2023,1331.25,25243
TVS Motor,07-08-2023,1340.85,24239
TVS Motor,04-08-2023,1359.45,9197
TVS Motor,03-08-2023,1361.75,28026
TVS Motor,02-08-2023,1379.80,46260
TVS Motor,01-08-2023,1370.15,14826
TVS Motor,31-07-2023,1376.25,20707
TVS Motor,28-07-2023,1357.85,7963
TVS Motor,27-07-2023,1354.20,14943
TVS Motor,26-07-2023,1371.85,66292
TVS Motor,25-07-2023,1384.15,153567
TVS Motor,24-07-2023,1306.50,97901
TVS Motor,21-07-2023,1342.65,18966
TVS Motor,20-07-2023,1345.50,250861
TVS Motor,19-07-2023,1334.00,62253
TVS Motor,18-07-2023,1346.00,14518
TVS Motor,17-07-2023,1342.45,32447
TVS Motor,14-07-2023,1348.80,53166
TVS Motor,13-07-2023,1329.95,18080
TVS Motor,12-07-2023,1339.45,14555
TVS Motor,11-07-2023,1340.65,170740
TVS Motor,10-07-2023,1309.25,19523
TVS Motor,07-07-2023,1322.05,239010
TVS Motor,06-07-2023,1314.60,25920
TVS Motor,05-07-2023,1320.80,46910
TVS Motor,04-07-2023,1303.00,21491
TVS Motor,03-07-2023,1318.40,12303
TVS Motor,30-06-2023,1324.95,13973
TVS Motor,28-06-2023,1328.55,52657
TVS Motor,27-06-2023,1305.25,117426
TVS Motor,26-06-2023,1290.00,14492
TVS Motor,23-06-2023,1301.70,15470
TVS Motor,22-06-2023,1325.60,12234
TVS Motor,21-06-2023,1350.40,11086
TVS Motor,20-06-2023,1342.95,78185
TVS Motor,19-06-2023,1337.85,16738
TVS Motor,16-06-2023,1352.05,26131
TVS Motor,15-06-2023,1333.20,12689
TVS Motor,14-06-2023,1344.80,66481
TVS Motor,13-06-2023,1346.40,15413
TVS Motor,12-06-2023,1339.40,87309
