Company Name,Date,Close,Volume
TVS Supply,08-09-2023,230.60,387295
TVS Supply,07-09-2023,221.40,486999
TVS Supply,06-09-2023,201.30,35341
TVS Supply,05-09-2023,200.00,92329
TVS Supply,04-09-2023,200.20,33506
TVS Supply,01-09-2023,200.10,60218
TVS Supply,31-08-2023,200.25,57483
TVS Supply,30-08-2023,200.45,83745
TVS Supply,29-08-2023,199.95,52105
TVS Supply,28-08-2023,197.15,98223
TVS Supply,25-08-2023,197.05,102283
TVS Supply,24-08-2023,198.85,183156
TVS Supply,23-08-2023,200.95,1758577
