Company Name,Date,Close,Volume
Techno Electric,08-09-2023,549.55,14649
Techno Electric,07-09-2023,540.95,12000
Techno Electric,06-09-2023,537.60,22161
Techno Electric,05-09-2023,545.25,6780
Techno Electric,04-09-2023,544.70,27535
Techno Electric,01-09-2023,534.75,34417
Techno Electric,31-08-2023,534.90,35094
Techno Electric,30-08-2023,528.15,57179
Techno Electric,29-08-2023,499.55,40823
Techno Electric,28-08-2023,499.60,31803
Techno Electric,25-08-2023,489.60,42371
Techno Electric,24-08-2023,498.05,46784
Techno Electric,23-08-2023,502.90,81847
Techno Electric,22-08-2023,480.35,74622
Techno Electric,21-08-2023,473.65,78855
Techno Electric,18-08-2023,483.10,39048
Techno Electric,17-08-2023,493.60,49448
Techno Electric,16-08-2023,475.30,17583
Techno Electric,14-08-2023,462.80,42869
Techno Electric,11-08-2023,472.65,25499
Techno Electric,10-08-2023,463.70,25969
Techno Electric,09-08-2023,464.05,6272
Techno Electric,08-08-2023,467.15,10598
Techno Electric,07-08-2023,464.55,44677
Techno Electric,04-08-2023,462.45,4107
Techno Electric,03-08-2023,455.95,6665
Techno Electric,02-08-2023,464.10,9690
Techno Electric,01-08-2023,477.65,5855
Techno Electric,31-07-2023,491.15,7981
Techno Electric,28-07-2023,490.40,6877
Techno Electric,27-07-2023,483.15,6225
Techno Electric,26-07-2023,479.35,5329
Techno Electric,25-07-2023,484.90,24745
Techno Electric,24-07-2023,459.80,9109
Techno Electric,21-07-2023,457.80,5608
Techno Electric,20-07-2023,437.40,4335
Techno Electric,19-07-2023,451.35,45603
Techno Electric,18-07-2023,443.05,16290
Techno Electric,17-07-2023,428.75,10391
Techno Electric,14-07-2023,432.40,12532
Techno Electric,13-07-2023,420.40,12451
Techno Electric,12-07-2023,414.85,5803
Techno Electric,11-07-2023,407.50,18161
Techno Electric,10-07-2023,394.50,3616
Techno Electric,07-07-2023,395.30,16370
Techno Electric,06-07-2023,383.60,10229
Techno Electric,05-07-2023,373.05,11660
Techno Electric,04-07-2023,370.20,1525
Techno Electric,03-07-2023,368.45,11661
Techno Electric,30-06-2023,364.05,7775
Techno Electric,28-06-2023,367.30,2943
Techno Electric,27-06-2023,366.35,6439
Techno Electric,26-06-2023,372.40,10078
Techno Electric,23-06-2023,352.20,5862
Techno Electric,22-06-2023,354.05,3889
Techno Electric,21-06-2023,357.45,2965
Techno Electric,20-06-2023,363.65,3230
Techno Electric,19-06-2023,364.95,3993
Techno Electric,16-06-2023,359.25,7548
Techno Electric,15-06-2023,361.50,17555
Techno Electric,14-06-2023,361.00,7844
Techno Electric,13-06-2023,369.10,7143
Techno Electric,12-06-2023,366.95,8258
