Company Name,Date,Close,Volume
Tejas Networks,08-09-2023,894.05,73194
Tejas Networks,07-09-2023,893.35,43350
Tejas Networks,06-09-2023,887.55,65044
Tejas Networks,05-09-2023,889.65,109713
Tejas Networks,04-09-2023,902.60,137218
Tejas Networks,01-09-2023,854.90,76189
Tejas Networks,31-08-2023,872.20,140190
Tejas Networks,30-08-2023,834.70,41620
Tejas Networks,29-08-2023,827.40,34109
Tejas Networks,28-08-2023,839.60,34230
Tejas Networks,25-08-2023,847.20,33863
Tejas Networks,24-08-2023,841.10,34421
Tejas Networks,23-08-2023,849.20,37898
Tejas Networks,22-08-2023,846.65,46275
Tejas Networks,21-08-2023,838.15,40304
Tejas Networks,18-08-2023,844.00,85463
Tejas Networks,17-08-2023,853.10,63886
Tejas Networks,16-08-2023,842.80,126970
Tejas Networks,14-08-2023,815.05,41610
Tejas Networks,11-08-2023,815.10,12734
Tejas Networks,10-08-2023,818.40,12495
Tejas Networks,09-08-2023,821.20,34304
Tejas Networks,08-08-2023,833.65,55610
Tejas Networks,07-08-2023,832.65,197420
Tejas Networks,04-08-2023,810.75,15551
Tejas Networks,03-08-2023,803.40,18539
Tejas Networks,02-08-2023,811.90,26048
Tejas Networks,01-08-2023,808.00,47352
Tejas Networks,31-07-2023,819.55,24864
Tejas Networks,28-07-2023,826.25,63820
Tejas Networks,27-07-2023,825.30,219147
Tejas Networks,26-07-2023,783.40,49844
Tejas Networks,25-07-2023,780.80,104229
Tejas Networks,24-07-2023,776.65,127209
Tejas Networks,21-07-2023,845.25,41112
Tejas Networks,20-07-2023,855.90,246070
Tejas Networks,19-07-2023,871.60,312420
Tejas Networks,18-07-2023,812.80,86375
Tejas Networks,17-07-2023,835.40,44058
Tejas Networks,14-07-2023,858.60,410687
Tejas Networks,13-07-2023,820.75,514288
Tejas Networks,12-07-2023,736.80,52326
Tejas Networks,11-07-2023,741.85,51412
Tejas Networks,10-07-2023,703.40,29911
Tejas Networks,07-07-2023,710.25,17489
Tejas Networks,06-07-2023,718.60,16005
Tejas Networks,05-07-2023,710.55,20586
Tejas Networks,04-07-2023,713.90,16893
Tejas Networks,03-07-2023,718.15,24354
Tejas Networks,30-06-2023,722.95,21139
Tejas Networks,28-06-2023,724.80,16921
Tejas Networks,27-06-2023,723.50,24111
Tejas Networks,26-06-2023,720.70,39084
Tejas Networks,23-06-2023,729.30,23021
Tejas Networks,22-06-2023,742.15,58338
Tejas Networks,21-06-2023,760.85,141826
Tejas Networks,20-06-2023,754.60,158642
Tejas Networks,19-06-2023,711.05,39425
Tejas Networks,16-06-2023,710.15,10765
Tejas Networks,15-06-2023,705.75,31999
Tejas Networks,14-06-2023,714.00,8178
Tejas Networks,13-06-2023,714.45,41028
Tejas Networks,12-06-2023,710.55,24330
