Company Name,Date,Close,Volume
Usha Martin Edu,08-09-2023,7.28,133007
Usha Martin Edu,07-09-2023,6.62,360444
Usha Martin Edu,06-09-2023,5.52,213103
Usha Martin Edu,05-09-2023,4.60,64367
Usha Martin Edu,04-09-2023,4.62,62523
Usha Martin Edu,01-09-2023,4.27,18232
Usha Martin Edu,31-08-2023,4.30,9912
Usha Martin Edu,30-08-2023,4.19,4395
Usha Martin Edu,29-08-2023,4.39,5712
Usha Martin Edu,28-08-2023,4.38,31005
Usha Martin Edu,25-08-2023,4.41,27569
Usha Martin Edu,24-08-2023,4.35,16519
Usha Martin Edu,23-08-2023,4.26,8946
Usha Martin Edu,22-08-2023,4.14,34899
Usha Martin Edu,21-08-2023,3.89,10412
Usha Martin Edu,18-08-2023,3.94,22345
Usha Martin Edu,17-08-2023,3.90,13086
Usha Martin Edu,16-08-2023,3.80,22673
Usha Martin Edu,14-08-2023,3.90,12276
Usha Martin Edu,11-08-2023,3.76,24680
Usha Martin Edu,10-08-2023,3.95,18568
Usha Martin Edu,09-08-2023,3.98,54988
Usha Martin Edu,08-08-2023,3.81,31706
Usha Martin Edu,07-08-2023,3.49,14928
Usha Martin Edu,04-08-2023,3.46,819
Usha Martin Edu,03-08-2023,3.41,13786
Usha Martin Edu,02-08-2023,3.41,2693
Usha Martin Edu,01-08-2023,3.44,47962
Usha Martin Edu,31-07-2023,3.46,836
Usha Martin Edu,28-07-2023,3.30,19778
Usha Martin Edu,27-07-2023,3.46,9317
Usha Martin Edu,26-07-2023,3.45,7396
Usha Martin Edu,25-07-2023,3.41,2837
Usha Martin Edu,24-07-2023,3.50,6228
Usha Martin Edu,21-07-2023,3.42,1897
Usha Martin Edu,20-07-2023,3.44,13603
Usha Martin Edu,19-07-2023,3.45,2067
Usha Martin Edu,18-07-2023,3.34,3976
Usha Martin Edu,17-07-2023,3.36,12989
Usha Martin Edu,14-07-2023,3.41,1034
Usha Martin Edu,13-07-2023,3.41,11486
Usha Martin Edu,12-07-2023,3.36,7000
Usha Martin Edu,11-07-2023,3.32,11394
Usha Martin Edu,10-07-2023,3.53,5026
Usha Martin Edu,07-07-2023,3.50,4543
Usha Martin Edu,06-07-2023,3.49,16321
Usha Martin Edu,05-07-2023,3.44,7865
Usha Martin Edu,04-07-2023,3.30,1225
Usha Martin Edu,03-07-2023,3.40,3150
Usha Martin Edu,30-06-2023,3.45,18395
Usha Martin Edu,28-06-2023,3.35,13225
Usha Martin Edu,27-06-2023,3.31,18129
Usha Martin Edu,26-06-2023,3.38,102475
Usha Martin Edu,23-06-2023,3.70,7019
Usha Martin Edu,22-06-2023,3.66,822
Usha Martin Edu,21-06-2023,3.64,6708
Usha Martin Edu,20-06-2023,3.59,18349
Usha Martin Edu,19-06-2023,3.76,7704
Usha Martin Edu,16-06-2023,3.68,20056
Usha Martin Edu,15-06-2023,3.66,1653
Usha Martin Edu,14-06-2023,3.67,4488
Usha Martin Edu,13-06-2023,3.62,6845
Usha Martin Edu,12-06-2023,3.84,4354
