Company Name,Date,Close,Volume
Varroc Engineer,08-09-2023,445.20,69795
Varroc Engineer,07-09-2023,443.30,43549
Varroc Engineer,06-09-2023,418.00,12182
Varroc Engineer,05-09-2023,421.65,10699
Varroc Engineer,04-09-2023,416.35,18560
Varroc Engineer,01-09-2023,423.15,19425
Varroc Engineer,31-08-2023,422.60,8211
Varroc Engineer,30-08-2023,426.75,26156
Varroc Engineer,29-08-2023,426.25,21936
Varroc Engineer,28-08-2023,425.10,31563
Varroc Engineer,25-08-2023,414.65,37385
Varroc Engineer,24-08-2023,416.45,49585
Varroc Engineer,23-08-2023,418.25,121944
Varroc Engineer,22-08-2023,394.50,40945
Varroc Engineer,21-08-2023,383.90,30497
Varroc Engineer,18-08-2023,378.85,39518
Varroc Engineer,17-08-2023,371.45,37742
Varroc Engineer,16-08-2023,370.05,14435
Varroc Engineer,14-08-2023,376.50,23074
Varroc Engineer,11-08-2023,384.20,59640
Varroc Engineer,10-08-2023,379.45,255164
Varroc Engineer,09-08-2023,342.80,7210
Varroc Engineer,08-08-2023,341.50,3682
Varroc Engineer,07-08-2023,337.90,15728
Varroc Engineer,04-08-2023,337.05,6455
Varroc Engineer,03-08-2023,339.45,4110
Varroc Engineer,02-08-2023,341.85,18056
Varroc Engineer,01-08-2023,353.20,16908
Varroc Engineer,31-07-2023,349.20,16662
Varroc Engineer,28-07-2023,339.65,4945
Varroc Engineer,27-07-2023,343.45,16583
Varroc Engineer,26-07-2023,352.05,27775
Varroc Engineer,25-07-2023,339.80,67541
Varroc Engineer,24-07-2023,323.20,15338
Varroc Engineer,21-07-2023,334.35,3879
Varroc Engineer,20-07-2023,335.40,7383
Varroc Engineer,19-07-2023,337.60,5704
Varroc Engineer,18-07-2023,345.85,3691
Varroc Engineer,17-07-2023,349.55,11987
Varroc Engineer,14-07-2023,355.55,11333
Varroc Engineer,13-07-2023,352.20,19566
Varroc Engineer,12-07-2023,356.15,14956
Varroc Engineer,11-07-2023,350.20,10391
Varroc Engineer,10-07-2023,349.70,4727
Varroc Engineer,07-07-2023,350.90,54503
Varroc Engineer,06-07-2023,349.00,22959
Varroc Engineer,05-07-2023,334.80,10579
Varroc Engineer,04-07-2023,339.75,5578
Varroc Engineer,03-07-2023,337.35,12782
Varroc Engineer,30-06-2023,337.30,14079
Varroc Engineer,28-06-2023,336.80,31380
Varroc Engineer,27-06-2023,333.05,17289
Varroc Engineer,26-06-2023,336.80,56147
Varroc Engineer,23-06-2023,325.80,30355
Varroc Engineer,22-06-2023,316.75,7552
Varroc Engineer,21-06-2023,321.75,13459
Varroc Engineer,20-06-2023,324.30,11311
Varroc Engineer,19-06-2023,330.15,22802
Varroc Engineer,16-06-2023,323.45,14937
Varroc Engineer,15-06-2023,326.50,7898
Varroc Engineer,14-06-2023,334.00,39380
Varroc Engineer,13-06-2023,322.10,9444
Varroc Engineer,12-06-2023,320.25,14583
