Company Name,Date,Close,Volume
Vaswani Ind,08-09-2023,29.33,28133
Vaswani Ind,07-09-2023,29.72,74734
Vaswani Ind,06-09-2023,28.40,58328
Vaswani Ind,05-09-2023,27.46,59511
Vaswani Ind,04-09-2023,28.43,61051
Vaswani Ind,01-09-2023,28.18,75416
Vaswani Ind,31-08-2023,27.16,58047
Vaswani Ind,30-08-2023,24.68,27362
Vaswani Ind,29-08-2023,24.18,52274
Vaswani Ind,28-08-2023,24.12,66702
Vaswani Ind,25-08-2023,22.55,6205
Vaswani Ind,24-08-2023,22.15,41704
Vaswani Ind,23-08-2023,23.05,11202
Vaswani Ind,22-08-2023,22.80,26700
Vaswani Ind,21-08-2023,22.12,1038
Vaswani Ind,18-08-2023,22.27,31455
Vaswani Ind,17-08-2023,22.44,21378
Vaswani Ind,16-08-2023,21.70,6760
Vaswani Ind,14-08-2023,21.59,3342
Vaswani Ind,11-08-2023,21.75,8386
Vaswani Ind,10-08-2023,21.92,5544
Vaswani Ind,09-08-2023,21.85,18359
Vaswani Ind,08-08-2023,22.21,24086
Vaswani Ind,07-08-2023,22.62,19134
Vaswani Ind,04-08-2023,22.39,26349
Vaswani Ind,03-08-2023,22.32,61782
Vaswani Ind,02-08-2023,21.30,36636
Vaswani Ind,01-08-2023,22.58,28749
Vaswani Ind,31-07-2023,22.48,17448
Vaswani Ind,28-07-2023,21.00,2698
Vaswani Ind,27-07-2023,21.22,6400
Vaswani Ind,26-07-2023,21.53,37161
Vaswani Ind,25-07-2023,20.64,15361
Vaswani Ind,24-07-2023,19.50,12116
Vaswani Ind,21-07-2023,19.83,10134
Vaswani Ind,20-07-2023,20.01,2365
Vaswani Ind,19-07-2023,20.15,7480
Vaswani Ind,18-07-2023,19.99,11281
Vaswani Ind,17-07-2023,20.26,13571
Vaswani Ind,14-07-2023,20.55,1431
Vaswani Ind,13-07-2023,20.18,17530
Vaswani Ind,12-07-2023,20.71,3076
Vaswani Ind,11-07-2023,20.71,971
Vaswani Ind,10-07-2023,21.02,4922
Vaswani Ind,07-07-2023,21.29,2221
Vaswani Ind,06-07-2023,21.00,3184
Vaswani Ind,05-07-2023,20.81,3659
Vaswani Ind,04-07-2023,21.14,21847
Vaswani Ind,03-07-2023,20.95,9446
Vaswani Ind,30-06-2023,21.12,22444
Vaswani Ind,28-06-2023,21.51,961
Vaswani Ind,27-06-2023,21.59,6310
Vaswani Ind,26-06-2023,21.48,2657
Vaswani Ind,23-06-2023,21.06,7209
Vaswani Ind,22-06-2023,21.29,14728
Vaswani Ind,21-06-2023,22.60,20921
Vaswani Ind,20-06-2023,21.24,3462
Vaswani Ind,19-06-2023,21.11,12250
Vaswani Ind,16-06-2023,21.49,2505
Vaswani Ind,15-06-2023,21.47,2951
Vaswani Ind,14-06-2023,21.43,18194
Vaswani Ind,13-06-2023,21.60,11573
Vaswani Ind,12-06-2023,21.79,5712
