Company Name,Date,Close,Volume
Vikas Life,08-09-2023,5.38,11513047
Vikas Life,07-09-2023,5.03,13244748
Vikas Life,06-09-2023,4.76,5029634
Vikas Life,05-09-2023,4.59,5492474
Vikas Life,04-09-2023,4.54,6999691
Vikas Life,01-09-2023,4.28,9690277
Vikas Life,31-08-2023,4.43,18926100
Vikas Life,30-08-2023,4.36,24700318
Vikas Life,29-08-2023,3.87,9217561
Vikas Life,28-08-2023,3.99,15073980
Vikas Life,25-08-2023,3.40,3128411
Vikas Life,24-08-2023,3.48,3871455
Vikas Life,23-08-2023,3.56,2610706
Vikas Life,22-08-2023,3.64,2464780
Vikas Life,21-08-2023,3.62,4880511
Vikas Life,18-08-2023,3.56,6384582
Vikas Life,17-08-2023,3.74,17458478
Vikas Life,16-08-2023,4.06,27806361
Vikas Life,14-08-2023,3.46,17138631
Vikas Life,11-08-2023,3.11,2205881
Vikas Life,10-08-2023,3.17,4320750
Vikas Life,09-08-2023,3.07,2640305
Vikas Life,08-08-2023,3.09,3155281
Vikas Life,07-08-2023,3.12,9115727
Vikas Life,04-08-2023,3.06,2168065
Vikas Life,03-08-2023,3.04,2957541
Vikas Life,02-08-2023,3.05,3396207
Vikas Life,01-08-2023,3.06,1872566
Vikas Life,31-07-2023,3.07,2900518
Vikas Life,28-07-2023,3.06,2218434
Vikas Life,27-07-2023,3.06,2243865
Vikas Life,26-07-2023,3.08,1980487
Vikas Life,25-07-2023,3.08,1708279
Vikas Life,24-07-2023,3.09,3059190
Vikas Life,21-07-2023,3.10,3093107
Vikas Life,20-07-2023,3.10,3492616
Vikas Life,19-07-2023,3.19,4208019
Vikas Life,18-07-2023,3.30,8917891
Vikas Life,17-07-2023,3.17,4578705
Vikas Life,14-07-2023,3.06,2019865
Vikas Life,13-07-2023,3.06,2323493
Vikas Life,12-07-2023,3.09,2408784
Vikas Life,11-07-2023,3.11,1941730
Vikas Life,10-07-2023,3.11,2486139
Vikas Life,07-07-2023,3.13,3729046
Vikas Life,06-07-2023,3.11,2604199
Vikas Life,05-07-2023,3.15,2172921
Vikas Life,04-07-2023,3.07,2398149
Vikas Life,03-07-2023,3.10,2533856
Vikas Life,30-06-2023,3.07,3571451
Vikas Life,28-06-2023,3.07,2559093
Vikas Life,27-06-2023,3.11,1769510
Vikas Life,26-06-2023,3.13,3063413
Vikas Life,23-06-2023,3.11,3298715
Vikas Life,22-06-2023,3.17,4048185
Vikas Life,21-06-2023,3.26,5582307
Vikas Life,20-06-2023,3.31,5493757
Vikas Life,19-06-2023,3.36,7014631
Vikas Life,16-06-2023,3.27,6712600
Vikas Life,15-06-2023,3.38,12017533
Vikas Life,14-06-2023,3.30,14388202
Vikas Life,13-06-2023,3.01,4218273
Vikas Life,12-06-2023,2.89,3504544
