Company Name,Date,Close,Volume
Vindhya Telelin,08-09-2023,2668.90,8096
Vindhya Telelin,07-09-2023,2496.80,1206
Vindhya Telelin,06-09-2023,2431.35,4323
Vindhya Telelin,05-09-2023,2490.20,3181
Vindhya Telelin,04-09-2023,2366.05,5365
Vindhya Telelin,01-09-2023,2315.70,3445
Vindhya Telelin,31-08-2023,2191.30,1711
Vindhya Telelin,30-08-2023,2179.25,1333
Vindhya Telelin,29-08-2023,2170.70,1768
Vindhya Telelin,28-08-2023,2224.85,4856
Vindhya Telelin,25-08-2023,2248.20,12058
Vindhya Telelin,24-08-2023,2005.70,1554
Vindhya Telelin,23-08-2023,2044.80,1784
Vindhya Telelin,22-08-2023,2057.25,1443
Vindhya Telelin,21-08-2023,1983.20,1850
Vindhya Telelin,18-08-2023,1956.55,1266
Vindhya Telelin,17-08-2023,1988.30,2474
Vindhya Telelin,16-08-2023,1996.05,2853
Vindhya Telelin,14-08-2023,2005.85,4105
Vindhya Telelin,11-08-2023,2121.55,3174
Vindhya Telelin,10-08-2023,2171.05,5157
Vindhya Telelin,09-08-2023,2244.85,6773
Vindhya Telelin,08-08-2023,2120.10,3221
Vindhya Telelin,07-08-2023,2178.45,11126
Vindhya Telelin,04-08-2023,2055.85,1330
Vindhya Telelin,03-08-2023,2006.65,2627
Vindhya Telelin,02-08-2023,2007.55,2532
Vindhya Telelin,01-08-2023,2056.75,978
Vindhya Telelin,31-07-2023,2054.00,1692
Vindhya Telelin,28-07-2023,2021.85,2613
Vindhya Telelin,27-07-2023,2062.90,2417
Vindhya Telelin,26-07-2023,2094.20,1860
Vindhya Telelin,25-07-2023,2101.60,2204
Vindhya Telelin,24-07-2023,2157.25,4655
Vindhya Telelin,21-07-2023,2130.25,12645
Vindhya Telelin,20-07-2023,1969.80,382
Vindhya Telelin,19-07-2023,1977.55,1970
Vindhya Telelin,18-07-2023,1876.10,329
Vindhya Telelin,17-07-2023,1892.15,1262
Vindhya Telelin,14-07-2023,1922.15,859
Vindhya Telelin,13-07-2023,1888.20,1725
Vindhya Telelin,12-07-2023,1920.20,840
Vindhya Telelin,11-07-2023,1912.35,900
Vindhya Telelin,10-07-2023,1903.15,1793
Vindhya Telelin,07-07-2023,1880.20,909
Vindhya Telelin,06-07-2023,1858.60,1220
Vindhya Telelin,05-07-2023,1824.45,326
Vindhya Telelin,04-07-2023,1828.60,1228
Vindhya Telelin,03-07-2023,1850.75,896
Vindhya Telelin,30-06-2023,1855.20,656
Vindhya Telelin,28-06-2023,1858.05,761
Vindhya Telelin,27-06-2023,1882.50,448
Vindhya Telelin,26-06-2023,1896.60,491
Vindhya Telelin,23-06-2023,1913.55,1380
Vindhya Telelin,22-06-2023,1906.60,3975
Vindhya Telelin,21-06-2023,1919.80,1627
Vindhya Telelin,20-06-2023,1939.00,3743
Vindhya Telelin,19-06-2023,1914.55,4784
Vindhya Telelin,16-06-2023,1929.40,876
Vindhya Telelin,15-06-2023,1942.65,730
Vindhya Telelin,14-06-2023,1953.80,3169
Vindhya Telelin,13-06-2023,1931.95,2030
Vindhya Telelin,12-06-2023,1883.75,1677
