Company Name,Date,Close,Volume
Vodafone Idea,08-09-2023,10.48,82088500
Vodafone Idea,07-09-2023,10.48,79453041
Vodafone Idea,06-09-2023,10.65,131397481
Vodafone Idea,05-09-2023,9.90,39324747
Vodafone Idea,04-09-2023,9.99,80701920
Vodafone Idea,01-09-2023,10.03,183926798
Vodafone Idea,31-08-2023,9.05,52544872
Vodafone Idea,30-08-2023,9.08,72784414
Vodafone Idea,29-08-2023,8.92,86413973
Vodafone Idea,28-08-2023,8.99,100698238
Vodafone Idea,25-08-2023,8.69,139594686
Vodafone Idea,24-08-2023,7.95,23660185
Vodafone Idea,23-08-2023,7.82,19446340
Vodafone Idea,22-08-2023,7.71,58247028
Vodafone Idea,21-08-2023,7.56,22923354
Vodafone Idea,18-08-2023,7.62,19448499
Vodafone Idea,17-08-2023,7.74,35991857
Vodafone Idea,16-08-2023,7.82,26968088
Vodafone Idea,14-08-2023,8.04,24136431
Vodafone Idea,11-08-2023,8.11,21876269
Vodafone Idea,10-08-2023,8.07,38534308
Vodafone Idea,09-08-2023,8.20,26308951
Vodafone Idea,08-08-2023,8.28,64680123
Vodafone Idea,07-08-2023,8.37,47602161
Vodafone Idea,04-08-2023,8.25,58296714
Vodafone Idea,03-08-2023,7.87,27747240
Vodafone Idea,02-08-2023,7.92,46265578
Vodafone Idea,01-08-2023,8.27,25670918
Vodafone Idea,31-07-2023,8.34,33254015
Vodafone Idea,28-07-2023,8.33,28275792
Vodafone Idea,27-07-2023,8.47,63401976
Vodafone Idea,26-07-2023,8.72,143839193
Vodafone Idea,25-07-2023,7.92,56392413
Vodafone Idea,24-07-2023,7.92,71746871
Vodafone Idea,21-07-2023,7.86,64936579
Vodafone Idea,20-07-2023,7.57,29957459
Vodafone Idea,19-07-2023,7.69,45116158
Vodafone Idea,18-07-2023,7.63,54040166
Vodafone Idea,17-07-2023,7.63,39982469
Vodafone Idea,14-07-2023,7.32,15445692
Vodafone Idea,13-07-2023,7.25,23349718
Vodafone Idea,12-07-2023,7.36,16392801
Vodafone Idea,11-07-2023,7.38,11827613
Vodafone Idea,10-07-2023,7.39,17547229
Vodafone Idea,07-07-2023,7.45,14441770
Vodafone Idea,06-07-2023,7.48,18017280
Vodafone Idea,05-07-2023,7.42,19657187
Vodafone Idea,04-07-2023,7.46,20086408
Vodafone Idea,03-07-2023,7.53,23358385
Vodafone Idea,30-06-2023,7.43,23321466
Vodafone Idea,28-06-2023,7.46,36272156
Vodafone Idea,27-06-2023,7.53,32233838
Vodafone Idea,26-06-2023,7.62,33603688
Vodafone Idea,23-06-2023,7.47,26783955
Vodafone Idea,22-06-2023,7.46,38507055
Vodafone Idea,21-06-2023,7.75,45762999
Vodafone Idea,20-06-2023,7.41,28458326
Vodafone Idea,19-06-2023,7.64,21391436
Vodafone Idea,16-06-2023,7.79,23799744
Vodafone Idea,15-06-2023,7.82,29617164
Vodafone Idea,14-06-2023,7.92,83486433
Vodafone Idea,13-06-2023,7.71,38608184
Vodafone Idea,12-06-2023,7.50,20515284
