Company Name,Date,Close,Volume
Websol Energy,08-09-2023,132.80,55730
Websol Energy,07-09-2023,126.50,72850
Websol Energy,06-09-2023,120.50,29993
Websol Energy,05-09-2023,124.25,36171
Websol Energy,04-09-2023,124.40,50900
Websol Energy,01-09-2023,123.40,35827
Websol Energy,31-08-2023,117.55,24911
Websol Energy,30-08-2023,118.20,30445
Websol Energy,29-08-2023,114.70,35350
Websol Energy,28-08-2023,116.05,55271
Websol Energy,25-08-2023,119.90,60715
Websol Energy,24-08-2023,122.10,25562
Websol Energy,23-08-2023,125.20,174788
Websol Energy,22-08-2023,122.05,108427
Websol Energy,21-08-2023,116.25,32294
Websol Energy,18-08-2023,110.75,50168
Websol Energy,17-08-2023,112.20,26157
Websol Energy,16-08-2023,112.00,16092
Websol Energy,14-08-2023,111.45,32332
Websol Energy,11-08-2023,111.10,30623
Websol Energy,10-08-2023,112.50,51225
Websol Energy,09-08-2023,107.60,23960
Websol Energy,08-08-2023,108.95,43826
Websol Energy,07-08-2023,108.30,248902
Websol Energy,04-08-2023,104.95,22639
Websol Energy,03-08-2023,104.70,42992
Websol Energy,02-08-2023,105.25,164833
Websol Energy,01-08-2023,107.20,38291
Websol Energy,31-07-2023,102.13,88795
Websol Energy,28-07-2023,97.27,198765
Websol Energy,27-07-2023,92.64,7333
Websol Energy,26-07-2023,88.23,19897
Websol Energy,25-07-2023,84.03,34283
Websol Energy,24-07-2023,84.58,20711
Websol Energy,21-07-2023,83.83,15456
Websol Energy,20-07-2023,84.45,6920
Websol Energy,19-07-2023,84.88,10139
Websol Energy,18-07-2023,84.68,10984
Websol Energy,17-07-2023,84.43,32123
Websol Energy,14-07-2023,84.87,11985
Websol Energy,13-07-2023,85.93,14919
Websol Energy,12-07-2023,84.43,29007
Websol Energy,11-07-2023,85.16,19692
Websol Energy,10-07-2023,85.16,20068
Websol Energy,07-07-2023,86.65,19652
Websol Energy,06-07-2023,88.36,9732
Websol Energy,05-07-2023,85.02,24634
Websol Energy,04-07-2023,85.99,8703
Websol Energy,03-07-2023,86.19,5382
Websol Energy,30-06-2023,86.17,18831
Websol Energy,28-06-2023,86.16,9938
Websol Energy,27-06-2023,86.44,12882
Websol Energy,26-06-2023,86.16,32321
Websol Energy,23-06-2023,88.80,8244
Websol Energy,22-06-2023,89.37,11717
Websol Energy,21-06-2023,90.38,11990
Websol Energy,20-06-2023,90.27,6587
Websol Energy,19-06-2023,91.13,16874
Websol Energy,16-06-2023,92.90,22674
Websol Energy,15-06-2023,94.66,43005
Websol Energy,14-06-2023,92.15,27040
Websol Energy,13-06-2023,90.73,17605
Websol Energy,12-06-2023,93.15,56989
