Company Name,Date,Close,Volume
Welspun Corp,08-09-2023,380.75,193922
Welspun Corp,07-09-2023,352.50,152253
Welspun Corp,06-09-2023,343.70,63144
Welspun Corp,05-09-2023,332.55,52950
Welspun Corp,04-09-2023,335.60,55269
Welspun Corp,01-09-2023,338.60,111246
Welspun Corp,31-08-2023,327.05,120030
Welspun Corp,30-08-2023,334.85,708853
Welspun Corp,29-08-2023,317.90,25847
Welspun Corp,28-08-2023,319.00,36915
Welspun Corp,25-08-2023,317.85,16870
Welspun Corp,24-08-2023,324.35,56591
Welspun Corp,23-08-2023,319.70,17133
Welspun Corp,22-08-2023,323.05,41261
Welspun Corp,21-08-2023,316.95,44826
Welspun Corp,18-08-2023,311.85,145606
Welspun Corp,17-08-2023,316.20,19034
Welspun Corp,16-08-2023,319.10,58639
Welspun Corp,14-08-2023,328.05,30262
Welspun Corp,11-08-2023,327.95,33165
Welspun Corp,10-08-2023,335.75,24647
Welspun Corp,09-08-2023,333.55,36204
Welspun Corp,08-08-2023,334.05,56581
Welspun Corp,07-08-2023,323.55,105370
Welspun Corp,04-08-2023,321.70,300382
Welspun Corp,03-08-2023,330.65,108506
Welspun Corp,02-08-2023,325.80,93230
Welspun Corp,01-08-2023,325.00,121026
Welspun Corp,31-07-2023,322.15,27136
Welspun Corp,28-07-2023,315.65,63556
Welspun Corp,27-07-2023,319.30,35203
Welspun Corp,26-07-2023,310.90,63329
Welspun Corp,25-07-2023,314.50,171360
Welspun Corp,24-07-2023,319.40,69639
Welspun Corp,21-07-2023,320.00,49786
Welspun Corp,20-07-2023,321.60,1114421
Welspun Corp,19-07-2023,320.05,901890
Welspun Corp,18-07-2023,305.80,32367
Welspun Corp,17-07-2023,309.95,87550
Welspun Corp,14-07-2023,303.05,32370
Welspun Corp,13-07-2023,299.65,49192
Welspun Corp,12-07-2023,301.60,114006
Welspun Corp,11-07-2023,303.30,77421
Welspun Corp,10-07-2023,308.05,186385
Welspun Corp,07-07-2023,290.15,59096
Welspun Corp,06-07-2023,286.55,139721
Welspun Corp,05-07-2023,285.65,284764
Welspun Corp,04-07-2023,266.90,166178
Welspun Corp,03-07-2023,270.10,52692
Welspun Corp,30-06-2023,260.80,52488
Welspun Corp,28-06-2023,263.00,40526
Welspun Corp,27-06-2023,263.55,53848
Welspun Corp,26-06-2023,261.80,51085
Welspun Corp,23-06-2023,262.20,44474
Welspun Corp,22-06-2023,267.85,61697
Welspun Corp,21-06-2023,267.50,70491
Welspun Corp,20-06-2023,266.95,61066
Welspun Corp,19-06-2023,265.65,207624
Welspun Corp,16-06-2023,268.95,32749
Welspun Corp,15-06-2023,266.45,45345
Welspun Corp,14-06-2023,270.40,70618
Welspun Corp,13-06-2023,268.80,39446
Welspun Corp,12-06-2023,273.65,36048
