Company Name,Date,Close,Volume
Westlife Food,08-09-2023,985.50,12138
Westlife Food,07-09-2023,977.20,7543
Westlife Food,06-09-2023,955.80,7399
Westlife Food,05-09-2023,973.65,11700
Westlife Food,04-09-2023,946.20,2985
Westlife Food,01-09-2023,965.10,9605
Westlife Food,31-08-2023,938.70,26656
Westlife Food,30-08-2023,938.80,6946
Westlife Food,29-08-2023,901.65,1561
Westlife Food,28-08-2023,898.30,1510
Westlife Food,25-08-2023,896.65,6005
Westlife Food,24-08-2023,900.55,7388
Westlife Food,23-08-2023,923.70,5242
Westlife Food,22-08-2023,912.50,3422
Westlife Food,21-08-2023,915.30,2593
Westlife Food,18-08-2023,921.15,3186
Westlife Food,17-08-2023,927.20,5858
Westlife Food,16-08-2023,919.55,5601
Westlife Food,14-08-2023,929.15,7123
Westlife Food,11-08-2023,931.85,2095
Westlife Food,10-08-2023,926.00,4653
Westlife Food,09-08-2023,918.00,3720
Westlife Food,08-08-2023,924.10,3941
Westlife Food,07-08-2023,933.00,2844
Westlife Food,04-08-2023,927.00,4008
Westlife Food,03-08-2023,920.45,3186
Westlife Food,02-08-2023,926.60,12707
Westlife Food,01-08-2023,943.35,13211
Westlife Food,31-07-2023,936.25,9114
Westlife Food,28-07-2023,938.50,31498
Westlife Food,27-07-2023,899.05,27763
Westlife Food,26-07-2023,885.55,2100
Westlife Food,25-07-2023,900.10,5166
Westlife Food,24-07-2023,885.50,1907
Westlife Food,21-07-2023,889.35,3917
Westlife Food,20-07-2023,887.10,2758
Westlife Food,19-07-2023,879.80,7918
Westlife Food,18-07-2023,898.55,2056
Westlife Food,17-07-2023,906.10,6010
Westlife Food,14-07-2023,883.60,6927
Westlife Food,13-07-2023,899.00,7769
Westlife Food,12-07-2023,883.35,2771
Westlife Food,11-07-2023,877.45,10893
Westlife Food,10-07-2023,858.40,2687
Westlife Food,07-07-2023,863.70,2378
Westlife Food,06-07-2023,863.60,7602
Westlife Food,05-07-2023,862.10,4894
Westlife Food,04-07-2023,853.10,3665
Westlife Food,03-07-2023,845.95,2189
Westlife Food,30-06-2023,851.20,9175
Westlife Food,28-06-2023,862.55,1760
Westlife Food,27-06-2023,854.05,9693
Westlife Food,26-06-2023,850.90,6263
Westlife Food,23-06-2023,843.90,11176
Westlife Food,22-06-2023,851.70,1247
Westlife Food,21-06-2023,850.35,3912
Westlife Food,20-06-2023,869.10,5433
Westlife Food,19-06-2023,853.90,17399
Westlife Food,16-06-2023,827.25,4689
Westlife Food,15-06-2023,839.65,9707
Westlife Food,14-06-2023,851.25,17040
Westlife Food,13-06-2023,834.50,5339
Westlife Food,12-06-2023,814.50,13457
