Company Name,Date,Close,Volume
Xpro India,08-09-2023,1016.80,12007
Xpro India,07-09-2023,1021.90,16881
Xpro India,06-09-2023,943.90,998
Xpro India,05-09-2023,948.20,2213
Xpro India,04-09-2023,940.15,4298
Xpro India,01-09-2023,927.45,5806
Xpro India,31-08-2023,942.75,1208
Xpro India,30-08-2023,951.35,3277
Xpro India,29-08-2023,929.70,1864
Xpro India,28-08-2023,932.70,6526
Xpro India,25-08-2023,954.50,8256
Xpro India,24-08-2023,943.90,12781
Xpro India,23-08-2023,940.85,23767
Xpro India,22-08-2023,841.20,3496
Xpro India,21-08-2023,851.05,713
Xpro India,18-08-2023,854.55,1236
Xpro India,17-08-2023,847.00,2793
Xpro India,16-08-2023,857.45,2107
Xpro India,14-08-2023,843.65,1765
Xpro India,11-08-2023,876.40,5184
Xpro India,10-08-2023,898.00,2193
Xpro India,09-08-2023,894.90,4094
Xpro India,08-08-2023,860.85,3202
Xpro India,07-08-2023,864.30,1568
Xpro India,04-08-2023,887.90,1468
Xpro India,03-08-2023,894.80,5863
Xpro India,02-08-2023,887.10,4537
Xpro India,01-08-2023,903.00,7549
Xpro India,31-07-2023,866.85,14610
Xpro India,28-07-2023,866.55,8239
Xpro India,27-07-2023,902.50,3211
Xpro India,26-07-2023,899.30,2916
Xpro India,25-07-2023,906.50,6154
Xpro India,24-07-2023,946.20,857
Xpro India,21-07-2023,945.55,1291
Xpro India,20-07-2023,953.95,1723
Xpro India,19-07-2023,950.75,3121
Xpro India,18-07-2023,931.75,4219
Xpro India,17-07-2023,940.30,5202
Xpro India,14-07-2023,946.30,11285
Xpro India,13-07-2023,943.75,3056
Xpro India,12-07-2023,932.60,7707
Xpro India,11-07-2023,912.85,7475
Xpro India,10-07-2023,916.30,16008
Xpro India,07-07-2023,870.10,11086
Xpro India,06-07-2023,843.55,3335
Xpro India,05-07-2023,838.35,1890
Xpro India,04-07-2023,849.80,7800
Xpro India,03-07-2023,842.10,10412
Xpro India,30-06-2023,825.75,1921
Xpro India,28-06-2023,827.05,1225
Xpro India,27-06-2023,837.45,3276
Xpro India,26-06-2023,845.55,2894
Xpro India,23-06-2023,847.25,4780
Xpro India,22-06-2023,857.20,7865
Xpro India,21-06-2023,866.10,9888
Xpro India,20-06-2023,873.60,5273
Xpro India,19-06-2023,865.95,11146
Xpro India,16-06-2023,870.00,8002
Xpro India,15-06-2023,873.50,12016
Xpro India,14-06-2023,877.75,8318
Xpro India,13-06-2023,844.30,16526
Xpro India,12-06-2023,864.70,25161
