Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,464.98,464.98,453.85,460.16,455.67,455.55,456.65,464.98,338.24,"5,879","26,84,647.84",63,Axis Bank
06-Jul-23,EQ,462.98,462.98,456.35,458.11,460.14,460.16,458.29,462.98,338.24,434,"1,98,898.46",42,Axis Bank
05-Jul-23,EQ,458.54,458.55,456.89,459.54,458.11,458.11,457.7,461.99,338.24,"1,402","6,41,691.66",38,Axis Bank
04-Jul-23,EQ,460,461.99,456.31,457.49,458.55,459.54,459.11,461.99,338.24,529,"2,42,866.71",63,Axis Bank
03-Jul-23,EQ,455.22,459,455.22,453.06,457.38,457.49,457.69,460.1,338.24,712,"3,25,872.04",77,Axis Bank
30-Jun-23,EQ,455.48,455.48,450.94,450.95,453.07,453.06,452.71,460.1,332.3,898,"4,06,534.51",50,Axis Bank
28-Jun-23,EQ,448.24,451.32,447.67,447.05,450.99,450.95,449.67,460.1,332.3,715,"3,21,516.41",59,Axis Bank
27-Jun-23,EQ,447.98,447.98,443.47,442.74,447.51,447.05,445.81,460.1,332.3,893,"3,98,106.56",49,Axis Bank
26-Jun-23,EQ,442.52,443.45,441.31,443.24,442.91,442.74,442.05,460.1,332.3,582,"2,57,274.71",40,Axis Bank
23-Jun-23,EQ,443.5,444.42,441.3,443.76,441.81,443.24,443.32,460.1,325.92,"1,069","4,73,912.14",44,Axis Bank
22-Jun-23,EQ,445.52,446.41,442.7,445.52,445,443.76,444.77,460.1,325.92,324,"1,44,105.80",55,Axis Bank
21-Jun-23,EQ,443.01,446,443.01,442.84,446,445.52,444.47,460.1,325.92,820,"3,64,462.20",79,Axis Bank
20-Jun-23,EQ,442.54,443.36,439.26,442.45,442.86,442.84,440.7,460.1,325.92,"5,874","25,88,695.57",68,Axis Bank
19-Jun-23,EQ,449.48,449.48,441.06,444.89,442.63,442.45,443.04,460.1,325.92,"1,053","4,66,524.94",94,Axis Bank
16-Jun-23,EQ,441.43,446.75,441.43,440.08,443.53,444.89,443.51,460.1,324.3,937,"4,15,568.17",63,Axis Bank
15-Jun-23,EQ,444.3,445.59,439.55,445.04,440.27,440.08,441.92,460.1,324.3,720,"3,18,182.09",75,Axis Bank
14-Jun-23,EQ,447.28,447.28,444.82,446.66,444.86,445.04,445.12,460.1,324.3,"7,512","33,43,774.05",70,Axis Bank
13-Jun-23,EQ,449.98,449.98,445.01,445.38,446.99,446.66,446.08,460.1,324.3,"1,452","6,47,711.42",46,Axis Bank
12-Jun-23,EQ,449.98,449.98,444.62,445.1,445.54,445.38,445.26,460.1,324.3,463,"2,06,157.65",45,Axis Bank
09-Jun-23,EQ,447.19,447.27,444.41,445.9,444.41,445.1,445.59,460.1,324.3,949,"4,22,864.23",42,Axis Bank
08-Jun-23,EQ,453.98,453.98,444.94,448.49,444.94,445.9,448.16,460.1,324.3,"6,655","29,82,534.74",56,Axis Bank
07-Jun-23,EQ,448,448.5,446.93,447.83,448.49,448.49,447.41,460.1,324.3,"4,573","20,46,024.91",60,Axis Bank
06-Jun-23,EQ,460.1,460.1,438.15,446.7,447.84,447.83,447.12,460.1,324.3,552,"2,46,809.63",50,Axis Bank
05-Jun-23,EQ,446.6,448.57,446.45,444.78,446.6,446.7,447.27,450,324.3,"1,982","8,86,486.35",59,Axis Bank
02-Jun-23,EQ,444.6,446.59,443.71,443.91,444.93,444.78,445.05,450,320,343,"1,52,651.05",52,Axis Bank
01-Jun-23,EQ,446.3,447.26,443.41,446.72,444.37,443.91,446.08,450,320,489,"2,18,135.33",56,Axis Bank
31-May-23,EQ,447.3,447.36,443.72,448.05,445.73,446.72,444.92,450,320,599,"2,66,504.72",57,Axis Bank
30-May-23,EQ,450,450,446.55,448.22,448.05,448.05,447.88,450,320,549,"2,45,885.86",53,Axis Bank
29-May-23,EQ,438.8,449.6,438.8,443.42,448.22,448.22,447.61,449.6,320,812,"3,63,462.87",63,Axis Bank
26-May-23,EQ,439.9,445.5,439.9,439.9,443.38,443.42,442.55,449.48,320,"1,018","4,50,514.44",48,Axis Bank
25-May-23,EQ,441.63,441.86,438.35,442.02,439.95,439.9,439.38,449.48,320,"1,627","7,14,866.24",54,Axis Bank
24-May-23,EQ,442.97,445,440.95,444.51,442.33,442.02,442.11,449.48,320,"5,268","23,29,053.19",54,Axis Bank
23-May-23,EQ,444.07,445.48,443.3,444.08,444.58,444.51,444.62,449.48,320,363,"1,61,396.75",48,Axis Bank
22-May-23,EQ,449.48,449.48,441.51,444.54,444.08,444.08,443.58,449.48,320,"1,093","4,84,831.35",70,Axis Bank
19-May-23,EQ,442.15,445.07,440.31,441.21,445.07,444.54,442.23,445.07,320,"1,667","7,37,204.86",43,Axis Bank
18-May-23,EQ,442.37,445,441.2,442,441.2,441.21,443.95,445,320,"9,921","44,04,455.64",50,Axis Bank
17-May-23,EQ,442.8,443.84,439.51,442.58,442,442,440.86,444.03,320,"1,698","7,48,586.15",60,Axis Bank
16-May-23,EQ,443.99,444,442.31,443.99,442.75,442.58,442.96,444.03,320,884,"3,91,580.59",55,Axis Bank
15-May-23,EQ,440,443.99,440,440.09,443.99,443.99,443.43,444.03,320,"1,662","7,36,984.10",67,Axis Bank
12-May-23,EQ,435.31,441.59,435.31,437.79,438.68,440.09,438.11,444.03,320,"1,538","6,73,810.36",59,Axis Bank
11-May-23,EQ,436.6,439.59,436.56,435.7,437.7,437.79,438.22,444.03,320,740,"3,24,286.07",52,Axis Bank
10-May-23,EQ,434.5,437.21,432.5,433.58,434.23,435.7,434.63,444.03,320,"2,733","11,87,833.01",65,Axis Bank
09-May-23,EQ,435.85,438.99,432.85,435.83,433.03,433.58,436.98,444.03,320,"1,178","5,14,762.87",47,Axis Bank
08-May-23,EQ,435.98,437.75,423.06,431.2,435.83,435.83,435.85,444.03,320,705,"3,07,273.05",67,Axis Bank
05-May-23,EQ,429.06,439.59,429.06,438.91,430,431.2,435.58,444.03,320,"1,073","4,67,372.74",81,Axis Bank
04-May-23,EQ,437.15,439.05,436.51,436.37,438.01,438.91,438.42,444.03,320,794,"3,48,104.63",31,Axis Bank
03-May-23,EQ,437.17,437.17,434.31,437.16,434.32,436.37,435.3,444.03,320,862,"3,75,227.55",51,Axis Bank
02-May-23,EQ,438.98,438.98,434.34,433.96,437.45,437.16,435.72,444.03,320,"4,593","20,01,283.02",78,Axis Bank
28-Apr-23,EQ,431.53,435.78,431.53,431.76,433.34,433.96,433.5,444.03,320,"1,247","5,40,573.63",38,Axis Bank
27-Apr-23,EQ,436.98,436.98,430.84,432.09,431.54,431.76,432.04,444.03,320,445,"1,92,257.97",25,Axis Bank
26-Apr-23,EQ,429.62,432.09,427.51,430.65,432.09,432.09,429.3,444.03,320,275,"1,18,056.64",41,Axis Bank
25-Apr-23,EQ,430.02,431.59,429.69,430.17,430.32,430.65,430.3,444.03,320,"1,156","4,97,423.30",32,Axis Bank
24-Apr-23,EQ,423.17,431.12,423.17,423.5,429.35,430.17,428.9,444.03,320,"10,587","45,40,780.75",88,Axis Bank
