Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,707.75,719.8,696.6,705.5,704.5,707.4,708.9,719.8,406.2,"42,63,066","3,02,20,99,829.45","69,921",BSE
06-Jul-23,EQ,683,710.65,671.5,680.35,705.4,705.5,692.34,712.9,406.2,"98,26,996","6,80,36,57,225.05","1,54,629",BSE
05-Jul-23,EQ,673,685,666.2,672.8,679.3,680.35,676.93,712.9,406.2,"23,22,986","1,57,24,95,052.50","41,146",BSE
04-Jul-23,EQ,672.5,685,662,669.4,673,672.8,673.09,712.9,406.2,"51,50,434","3,46,66,89,426.00","83,475",BSE
03-Jul-23,EQ,611.8,675,611.75,608.55,668,669.4,651.22,712.9,406.2,"1,01,54,700","6,61,29,66,005.55","1,56,256",BSE
30-Jun-23,EQ,617.4,617.65,606.1,614.75,608.95,608.55,611.24,712.9,406.2,"8,23,750","50,35,05,206.25","18,754",BSE
28-Jun-23,EQ,615.5,624.3,611.1,600.4,617,614.75,617.33,712.9,406.2,"25,12,985","1,55,13,48,727.85","43,807",BSE
27-Jun-23,EQ,599.5,604.9,593.6,596.75,601,600.4,599.77,712.9,406.2,"8,96,190","53,75,03,638.75","17,084",BSE
26-Jun-23,EQ,611,611.85,589,608.55,597.5,596.75,597.14,712.9,406.2,"13,40,671","80,05,68,408.10","28,735",BSE
23-Jun-23,EQ,603.95,619.95,596,603.25,608.1,608.55,610.82,712.9,406.2,"39,13,090","2,39,01,85,697.00","65,074",BSE
22-Jun-23,EQ,586,611.3,585.25,572.15,605,603.25,601.77,712.9,406.2,"68,92,513","4,14,77,23,096.35","1,05,380",BSE
21-Jun-23,EQ,571.9,582.5,570.95,571.9,571.6,572.15,576.89,712.9,406.2,"7,27,557","41,97,22,903.40","15,599",BSE
20-Jun-23,EQ,568.95,574.5,565,568.8,571.4,571.9,569.75,712.9,406.2,"4,99,557","28,46,22,924.15","11,883",BSE
19-Jun-23,EQ,575.15,576.4,567,572.25,569.7,568.8,571.46,712.9,406.2,"4,64,900","26,56,72,850.20","12,854",BSE
16-Jun-23,EQ,575,580.65,570,573.95,573,572.25,574.68,712.9,406.2,"8,77,221","50,41,18,058.55","16,406",BSE
15-Jun-23,EQ,573.3,583,569.8,570.5,573.5,573.95,576.59,712.9,406.2,"13,12,119","75,65,52,867.20","26,440",BSE
14-Jun-23,EQ,565,573.4,564.65,562.95,570.45,570.5,569.48,712.9,406.2,"8,54,661","48,67,15,685.40","19,688",BSE
