Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,668.25,693.8,664.15,668.25,689.15,689.25,681.37,693.8,360.45,"27,97,202","1,90,59,38,486.45","44,586",GLENMARK
06-Jul-23,EQ,663.5,671,661.55,664,669.45,668.25,667.83,684.85,360.45,"9,83,495","65,68,04,278.25","24,840",GLENMARK
05-Jul-23,EQ,650,665.7,649.45,649.65,663.5,664,654.69,684.85,360.45,"12,75,242","83,48,90,073.70","22,907",GLENMARK
04-Jul-23,EQ,660.9,662.85,647.65,659.45,650.2,649.65,653.14,684.85,360.45,"10,93,575","71,42,57,568.20","18,014",GLENMARK
03-Jul-23,EQ,676,680.7,657.95,676,659,659.45,667.71,684.85,360.45,"5,43,288","36,27,58,693.95","20,208",GLENMARK
30-Jun-23,EQ,678,684.85,673.8,675.6,677.3,676,677.99,684.85,360.45,"14,00,583","94,95,78,765.80","31,407",GLENMARK
28-Jun-23,EQ,657,679.95,656.4,655.7,678,675.6,669.18,682.25,360.45,"16,52,557","1,10,58,65,186.15","31,433",GLENMARK
27-Jun-23,EQ,646.9,671.65,644.95,645.4,655.05,655.7,660.76,682.25,360.45,"18,16,232","1,20,00,96,392.15","45,282",GLENMARK
26-Jun-23,EQ,630,646.75,628,633,645.5,645.4,640.18,682.25,360.45,"8,06,947","51,65,94,314.20","18,333",GLENMARK
23-Jun-23,EQ,627.8,638.5,622.05,627.7,630.75,633,628.82,682.25,348.5,"9,71,554","61,09,33,253.05","24,629",GLENMARK
22-Jun-23,EQ,638.8,638.8,621.8,643.05,628.6,627.7,628.69,682.25,348.5,"13,88,351","87,28,40,762.15","26,445",GLENMARK
21-Jun-23,EQ,643.75,648.05,637.45,643.85,642.05,643.05,642.45,682.25,348.5,"4,53,135","29,11,15,536.95","11,078",GLENMARK
20-Jun-23,EQ,640.4,649.8,638.55,640.4,643.85,643.85,643.14,682.25,348.5,"4,85,694","31,23,68,296.80","10,580",GLENMARK
19-Jun-23,EQ,642.4,654.5,638.9,642.45,642.5,640.4,646.4,682.25,348.5,"7,41,200","47,91,09,059.85","19,777",GLENMARK
16-Jun-23,EQ,642.45,648.95,636.5,642.45,643.05,642.45,642.74,682.25,348.5,"7,98,919","51,34,95,574.35","22,722",GLENMARK
15-Jun-23,EQ,635,644,634.35,637.45,643,642.45,639,682.25,348.5,"6,96,604","44,51,29,021.45","13,810",GLENMARK
14-Jun-23,EQ,649,650,635.85,649,637.8,637.45,642.57,682.25,348.5,"6,66,369","42,81,85,843.45","14,894",GLENMARK
13-Jun-23,EQ,638.55,652.85,634.95,638.55,649.5,649,645.18,682.25,348.5,"6,90,845","44,57,21,810.05","18,706",GLENMARK
12-Jun-23,EQ,647,647,633.35,636.05,637.7,638.55,638.97,682.25,348.5,"6,56,015","41,91,75,027.65","17,177",GLENMARK
09-Jun-23,EQ,645.1,659,633.85,648.4,635.9,636.05,643.96,682.25,348.5,"11,40,652","73,45,28,578.65","24,828",GLENMARK
