Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,"2,753.10","2,769.65","2,691.00","2,757.10","2,699.00","2,698.10","2,736.35","2,769.65","2,276.00","11,78,930","3,22,59,69,760.05","89,844",HINDUNILVR
06-Jul-23,EQ,"2,759.90","2,765.00","2,735.65","2,755.85","2,750.00","2,757.10","2,752.27","2,765.00","2,276.00","12,65,020","3,48,16,73,250.00","80,838",HINDUNILVR
05-Jul-23,EQ,"2,699.95","2,759.40","2,696.10","2,700.00","2,756.95","2,755.85","2,739.61","2,759.40","2,276.00","17,17,547","4,70,54,05,809.65","1,01,423",HINDUNILVR
04-Jul-23,EQ,"2,701.05","2,706.70","2,675.00","2,701.05","2,701.55","2,700.00","2,694.55","2,741.60","2,276.00","7,21,907","1,94,52,11,783.95","59,631",HINDUNILVR
03-Jul-23,EQ,"2,687.00","2,705.85","2,659.45","2,678.15","2,700.20","2,701.05","2,680.80","2,741.60","2,276.00","9,80,665","2,62,89,63,266.80","77,899",HINDUNILVR
30-Jun-23,EQ,"2,665.95","2,685.90","2,651.35","2,661.25","2,676.05","2,678.15","2,670.31","2,741.60","2,203.60","11,60,181","3,09,80,45,688.10","1,00,991",HINDUNILVR
28-Jun-23,EQ,"2,652.95","2,687.60","2,642.00","2,651.35","2,669.65","2,661.25","2,665.90","2,741.60","2,203.60","13,97,573","3,72,57,92,249.90","75,563",HINDUNILVR
27-Jun-23,EQ,"2,652.10","2,661.60","2,636.00","2,652.10","2,650.00","2,651.35","2,648.01","2,741.60","2,203.60","6,87,747","1,82,11,61,971.15","41,410",HINDUNILVR
26-Jun-23,EQ,"2,642.15","2,674.20","2,642.15","2,641.60","2,653.70","2,652.10","2,656.21","2,741.60","2,203.60","7,58,700","2,01,52,68,379.95","43,105",HINDUNILVR
23-Jun-23,EQ,"2,651.30","2,660.55","2,627.45","2,654.35","2,647.00","2,641.60","2,639.71","2,741.60","2,108.15","9,91,214","2,61,65,17,618.00","69,693",HINDUNILVR
22-Jun-23,EQ,"2,668.65","2,678.00","2,648.70","2,676.60","2,655.35","2,654.35","2,658.11","2,741.60","2,108.15","8,30,052","2,20,63,70,477.75","48,900",HINDUNILVR
21-Jun-23,EQ,"2,685.95","2,706.85","2,668.45","2,676.10","2,672.50","2,676.60","2,685.49","2,741.60","2,108.15","12,01,840","3,22,75,25,742.20","86,315",HINDUNILVR
20-Jun-23,EQ,"2,670.00","2,680.40","2,648.10","2,683.25","2,677.35","2,676.10","2,667.41","2,741.60","2,108.15","11,29,279","3,01,22,45,307.85","79,624",HINDUNILVR
19-Jun-23,EQ,"2,702.00","2,711.40","2,675.00","2,715.65","2,689.25","2,683.25","2,689.35","2,741.60","2,108.15","10,68,263","2,87,29,32,753.15","63,172",HINDUNILVR
16-Jun-23,EQ,"2,689.70","2,724.00","2,683.20","2,689.70","2,714.25","2,715.65","2,707.57","2,741.60","2,100.00","17,48,145","4,73,32,28,330.20","88,442",HINDUNILVR
15-Jun-23,EQ,"2,713.95","2,717.50","2,678.15","2,698.75","2,688.30","2,689.70","2,694.57","2,741.60","2,100.00","18,30,192","4,93,15,75,355.70","1,06,076",HINDUNILVR
14-Jun-23,EQ,"2,671.00","2,702.10","2,652.00","2,675.90","2,698.95","2,698.75","2,680.19","2,741.60","2,100.00","15,36,248","4,11,74,31,067.65","1,33,627",HINDUNILVR
13-Jun-23,EQ,"2,629.60","2,697.00","2,627.50","2,643.45","2,669.00","2,675.90","2,679.44","2,741.60","2,100.00","17,87,924","4,79,06,43,710.70","1,00,297",HINDUNILVR
12-Jun-23,EQ,"2,645.00","2,657.00","2,633.00","2,636.20","2,649.80","2,643.45","2,645.66","2,741.60","2,100.00","7,75,484","2,05,16,67,744.60","59,571",HINDUNILVR
09-Jun-23,EQ,"2,688.95","2,688.95","2,620.10","2,679.90","2,639.95","2,636.20","2,641.03","2,741.60","2,100.00","14,13,808","3,73,39,16,115.35","94,529",HINDUNILVR
08-Jun-23,EQ,"2,707.00","2,721.55","2,674.90","2,716.20","2,677.65","2,679.90","2,690.37","2,741.60","2,100.00","9,23,536","2,48,46,52,686.85","71,040",HINDUNILVR
07-Jun-23,EQ,"2,690.00","2,727.00","2,679.35","2,691.15","2,709.00","2,716.20","2,713.95","2,741.60","2,100.00","14,28,490","3,87,68,46,606.35","81,231",HINDUNILVR
06-Jun-23,EQ,"2,700.00","2,707.90","2,670.15","2,695.80","2,693.00","2,691.15","2,685.00","2,741.60","2,100.00","6,55,372","1,75,96,76,340.00","45,982",HINDUNILVR
05-Jun-23,EQ,"2,716.45","2,722.00","2,684.15","2,716.70","2,702.00","2,695.80","2,695.82","2,741.60","2,100.00","10,00,190","2,69,63,36,058.55","77,118",HINDUNILVR
02-Jun-23,EQ,"2,710.00","2,738.20","2,691.65","2,697.90","2,711.05","2,716.70","2,722.86","2,741.60","2,100.00","15,09,260","4,10,95,06,199.55","95,015",HINDUNILVR
01-Jun-23,EQ,"2,667.00","2,731.25","2,654.50","2,667.55","2,691.00","2,697.90","2,705.75","2,741.60","2,100.00","15,41,080","4,16,97,83,905.90","1,23,682",HINDUNILVR
31-May-23,EQ,"2,656.55","2,680.00","2,638.00","2,656.55","2,667.65","2,667.55","2,663.64","2,741.60","2,100.00","33,88,305","9,02,52,15,313.35","1,05,365",HINDUNILVR
30-May-23,EQ,"2,655.50","2,665.00","2,650.85","2,650.30","2,655.00","2,656.55","2,658.52","2,741.60","2,100.00","9,48,051","2,52,04,10,983.00","63,135",HINDUNILVR
29-May-23,EQ,"2,670.00","2,679.55","2,645.05","2,652.35","2,649.50","2,650.30","2,662.94","2,741.60","2,100.00","6,98,267","1,85,94,44,941.95","53,571",HINDUNILVR
26-May-23,EQ,"2,603.75","2,656.70","2,603.10","2,597.25","2,652.05","2,652.35","2,630.25","2,741.60","2,100.00","9,47,073","2,49,10,37,808.50","52,677",HINDUNILVR
25-May-23,EQ,"2,610.00","2,626.15","2,580.55","2,614.95","2,598.05","2,597.25","2,595.97","2,741.60","2,100.00","10,72,231","2,78,34,79,757.80","55,384",HINDUNILVR
24-May-23,EQ,"2,620.00","2,638.00","2,608.00","2,628.30","2,615.35","2,614.95","2,620.03","2,741.60","2,100.00","6,28,872","1,64,76,66,150.90","62,129",HINDUNILVR
23-May-23,EQ,"2,632.00","2,649.80","2,625.00","2,638.10","2,631.85","2,628.30","2,635.01","2,741.60","2,100.00","7,03,864","1,85,46,88,998.70","95,345",HINDUNILVR
22-May-23,EQ,"2,635.00","2,655.45","2,623.05","2,641.45","2,636.00","2,638.10","2,640.05","2,741.60","2,100.00","7,68,232","2,02,81,73,313.50","44,256",HINDUNILVR
19-May-23,EQ,"2,628.65","2,649.00","2,600.65","2,627.55","2,641.00","2,641.45","2,623.50","2,741.60","2,100.00","11,74,757","3,08,19,69,403.45","85,683",HINDUNILVR
18-May-23,EQ,"2,665.50","2,669.20","2,621.85","2,661.75","2,627.00","2,627.55","2,640.55","2,741.60","2,100.00","14,34,067","3,78,67,23,826.60","94,635",HINDUNILVR
17-May-23,EQ,"2,672.00","2,674.00","2,647.05","2,675.90","2,659.10","2,661.75","2,663.18","2,741.60","2,100.00","8,39,404","2,23,54,85,781.50","82,314",HINDUNILVR
16-May-23,EQ,"2,670.00","2,678.40","2,650.60","2,662.25","2,670.10","2,675.90","2,667.98","2,741.60","2,100.00","14,77,905","3,94,30,16,050.35","83,726",HINDUNILVR
15-May-23,EQ,"2,637.95","2,670.75","2,623.05","2,623.40","2,659.10","2,662.25","2,656.23","2,741.60","2,100.00","15,61,055","4,14,65,28,318.20","1,71,332",HINDUNILVR
