Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,99.45,101.25,98.8,98.6,99.4,99.2,99.83,101.25,65.2,"3,75,46,405","3,74,82,45,618.55","1,36,971",IOC
06-Jul-23,EQ,96,98.8,96,95.5,98.65,98.6,98.28,98.8,65.2,"3,27,78,334","3,22,13,64,932.50","1,14,066",IOC
05-Jul-23,EQ,95.15,95.7,93.4,94.65,95.4,95.5,94.99,96.4,65.2,"1,42,83,796","1,35,67,69,483.55","50,741",IOC
04-Jul-23,EQ,96,96.4,94.35,95.25,94.55,94.65,95.25,96.4,65.2,"1,19,18,401","1,13,52,12,754.50","47,371",IOC
03-Jul-23,EQ,91.6,96.1,91.3,91.3,95.7,95.25,94.73,96.1,65.2,"3,29,72,732","3,12,36,53,363.70","96,016",IOC
30-Jun-23,EQ,90.95,91.95,90.65,90.65,91.25,91.3,91.3,110.85,65.2,"1,25,95,671","1,14,99,78,712.65","43,574",IOC
28-Jun-23,EQ,89.7,91.15,89,89.35,91,90.65,90.04,110.85,65.2,"1,43,88,441","1,29,55,86,278.70","42,441",IOC
27-Jun-23,EQ,89.75,90.5,88.9,89.55,89.45,89.35,89.61,110.85,65.2,"1,06,68,117","95,59,55,795.25","39,053",IOC
26-Jun-23,EQ,89.3,89.95,88.7,89.3,89.75,89.55,89.29,110.85,65.2,"1,09,63,542","97,89,49,325.70","41,163",IOC
23-Jun-23,EQ,92.3,92.4,88.85,92,89.35,89.3,90.55,110.85,65.2,"1,81,34,295","1,64,19,93,585.15","52,870",IOC
22-Jun-23,EQ,92,92.85,91.75,92,92,92,92.24,110.85,65.2,"96,94,937","89,42,98,177.00","32,883",IOC
21-Jun-23,EQ,91.95,92.85,91.7,91.9,92,92,92.15,110.85,65.2,"94,99,893","87,53,95,638.25","35,671",IOC
20-Jun-23,EQ,91.9,92.6,91.3,91.9,91.95,91.9,92.06,110.85,65.2,"93,94,894","86,49,27,492.95","36,637",IOC
