Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,"2,482.75","2,504.00","2,444.60","2,488.60","2,452.00","2,449.35","2,463.95","2,504.00","1,550.20","18,37,661","4,52,79,02,781.45","1,05,241",LT
06-Jul-23,EQ,"2,468.10","2,499.95","2,467.55","2,470.80","2,487.00","2,488.60","2,489.92","2,499.95","1,550.20","17,96,824","4,47,39,50,531.60","87,551",LT
05-Jul-23,EQ,"2,461.00","2,484.95","2,454.35","2,461.85","2,472.00","2,470.80","2,469.27","2,492.40","1,550.20","11,91,896","2,94,31,09,995.05","78,418",LT
04-Jul-23,EQ,"2,458.20","2,484.40","2,458.20","2,454.05","2,463.00","2,461.85","2,468.70","2,492.40","1,550.20","14,41,581","3,55,88,36,405.10","92,291",LT
03-Jul-23,EQ,"2,478.20","2,492.40","2,448.00","2,475.55","2,456.00","2,454.05","2,464.64","2,492.40","1,550.20","10,78,456","2,65,80,08,200.35","77,218",LT
30-Jun-23,EQ,"2,420.00","2,483.50","2,415.05","2,421.45","2,475.00","2,475.55","2,453.41","2,483.50","1,509.75","26,90,699","6,60,13,79,350.05","1,27,547",LT
28-Jun-23,EQ,"2,400.00","2,432.90","2,390.05","2,388.05","2,424.00","2,421.45","2,418.46","2,432.90","1,509.75","17,34,938","4,19,58,72,072.20","1,18,169",LT
27-Jun-23,EQ,"2,387.45","2,396.95","2,371.55","2,377.55","2,389.00","2,388.05","2,387.44","2,427.00","1,509.75","10,12,317","2,41,68,46,489.15","79,667",LT
26-Jun-23,EQ,"2,398.10","2,403.85","2,367.95","2,389.55","2,375.00","2,377.55","2,379.97","2,427.00","1,509.75","7,93,572","1,88,86,73,789.80","67,473",LT
23-Jun-23,EQ,"2,418.95","2,427.00","2,383.25","2,416.25","2,392.90","2,389.55","2,402.41","2,427.00","1,456.35","12,12,955","2,91,40,13,127.30","82,586",LT
22-Jun-23,EQ,"2,394.60","2,424.00","2,380.00","2,394.45","2,418.00","2,416.25","2,405.52","2,424.00","1,456.35","17,41,775","4,18,98,72,511.60","73,734",LT
21-Jun-23,EQ,"2,382.00","2,412.00","2,382.00","2,382.00","2,394.00","2,394.45","2,399.93","2,419.90","1,456.35","16,07,299","3,85,74,08,949.95","70,345",LT
20-Jun-23,EQ,"2,364.95","2,389.65","2,354.45","2,366.35","2,388.00","2,382.00","2,375.25","2,419.90","1,456.35","17,71,306","4,20,72,98,020.80","82,474",LT
19-Jun-23,EQ,"2,379.00","2,419.90","2,361.00","2,366.80","2,365.00","2,366.35","2,387.28","2,419.90","1,456.35","31,11,256","7,42,74,37,381.00","1,06,255",LT
16-Jun-23,EQ,"2,363.75","2,380.00","2,352.25","2,361.30","2,363.15","2,366.80","2,367.08","2,416.35","1,456.35","17,94,542","4,24,78,29,339.05","86,400",LT
15-Jun-23,EQ,"2,355.00","2,369.50","2,349.00","2,355.05","2,358.40","2,361.30","2,363.11","2,416.35","1,456.35","25,61,534","6,05,31,83,578.60","77,879",LT
14-Jun-23,EQ,"2,352.90","2,360.00","2,340.00","2,354.40","2,355.00","2,355.05","2,351.52","2,416.35","1,456.35","10,13,564","2,38,34,16,827.05","56,151",LT
13-Jun-23,EQ,"2,345.85","2,357.90","2,327.10","2,339.95","2,352.00","2,354.40","2,348.25","2,416.35","1,456.35","16,88,768","3,96,56,56,922.25","1,11,296",LT
12-Jun-23,EQ,"2,365.00","2,370.00","2,333.10","2,363.00","2,340.05","2,339.95","2,342.03","2,416.35","1,456.35","11,72,382","2,74,57,52,288.65","45,800",LT
09-Jun-23,EQ,"2,345.00","2,368.85","2,338.25","2,340.30","2,363.25","2,363.00","2,360.07","2,416.35","1,456.35","25,01,720","5,90,42,44,190.05","71,065",LT
08-Jun-23,EQ,"2,316.95","2,345.05","2,312.75","2,315.50","2,340.40","2,340.30","2,336.61","2,416.35","1,456.35","25,56,995","5,97,47,08,032.00","71,004",LT
07-Jun-23,EQ,"2,278.00","2,318.00","2,278.00","2,277.95","2,316.00","2,315.50","2,304.52","2,416.35","1,456.35","21,28,603","4,90,53,99,392.20","1,22,375",LT
06-Jun-23,EQ,"2,269.00","2,280.70","2,263.70","2,268.30","2,278.10","2,277.95","2,272.28","2,416.35","1,456.35","16,77,680","3,81,21,65,166.35","98,810",LT
05-Jun-23,EQ,"2,245.00","2,272.80","2,240.00","2,234.55","2,269.50","2,268.30","2,260.72","2,416.35","1,456.35","23,44,944","5,30,12,54,467.75","1,32,166",LT
02-Jun-23,EQ,"2,221.00","2,237.30","2,212.15","2,207.80","2,236.00","2,234.55","2,228.04","2,416.35","1,456.35","13,99,950","3,11,91,46,915.75","1,17,300",LT
01-Jun-23,EQ,"2,217.00","2,222.00","2,202.15","2,205.65","2,209.40","2,207.80","2,211.72","2,416.35","1,456.35","10,49,488","2,32,11,70,531.55","77,153",LT
31-May-23,EQ,"2,201.10","2,224.00","2,200.00","2,210.80","2,212.50","2,205.65","2,207.16","2,416.35","1,456.35","28,09,284","6,20,05,44,991.75","72,450",LT
30-May-23,EQ,"2,230.00","2,237.00","2,207.20","2,224.55","2,212.50","2,210.80","2,215.65","2,416.35","1,456.35","17,16,729","3,80,36,68,166.15","63,987",LT
29-May-23,EQ,"2,225.00","2,241.80","2,220.20","2,218.45","2,227.30","2,224.55","2,230.23","2,416.35","1,456.35","13,69,656","3,05,46,42,456.65","62,359",LT
26-May-23,EQ,"2,209.00","2,220.75","2,201.00","2,204.70","2,218.00","2,218.45","2,213.00","2,416.35","1,456.35","12,49,128","2,76,43,18,879.35","59,656",LT
25-May-23,EQ,"2,190.00","2,207.30","2,178.00","2,185.15","2,205.55","2,204.70","2,190.71","2,416.35","1,456.35","16,89,521","3,70,12,56,865.80","1,10,789",LT
24-May-23,EQ,"2,200.00","2,208.50","2,176.00","2,197.65","2,190.00","2,185.15","2,189.90","2,416.35","1,456.35","26,48,479","5,79,99,12,291.00","1,77,358",LT
23-May-23,EQ,"2,225.60","2,228.60","2,194.00","2,216.60","2,196.00","2,197.65","2,203.51","2,416.35","1,456.35","22,65,389","4,99,18,00,513.00","1,48,396",LT
22-May-23,EQ,"2,190.00","2,222.00","2,178.40","2,190.05","2,219.75","2,216.60","2,211.10","2,416.35","1,456.35","11,12,099","2,45,89,66,165.50","79,757",LT
19-May-23,EQ,"2,192.00","2,199.05","2,168.50","2,188.20","2,194.00","2,190.05","2,183.81","2,416.35","1,456.35","17,29,803","3,77,75,64,560.35","1,26,536",LT
18-May-23,EQ,"2,230.00","2,233.55","2,181.00","2,219.60","2,187.60","2,188.20","2,204.09","2,416.35","1,456.35","22,90,757","5,04,90,27,902.95","90,474",LT
17-May-23,EQ,"2,224.35","2,244.00","2,210.20","2,227.20","2,217.50","2,219.60","2,223.69","2,416.35","1,456.35","19,61,004","4,36,06,62,313.15","1,54,051",LT
16-May-23,EQ,"2,254.60","2,255.00","2,223.10","2,246.85","2,227.55","2,227.20","2,234.36","2,416.35","1,456.35","25,28,855","5,65,03,78,608.00","2,04,858",LT
15-May-23,EQ,"2,220.90","2,260.00","2,215.00","2,221.10","2,243.00","2,246.85","2,245.48","2,416.35","1,456.35","26,62,740","5,97,91,33,304.65","1,89,172",LT
12-May-23,EQ,"2,222.65","2,235.00","2,197.35","2,242.15","2,226.00","2,221.10","2,216.56","2,416.35","1,456.35","53,67,292","11,89,69,41,825.55","2,70,385",LT
11-May-23,EQ,"2,300.00","2,314.05","2,237.35","2,364.45","2,244.00","2,242.15","2,255.59","2,416.35","1,456.35","94,70,848","21,36,23,95,284.80","5,17,410",LT
10-May-23,EQ,"2,387.00","2,388.95","2,350.00","2,374.35","2,372.80","2,364.45","2,362.84","2,416.35","1,456.35","16,75,409","3,95,87,30,205.45","68,774",LT
09-May-23,EQ,"2,367.65","2,401.90","2,367.65","2,365.40","2,374.95","2,374.35","2,380.73","2,416.35","1,456.35","14,17,301","3,37,42,08,041.20","1,02,983",LT
08-May-23,EQ,"2,377.45","2,385.00","2,354.05","2,377.50","2,368.00","2,365.40","2,368.84","2,416.35","1,456.35","15,83,576","3,75,12,36,289.35","63,374",LT
05-May-23,EQ,"2,357.00","2,406.95","2,357.00","2,356.90","2,379.45","2,377.50","2,389.07","2,416.35","1,456.35","24,25,866","5,79,55,71,367.25","1,33,605",LT
04-May-23,EQ,"2,361.80","2,381.65","2,342.85","2,356.30","2,363.00","2,356.90","2,357.79","2,416.35","1,456.35","12,30,912","2,90,22,34,986.20","59,655",LT
03-May-23,EQ,"2,384.10","2,390.00","2,348.50","2,384.45","2,355.80","2,356.30","2,362.54","2,416.35","1,456.35","9,98,235","2,35,83,70,082.20","67,794",LT
