Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,"1,546.90","1,591.95","1,539.30","1,548.80","1,561.00","1,564.15","1,564.56","1,591.95","1,078.00","69,05,845","10,80,46,25,639.95","2,60,393",M&M
06-Jul-23,EQ,"1,477.85","1,552.90","1,472.65","1,475.35","1,549.50","1,548.80","1,525.41","1,552.90","1,078.00","56,28,945","8,58,64,43,512.65","2,05,433",M&M
05-Jul-23,EQ,"1,463.95","1,478.00","1,457.10","1,464.45","1,477.90","1,475.35","1,468.79","1,498.05","1,078.00","14,56,527","2,13,93,34,212.80","63,472",M&M
04-Jul-23,EQ,"1,487.00","1,487.00","1,462.10","1,467.95","1,467.55","1,464.45","1,474.83","1,498.05","1,078.00","15,95,700","2,35,33,86,706.45","69,329",M&M
03-Jul-23,EQ,"1,470.00","1,498.05","1,459.30","1,453.60","1,471.70","1,467.95","1,475.68","1,498.05","1,078.00","36,15,176","5,33,48,36,255.65","1,51,271",M&M
30-Jun-23,EQ,"1,402.65","1,461.00","1,400.00","1,395.00","1,456.00","1,453.60","1,442.59","1,461.00","1,064.00","41,14,865","5,93,60,69,457.00","1,45,578",M&M
28-Jun-23,EQ,"1,408.95","1,413.75","1,390.15","1,402.40","1,397.00","1,395.00","1,401.57","1,422.80","1,064.00","26,11,913","3,66,07,89,774.80","95,156",M&M
27-Jun-23,EQ,"1,406.70","1,417.00","1,393.60","1,397.65","1,401.50","1,402.40","1,405.15","1,422.80","1,064.00","27,37,379","3,84,64,40,646.50","1,09,787",M&M
26-Jun-23,EQ,"1,375.00","1,404.90","1,369.95","1,373.25","1,398.00","1,397.65","1,391.55","1,422.80","1,064.00","22,81,046","3,17,41,79,572.45","1,18,787",M&M
23-Jun-23,EQ,"1,376.90","1,379.60","1,368.50","1,378.70","1,374.35","1,373.25","1,374.34","1,422.80",972.65,"12,58,590","1,72,97,28,767.55","76,941",M&M
22-Jun-23,EQ,"1,379.00","1,392.00","1,374.65","1,374.25","1,379.80","1,378.70","1,382.36","1,422.80",972.65,"12,96,616","1,79,23,85,557.15","59,952",M&M
21-Jun-23,EQ,"1,394.05","1,403.40","1,370.65","1,396.45","1,377.25","1,374.25","1,384.41","1,422.80",972.65,"20,08,628","2,78,07,63,287.50","73,106",M&M
20-Jun-23,EQ,"1,402.60","1,409.90","1,380.70","1,402.55","1,397.65","1,396.45","1,389.88","1,422.80",972.65,"10,42,428","1,44,88,48,860.75","75,030",M&M
19-Jun-23,EQ,"1,409.50","1,415.35","1,396.00","1,403.85","1,400.50","1,402.55","1,406.43","1,422.80",972.65,"14,76,764","2,07,69,59,980.90","50,352",M&M
16-Jun-23,EQ,"1,399.00","1,409.80","1,393.40","1,392.75","1,406.00","1,403.85","1,403.03","1,422.80",972.65,"21,32,678","2,99,22,14,928.45","83,278",M&M
15-Jun-23,EQ,"1,381.80","1,407.20","1,371.50","1,378.65","1,393.05","1,392.75","1,393.96","1,422.80",972.65,"17,20,070","2,39,77,14,144.80","69,075",M&M
14-Jun-23,EQ,"1,374.00","1,381.00","1,366.00","1,373.15","1,378.15","1,378.65","1,376.09","1,422.80",972.65,"9,05,086","1,24,54,81,508.85","39,756",M&M
13-Jun-23,EQ,"1,383.15","1,388.50","1,368.20","1,381.40","1,374.20","1,373.15","1,374.16","1,422.80",972.65,"25,16,583","3,45,81,94,422.90","88,930",M&M
12-Jun-23,EQ,"1,377.90","1,384.80","1,369.30","1,370.65","1,384.00","1,381.40","1,377.34","1,422.80",972.65,"13,89,300","1,91,35,42,866.75","87,121",M&M
09-Jun-23,EQ,"1,380.75","1,387.00","1,363.00","1,381.05","1,371.85","1,370.65","1,369.64","1,422.80",972.65,"18,81,329","2,57,67,41,282.00","77,964",M&M
08-Jun-23,EQ,"1,412.70","1,415.55","1,377.50","1,406.40","1,379.95","1,381.05","1,390.27","1,422.80",972.65,"17,76,230","2,46,94,33,713.70","58,863",M&M
07-Jun-23,EQ,"1,422.80","1,422.80","1,395.00","1,411.20","1,409.00","1,406.40","1,405.42","1,422.80",972.65,"24,91,079","3,50,10,08,994.00","85,909",M&M
06-Jun-23,EQ,"1,395.40","1,414.90","1,388.05","1,395.40","1,410.10","1,411.20","1,404.61","1,414.90",972.65,"23,35,838","3,28,09,49,721.20","1,48,600",M&M
05-Jun-23,EQ,"1,349.80","1,401.00","1,346.35","1,341.40","1,394.95","1,395.40","1,382.09","1,401.00",972.65,"51,05,293","7,05,59,93,111.65","2,22,575",M&M
02-Jun-23,EQ,"1,324.85","1,345.00","1,320.30","1,318.90","1,343.00","1,341.40","1,333.58","1,397.00",957.05,"23,13,841","3,08,56,84,622.00","1,19,337",M&M
01-Jun-23,EQ,"1,319.00","1,337.70","1,312.80","1,319.00","1,319.80","1,318.90","1,324.42","1,397.00",957.05,"23,64,455","3,13,15,20,548.20","1,61,465",M&M
31-May-23,EQ,"1,325.00","1,328.25","1,303.25","1,328.45","1,316.20","1,319.00","1,318.27","1,397.00",957.05,"56,29,378","7,42,10,49,375.10","1,36,284",M&M
30-May-23,EQ,"1,329.95","1,335.30","1,320.00","1,330.15","1,327.05","1,328.45","1,330.40","1,397.00",957.05,"24,93,657","3,31,75,65,304.05","1,02,790",M&M
29-May-23,EQ,"1,321.50","1,350.00","1,298.00","1,281.85","1,325.05","1,330.15","1,329.30","1,397.00",957.05,"61,85,862","8,22,28,50,122.70","2,67,574",M&M
26-May-23,EQ,"1,290.00","1,292.80","1,268.35","1,277.80","1,277.00","1,281.85","1,283.55","1,397.00",910.25,"35,08,112","4,50,28,27,826.00","97,532",M&M
25-May-23,EQ,"1,280.00","1,280.80","1,257.55","1,275.70","1,279.35","1,277.80","1,268.92","1,397.00",910.25,"20,40,166","2,58,87,99,776.75","88,205",M&M
