Company Name,Date,Close,Volume
Jindal Saw,07-12-2023,451.25,64404
Jindal Saw,06-12-2023,456.45,132713
Jindal Saw,05-12-2023,460.30,33749
Jindal Saw,04-12-2023,461.35,42573
Jindal Saw,01-12-2023,470.15,24943
Jindal Saw,30-11-2023,457.95,43374
Jindal Saw,29-11-2023,462.00,75735
Jindal Saw,28-11-2023,462.15,98877
Jindal Saw,24-11-2023,445.90,27484
Jindal Saw,23-11-2023,456.75,31082
Jindal Saw,22-11-2023,455.20,69072
Jindal Saw,21-11-2023,480.30,20124
Jindal Saw,20-11-2023,473.10,47324
Jindal Saw,17-11-2023,487.00,28094
Jindal Saw,16-11-2023,490.75,118404
Jindal Saw,15-11-2023,507.00,46941
Jindal Saw,13-11-2023,492.45,51098
Jindal Saw,12-11-2023,495.80,50546
Jindal Saw,10-11-2023,487.90,76860
Jindal Saw,09-11-2023,468.00,33464
Jindal Saw,08-11-2023,466.70,138414
Jindal Saw,07-11-2023,482.70,128279
Jindal Saw,06-11-2023,473.15,105604
Jindal Saw,03-11-2023,461.25,77163
Jindal Saw,02-11-2023,441.40,205224
Jindal Saw,01-11-2023,435.15,240358
Jindal Saw,31-10-2023,443.15,189913
Jindal Saw,30-10-2023,412.55,303264
Jindal Saw,27-10-2023,383.50,128562
Jindal Saw,26-10-2023,386.70,437755
Jindal Saw,25-10-2023,357.10,50444
Jindal Saw,23-10-2023,365.10,164931
Jindal Saw,20-10-2023,397.50,85293
Jindal Saw,19-10-2023,395.45,110794
Jindal Saw,18-10-2023,387.65,148212
Jindal Saw,17-10-2023,381.10,107649
Jindal Saw,16-10-2023,378.10,192560
Jindal Saw,13-10-2023,361.35,101628
Jindal Saw,12-10-2023,357.95,34723
Jindal Saw,11-10-2023,346.15,57466
Jindal Saw,10-10-2023,336.65,41915
Jindal Saw,09-10-2023,334.75,22947
Jindal Saw,06-10-2023,345.20,64422
Jindal Saw,05-10-2023,352.85,29602
Jindal Saw,04-10-2023,357.90,85048
Jindal Saw,03-10-2023,365.10,65317
Jindal Saw,29-09-2023,346.50,16851
Jindal Saw,28-09-2023,349.65,39643
Jindal Saw,27-09-2023,345.90,17844
Jindal Saw,26-09-2023,348.60,13532
Jindal Saw,25-09-2023,352.95,42372
Jindal Saw,22-09-2023,346.70,26833
Jindal Saw,21-09-2023,351.50,80942
Jindal Saw,20-09-2023,354.85,26430
Jindal Saw,18-09-2023,360.05,87872
Jindal Saw,15-09-2023,371.55,161483
Jindal Saw,14-09-2023,348.40,78220
Jindal Saw,13-09-2023,350.20,142375
Jindal Saw,12-09-2023,334.45,125118
Jindal Saw,11-09-2023,384.35,157910
Jindal Saw,08-09-2023,372.05,91443
