Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,"1,490.30","1,549.00","1,490.30","1,497.15","1,503.40","1,511.00","1,516.44","1,549.00",770.05,"59,400","9,00,76,723.30","5,089",ETHOS_LTD
06-Jul-23,EQ,"1,520.00","1,525.15","1,495.00","1,510.80","1,496.50","1,497.15","1,503.76","1,527.85",770.05,"28,157","4,23,41,235.25","4,222",ETHOS_LTD
05-Jul-23,EQ,"1,527.85","1,527.85","1,468.05","1,486.55","1,496.25","1,510.80","1,492.44","1,527.85",770.05,"81,796","12,20,75,759.45","10,491",ETHOS_LTD
04-Jul-23,EQ,"1,451.90","1,499.95","1,432.85","1,442.15","1,484.00","1,486.55","1,468.25","1,513.85",770.05,"73,802","10,83,59,787.35","8,333",ETHOS_LTD
03-Jul-23,EQ,"1,473.65","1,513.85","1,432.40","1,444.95","1,442.90","1,442.15","1,459.11","1,513.85",770.05,"1,13,693","16,58,90,800.35","11,336",ETHOS_LTD
30-Jun-23,EQ,"1,375.00","1,456.05","1,360.95","1,366.10","1,445.00","1,444.95","1,431.11","1,477.95",766.4,"1,88,768","27,01,47,304.80","18,674",ETHOS_LTD
28-Jun-23,EQ,"1,291.10","1,434.95","1,291.10","1,304.50","1,363.00","1,366.10","1,365.64","1,477.95",766.4,"1,63,713","22,35,72,467.70","14,903",ETHOS_LTD
27-Jun-23,EQ,"1,294.00","1,312.00","1,279.65","1,284.95","1,305.00","1,304.50","1,294.70","1,477.95",766.4,"26,031","3,37,02,263.70","2,793",ETHOS_LTD
26-Jun-23,EQ,"1,304.95","1,313.90","1,277.05","1,298.80","1,284.05","1,284.95","1,289.23","1,477.95",766.4,"20,572","2,65,21,956.20","2,760",ETHOS_LTD
23-Jun-23,EQ,"1,322.80","1,322.80","1,292.60","1,308.90","1,299.65","1,298.80","1,300.96","1,477.95",750.05,"11,684","1,52,00,407.50","1,817",ETHOS_LTD
22-Jun-23,EQ,"1,336.65","1,339.30","1,299.00","1,323.40","1,309.85","1,308.90","1,312.76","1,477.95",750.05,"18,442","2,42,09,994.35","2,739",ETHOS_LTD
21-Jun-23,EQ,"1,349.95","1,359.75","1,318.55","1,347.55","1,321.00","1,323.40","1,334.01","1,477.95",750.05,"26,567","3,54,40,511.75","3,582",ETHOS_LTD
20-Jun-23,EQ,"1,330.00","1,382.40","1,330.00","1,328.95","1,342.05","1,347.55","1,360.55","1,477.95",750.05,"69,218","9,41,74,881.00","4,923",ETHOS_LTD
19-Jun-23,EQ,"1,329.95","1,348.80","1,319.00","1,321.25","1,326.00","1,328.95","1,335.23","1,477.95",750.05,"27,049","3,61,16,689.75","3,392",ETHOS_LTD
16-Jun-23,EQ,"1,319.00","1,334.70","1,283.00","1,307.45","1,317.00","1,321.25","1,307.76","1,477.95",750.05,"52,601","6,87,89,334.70","9,742",ETHOS_LTD
