Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,322.15,328.25,321.5,322.15,325.7,325.8,324.95,328.25,233.95,"20,35,961","66,15,86,090.80","45,259",FORTIS
06-Jul-23,EQ,315.5,325.7,315.05,315.75,321,322.15,321.14,325.7,233.95,"25,94,549","83,32,06,229.75","31,012",FORTIS
05-Jul-23,EQ,316,317.5,310.8,314.6,315.5,315.75,314.31,325,233.95,"19,97,960","62,79,84,803.35","24,137",FORTIS
04-Jul-23,EQ,314.7,315.7,311.3,313.75,313.45,314.6,313.84,325,233.95,"12,87,859","40,41,82,760.40","17,273",FORTIS
03-Jul-23,EQ,319,319,310.05,315.05,313,313.75,313.77,325,233.95,"11,65,522","36,57,04,245.75","21,517",FORTIS
30-Jun-23,EQ,305.05,316.8,303.5,305.05,315.5,315.05,311.8,325,228.15,"22,04,780","68,74,54,883.85","50,150",FORTIS
28-Jun-23,EQ,304.9,307.95,303.4,304,304.4,305.05,305.66,325,228.15,"7,62,477","23,30,58,303.65","16,656",FORTIS
27-Jun-23,EQ,304.4,309.7,303.4,302.8,304.25,304,307.84,325,228.15,"12,88,772","39,67,29,413.15","21,587",FORTIS
26-Jun-23,EQ,306.8,309,298.45,304.8,303.5,302.8,301.86,325,228.15,"16,28,437","49,15,57,272.65","16,047",FORTIS
23-Jun-23,EQ,309.8,309.8,302.65,309.2,305.5,304.8,304.41,325,219.75,"10,72,917","32,66,11,976.80","7,622",FORTIS
22-Jun-23,EQ,310.1,311,303.65,309.5,310,309.2,306.47,325,219.75,"27,52,868","84,36,64,488.45","26,073",FORTIS
21-Jun-23,EQ,304.6,311,304,303.05,309.95,309.5,307.32,325,219.75,"19,92,132","61,22,15,763.35","28,284",FORTIS
20-Jun-23,EQ,305.4,306.4,301.45,306.85,302.95,303.05,303.03,325,219.75,"6,77,612","20,53,35,838.65","15,598",FORTIS
19-Jun-23,EQ,314.4,316.05,302.6,310.2,305.3,306.85,307.3,325,219.75,"19,18,111","58,94,38,887.85","26,853",FORTIS
16-Jun-23,EQ,307.4,310.9,303.85,305.95,309,310.2,308.57,325,219.75,"15,81,149","48,78,93,807.10","27,311",FORTIS
15-Jun-23,EQ,296.15,309,295.25,293.45,305,305.95,302.89,325,219.75,"42,83,920","1,29,75,67,180.70","62,291",FORTIS
14-Jun-23,EQ,288.9,294.15,284.3,287.7,293.15,293.45,291.79,325,219.75,"21,97,295","64,11,38,352.25","30,420",FORTIS
13-Jun-23,EQ,285,291.2,280.6,283.95,287,287.7,287.01,325,219.75,"21,35,476","61,29,07,266.95","30,966",FORTIS
12-Jun-23,EQ,284.05,285.4,279.65,284.05,283,283.95,283.51,325,219.75,"12,07,018","34,22,01,625.80","23,041",FORTIS
09-Jun-23,EQ,282.5,284.85,280.25,280.8,283.15,284.05,283.1,325,219.75,"15,96,862","45,20,66,722.35","24,721",FORTIS
08-Jun-23,EQ,280.9,283.45,278.6,279.6,280.1,280.8,280.34,325,219.75,"7,16,088","20,07,50,749.45","9,122",FORTIS
07-Jun-23,EQ,282.75,282.75,278.15,281.7,279.9,279.6,281.04,325,219.75,"10,34,792","29,08,17,863.95","14,528",FORTIS
06-Jun-23,EQ,274.5,282.55,274.3,274.45,282.2,281.7,279.24,325,219.75,"6,09,104","17,00,85,431.35","8,462",FORTIS
05-Jun-23,EQ,277.7,278.45,271.9,276.25,274.75,274.45,273.85,325,219.75,"11,62,106","31,82,40,382.35","32,118",FORTIS
02-Jun-23,EQ,280.75,281.1,275.4,278.85,276.6,276.25,277.99,325,219.75,"2,24,222","6,23,30,718.65","4,445",FORTIS
01-Jun-23,EQ,275.2,282.3,275.2,274.7,278.05,278.85,279.99,325,219.75,"11,48,477","32,15,61,151.40","10,362",FORTIS
31-May-23,EQ,280,281.05,272.6,281.05,275.15,274.7,274.73,325,219.75,"13,34,358","36,65,89,824.20","21,756",FORTIS
30-May-23,EQ,279.9,282.4,279.4,280.25,279.75,281.05,281.1,325,219.75,"13,18,116","37,05,17,367.20","10,519",FORTIS
29-May-23,EQ,288.8,289.2,279.05,287.3,280.5,280.25,282.21,325,219.75,"12,20,481","34,44,33,288.30","24,442",FORTIS
26-May-23,EQ,286.5,289.65,282.65,286.25,287.85,287.3,287.53,325,219.75,"10,59,460","30,46,24,123.05","16,025",FORTIS
25-May-23,EQ,289.1,290.65,285.15,287.6,286.5,286.25,287.86,325,219.75,"9,36,595","26,96,12,697.20","17,770",FORTIS
24-May-23,EQ,292,295,283.45,289,288.25,287.6,289.55,325,219.75,"20,02,607","57,98,45,187.80","25,490",FORTIS
23-May-23,EQ,286,289.8,284.55,285.4,289.6,289,288.2,325,219.75,"5,80,628","16,73,38,694.00","10,158",FORTIS
22-May-23,EQ,281.7,286.35,278.8,282.25,285.05,285.4,283.59,325,219.75,"3,74,399","10,61,75,846.00","8,581",FORTIS
19-May-23,EQ,283.95,284.95,278.5,283.65,281,282.25,283.1,325,219.75,"3,97,914","11,26,50,610.05","12,032",FORTIS
18-May-23,EQ,283.2,285,280,282.25,284,283.65,283.39,325,219.75,"6,59,087","18,67,78,527.15","9,897",FORTIS
17-May-23,EQ,275.6,283.25,275.6,275.55,283.1,282.25,280.42,325,219.75,"8,19,564","22,98,21,134.70","13,859",FORTIS
16-May-23,EQ,276.95,283.95,275,276.15,275.05,275.55,279.77,325,219.75,"8,01,612","22,42,68,098.80","13,116",FORTIS
15-May-23,EQ,268,277.2,268,270.5,277,276.15,273.79,325,219.75,"11,66,973","31,95,04,254.00","21,297",FORTIS
12-May-23,EQ,268.4,271.2,266.5,268.5,270.75,270.5,269.87,325,219.75,"4,11,245","11,09,81,007.05","7,999",FORTIS
11-May-23,EQ,269.05,270.65,265.5,269.05,268.5,268.5,268.34,325,219.75,"3,29,543","8,84,31,186.00","11,674",FORTIS
10-May-23,EQ,270.15,271.3,265,270.15,268.95,269.05,267.83,325,219.75,"3,16,359","8,47,31,392.20","5,812",FORTIS
09-May-23,EQ,270.9,274.4,266.5,268,270.1,270.15,269.63,325,219.75,"20,06,779","54,10,84,548.15","16,879",FORTIS
08-May-23,EQ,267.85,268.5,263.4,266.25,268,268,267,325,219.75,"9,71,102","25,92,82,705.75","15,161",FORTIS
05-May-23,EQ,263.95,267.05,261,264,266.45,266.25,264.71,325,219.75,"5,32,316","14,09,10,150.30","16,128",FORTIS
04-May-23,EQ,263.6,266.5,263.1,263.3,264,264,265.02,325,219.75,"9,95,161","26,37,34,585.45","16,052",FORTIS
03-May-23,EQ,259.95,264.7,258.85,260.7,263.7,263.3,262.91,325,219.75,"8,80,937","23,16,06,365.15","19,514",FORTIS
02-May-23,EQ,261,263.15,259,260.8,261,260.7,261.05,325,219.75,"4,36,355","11,39,08,498.80","14,581",FORTIS
28-Apr-23,EQ,256.9,261.75,254.75,256.25,261,260.8,258.52,325,219.75,"6,67,625","17,25,94,194.40","15,842",FORTIS
27-Apr-23,EQ,259.85,260.5,255.1,258.7,256.9,256.25,257.55,325,219.75,"9,21,255","23,72,66,256.70","13,594",FORTIS
26-Apr-23,EQ,264.35,266.45,257.65,264.2,258.3,258.7,262,325,219.75,"6,06,499","15,89,02,145.15","12,532",FORTIS
25-Apr-23,EQ,265.35,266.45,262.35,265.35,263.45,264.2,264.83,325,219.75,"4,65,634","12,33,15,926.20","7,590",FORTIS
24-Apr-23,EQ,265.5,267.4,263.55,265.15,265.25,265.35,265.12,325,219.75,"8,46,221","22,43,47,011.75","7,602",FORTIS
21-Apr-23,EQ,266,267.5,264.1,265.45,265,265.15,265.67,325,219.75,"4,15,963","11,05,07,480.60","17,379",FORTIS
20-Apr-23,EQ,266.95,269.7,264.3,267.25,265.5,265.45,266.77,325,219.75,"4,37,079","11,65,99,080.85","14,382",FORTIS
19-Apr-23,EQ,264.95,268.6,263.9,264.7,265.9,267.25,266.54,325,219.75,"3,85,066","10,26,34,996.75","14,140",FORTIS
18-Apr-23,EQ,264.9,272.15,263.4,264.9,264.95,264.7,266.79,325,219.75,"8,19,800","21,87,17,670.30","24,794",FORTIS
17-Apr-23,EQ,264.95,268.05,262.05,265.2,265,264.9,264.72,325,219.75,"7,37,712","19,52,86,648.95","14,904",FORTIS
13-Apr-23,EQ,265.25,269.4,263.65,265.05,265.35,265.2,266.52,325,219.75,"5,13,057","13,67,41,373.15","15,148",FORTIS
12-Apr-23,EQ,258.8,267.6,257.9,257.45,265,265.05,264.34,325,219.75,"17,55,306","46,40,00,696.40","17,163",FORTIS
11-Apr-23,EQ,257.45,261.45,256.25,255.7,257.2,257.45,259.07,325,219.75,"4,45,428","11,53,96,773.45","10,299",FORTIS
