Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
07-Jul-23,EQ,660.6,679,656.7,661.15,658,658.1,666.85,679,457.8,"54,25,784","3,61,81,83,296.40","1,06,385",HDFCLIFE
06-Jul-23,EQ,674.55,677.7,659.5,673.6,660.6,661.15,667.95,677.7,457.8,"47,88,193","3,19,82,51,193.30","1,12,853",HDFCLIFE
05-Jul-23,EQ,647,675.95,645.05,647,675,673.6,666.43,675.95,457.8,"58,71,642","3,91,30,53,435.25","1,10,010",HDFCLIFE
04-Jul-23,EQ,654.4,657.25,644.6,650.7,648,647,649.01,674,457.8,"33,40,982","2,16,83,47,395.70","83,703",HDFCLIFE
03-Jul-23,EQ,651,657,644.05,651.2,650.7,650.7,650.84,674,457.8,"27,95,761","1,81,96,00,912.35","71,363",HDFCLIFE
30-Jun-23,EQ,652,657.5,638.5,651.95,648.5,651.2,646.96,674,457.8,"86,81,796","5,61,67,81,017.80","1,40,533",HDFCLIFE
28-Jun-23,EQ,667.2,671.95,641.55,667.2,659.7,651.95,656.97,674,457.8,"2,19,09,643","14,39,38,73,364.15","1,94,654",HDFCLIFE
27-Jun-23,EQ,641,674,637.1,630.25,664.9,667.2,661.17,674,457.8,"3,00,50,877","19,86,85,92,363.45","2,22,842",HDFCLIFE
26-Jun-23,EQ,619.95,632.35,616.75,626.9,630,630.25,628.14,659.95,457.8,"37,49,962","2,35,55,05,616.60","77,835",HDFCLIFE
23-Jun-23,EQ,642.45,643,623.8,639,629.8,626.9,629.43,659.95,457.8,"41,59,293","2,61,79,86,708.35","62,641",HDFCLIFE
22-Jun-23,EQ,642.5,655.8,637.25,642.5,640,639,647.86,659.95,457.8,"45,77,233","2,96,54,01,329.85","1,17,405",HDFCLIFE
21-Jun-23,EQ,645,659.95,640.05,643.7,641.2,642.5,652.15,659.95,457.8,"76,89,046","5,01,44,10,211.65","2,61,973",HDFCLIFE
20-Jun-23,EQ,627,644.85,624.2,626.55,643.9,643.7,639.16,644.85,457.8,"1,04,00,684","6,64,77,06,391.90","2,23,638",HDFCLIFE
19-Jun-23,EQ,609.95,629,602.1,609.55,628,626.55,614.09,629,457.8,"70,87,287","4,35,21,99,638.30","1,47,153",HDFCLIFE
16-Jun-23,EQ,577.8,615,576.6,578.15,610.2,609.55,604.73,620.6,457.8,"1,14,22,524","6,90,75,27,241.90","1,54,233",HDFCLIFE
15-Jun-23,EQ,585.05,585.05,574,585.05,577,578.15,577.53,620.6,457.8,"20,74,065","1,19,78,37,794.15","46,278",HDFCLIFE
14-Jun-23,EQ,584.8,589.45,581.8,584.8,583.8,585.05,585.67,620.6,457.8,"53,44,073","3,12,98,46,318.05","45,800",HDFCLIFE
